time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-1.19142,0.086636,0.054633,-0.078342,-0.589797,0.8959,-1.338421,-50.172829,100.305485,-121.510571
0.01,0.0,0.080744,0.063499,-0.091417,-0.58868,0.878486,-1.279546,0.075431,-1.387133,5.021346
0.02,0.0,0.07486,0.072225,-0.103988,-0.588264,0.867879,-1.237226,0.008535,-0.743821,3.468721
0.03,0.0,0.068977,0.080877,-0.11621,-0.588489,0.863371,-1.209512,-0.052772,-0.16573,2.096654
0.04,0.0,0.063089,0.089511,-0.128221,-0.589302,0.86436,-1.194728,-0.109284,0.356724,0.879382
0.05,0.0,0.057189,0.098181,-0.140143,-0.590659,0.870332,-1.191441,-0.161688,0.831856,-0.205395
0.06,0.0,0.051274,0.106933,-0.152084,-0.592523,0.880851,-1.198423,-0.21057,1.266813,-1.176791
0.07,0.0,0.045337,0.115811,-0.164142,-0.59486,0.895544,-1.214624,-0.256425,1.667694,-2.051051
0.08,0.0,0.039375,0.124857,-0.176405,-0.597642,0.914099,-1.239141,-0.299662,2.039657,-2.841861
0.09,0.0,0.033383,0.134105,-0.18895,-0.600845,0.936247,-1.2712,-0.340615,2.38703,-3.560633
0.1,0.0,0.027357,0.143593,-0.201852,-0.604447,0.961763,-1.310128,-0.379549,2.713409,-4.216773
0.11,0.0,0.021293,0.153351,-0.215174,-0.608429,0.99045,-1.355338,-0.416666,3.021742,-4.817911
0.12,0.0,0.015187,0.163412,-0.228977,-0.612774,1.022141,-1.406312,-0.452112,3.314408,-5.370108
0.13,0.0,0.009036,0.173804,-0.243318,-0.617466,1.056689,-1.462584,-0.485985,3.593289,-5.878045
0.14,0.0,0.002837,0.184555,-0.258245,-0.622489,1.093963,-1.523731,-0.518334,3.859829,-6.345189
0.15,0.0,-0.003415,0.195691,-0.273807,-0.627827,1.133846,-1.589356,-0.549171,4.115095,-6.77394
0.16,0.0,-0.009721,0.20724,-0.290046,-0.633467,1.176229,-1.659084,-0.57847,4.359828,-7.165779
0.17,0.0,-0.016085,0.219224,-0.307001,-0.639391,1.221008,-1.73255,-0.606173,4.594503,-7.521402
0.18,0.0,-0.02251,0.231668,-0.324708,-0.645585,1.268086,-1.809392,-0.632199,4.819373,-7.840851
0.19,0.0,-0.028998,0.244593,-0.343199,-0.652029,1.317364,-1.889247,-0.656442,5.034527,-8.123648
0.2,0.0,-0.035551,0.258022,-0.362502,-0.658707,1.368745,-1.971744,-0.67878,5.239938,-8.36892
0.21,0.0,-0.042172,0.271975,-0.382642,-0.665598,1.422132,-2.056502,-0.699082,5.435516,-8.575532
0.22,0.0,-0.048864,0.286471,-0.403638,-0.672682,1.477424,-2.143128,-0.717206,5.621156,-8.742212
0.23,0.0,-0.055627,0.301529,-0.425509,-0.679935,1.534524,-2.231216,-0.73301,5.796792,-8.867666
0.24,0.0,-0.062463,0.317167,-0.448266,-0.687334,1.593329,-2.320348,-0.746355,5.962434,-8.950694
0.25,0.0,-0.069374,0.333401,-0.471918,-0.694854,1.653742,-2.410094,-0.757105,6.118214,-8.990282
0.26,0.0,-0.07636,0.350247,-0.496469,-0.702467,1.715665,-2.500017,-0.765133,6.264417,-8.985684
0.27,0.0,-0.083423,0.367719,-0.521918,-0.710147,1.779004,-2.58967,-0.770324,6.401503,-8.936479
0.28,0.0,-0.090563,0.385831,-0.54826,-0.717864,1.843671,-2.678609,-0.772571,6.530124,-8.842604
0.29,0.0,-0.097781,0.404597,-0.575486,-0.725589,1.909585,-2.766386,-0.771776,6.651129,-8.704366
0.3,0.0,-0.105075,0.424027,-0.603582,-0.73329,1.976675,-2.852563,-0.76785,6.765561,-8.522425
0.31,0.0,-0.112446,0.444134,-0.63253,-0.740935,2.044882,-2.936705,-0.760707,6.874639,-8.297757
0.32,0.0,-0.119893,0.464928,-0.662308,-0.748493,2.114159,-3.018392,-0.75026,6.97974,-8.031598
0.33,1.328837,-0.124894,0.482823,-0.691194,-0.252584,1.471532,-2.777289,49.309717,-62.394684,18.899919
0.34,0.0,-0.127474,0.497996,-0.71967,-0.263489,1.562642,-2.91646,-1.073165,9.011813,-13.491399
0.35,0.0,-0.130162,0.51407,-0.749495,-0.27405,1.651878,-3.047301,-1.03907,8.839518,-12.682215
0.36,0.0,-0.132954,0.531028,-0.780589,-0.284272,1.739535,-3.17026,-1.005321,8.696094,-11.913883
0.37,0.0,-0.135847,0.548856,-0.812875,-0.294157,1.825897,-3.285709,-0.97162,8.580202,-11.179471
0.38,0.0,-0.138836,0.567543,-0.84628,-0.303704,1.911234,-3.393958,-0.937664,8.490872,-10.472869
0.39,0.0,-0.14192,0.587078,-0.880731,-0.312909,1.995806,-3.495256,-0.903134,8.427471,-9.788655
0.4,0.0,-0.145093,0.607457,-0.916162,-0.321764,2.079873,-3.589803,-0.867696,8.389648,-9.121952
0.41,0.0,-0.148354,0.628675,-0.952505,-0.330259,2.163688,-3.677751,-0.830987,8.377299,-8.468309
0.42,0.0,-0.151697,0.650731,-0.989696,-0.338378,2.247508,-3.759211,-0.792615,8.390522,-7.823579
0.43,0.0,-0.15512,0.673626,-1.027668,-0.346104,2.331588,-3.83425,-0.752144,8.429583,-7.183822
0.44,0.0,-0.158618,0.697364,-1.066359,-0.353413,2.41619,-3.9029,-0.709094,8.494882,-6.545215
0.45,0.0,-0.162187,0.721952,-1.105705,-0.360276,2.501577,-3.965154,-0.662932,8.586922,-5.903985
0.46,0.0,-0.165822,0.747399,-1.145641,-0.366659,2.588021,-4.020967,-0.613061,8.706284,-5.256356
0.47,0.0,-0.169518,0.773717,-1.186103,-0.372523,2.675798,-4.070254,-0.558817,8.853596,-4.598508
0.48,0.0,-0.17327,0.800921,-1.227024,-0.377819,2.76519,-4.112896,-0.499464,9.029508,-3.926559
