time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-2.953425,-0.076662,0.055268,-0.109284,-1.290499,2.575914,-3.05175,-123.741511,243.314084,-288.768173
0.01,0.0,-0.089522,0.080572,-0.138543,-1.281842,2.488252,-2.808012,0.768161,-7.758303,21.981047
0.02,0.0,-0.102305,0.105098,-0.165597,-1.275075,2.419935,-2.609934,0.587464,-5.934388,17.71354
0.03,0.0,-0.115029,0.129028,-0.190874,-1.270029,2.368804,-2.451688,0.423987,-4.319229,14.010055
0.04,0.0,-0.12771,0.152524,-0.214745,-1.266534,2.332863,-2.327876,0.277454,-2.894062,10.820431
0.05,0.0,-0.140364,0.17573,-0.23753,-1.264423,2.310314,-2.233632,0.147032,-1.638171,8.089523
0.06,0.0,-0.153003,0.19877,-0.259502,-1.26354,2.299567,-2.16464,0.03167,-0.531305,5.763548
0.07,0.0,-0.165639,0.221756,-0.280894,-1.26374,2.299225,-2.117098,-0.069711,0.445146,3.793182
0.08,0.0,-0.178281,0.244785,-0.301904,-1.264889,2.308067,-2.087674,-0.158111,1.307694,2.134767
0.09,0.0,-0.190939,0.267944,-0.322698,-1.26686,2.325028,-2.073441,-0.234412,2.070683,0.750474
0.1,0.0,-0.20362,0.29131,-0.343415,-1.269538,2.349176,-2.071822,-0.299363,2.746436,-0.392061
0.11,0.0,-0.216332,0.314949,-0.364169,-1.272811,2.37969,-2.08054,-0.353584,3.345481,-1.320356
0.12,0.0,-0.229078,0.338922,-0.385053,-1.276575,2.415851,-2.097572,-0.397581,3.876808,-2.057753
0.13,0.0,-0.241865,0.363283,-0.406142,-1.280729,2.457021,-2.121111,-0.431761,4.348119,-2.624092
0.14,0.0,-0.254694,0.388077,-0.427492,-1.285178,2.502632,-2.149531,-0.456451,4.766059,-3.036315
0.15,0.0,-0.267569,0.413348,-0.449144,-1.289827,2.552181,-2.181367,-0.471914,5.136405,-3.308994
0.16,0.0,-0.280491,0.439133,-0.471126,-1.294586,2.605217,-2.215287,-0.478362,5.46423,-3.454776
0.17,0.0,-0.293461,0.465463,-0.493452,-1.299365,2.661339,-2.250079,-0.475967,5.754033,-3.484747
0.18,0.0,-0.306478,0.492369,-0.516127,-1.304077,2.720186,-2.284633,-0.464872,6.009839,-3.40872
0.19,0.0,-0.319542,0.519875,-0.539141,-1.308634,2.781436,-2.317935,-0.445191,6.23527,-3.235454
0.2,0.0,-0.33265,0.548004,-0.562478,-1.312952,2.844802,-2.349051,-0.41702,6.433592,-2.972824
0.21,0.0,-0.3458,0.576777,-0.586112,-1.316947,2.910029,-2.377125,-0.380435,6.607752,-2.62794
0.22,0.0,-0.358987,0.60621,-0.610008,-1.320533,2.976888,-2.401366,-0.335495,6.760388,-2.207225
0.23,0.0,-0.372209,0.63632,-0.634124,-1.323629,3.045176,-2.421046,-0.282239,6.893837,-1.716478
0.24,0.0,-0.385458,0.667118,-0.658411,-1.326151,3.114711,-2.435489,-0.220693,7.010126,-1.160905
0.25,0.0,-0.398729,0.698617,-0.682814,-1.328016,3.18533,-2.444073,-0.150862,7.110972,-0.545147
0.26,0.0,-0.412016,0.730828,-0.707271,-1.329141,3.256886,-2.446215,-0.072739,7.19776,0.126704
0.27,0.0,-0.425309,0.763758,-0.731715,-1.329443,3.329244,-2.441373,0.013698,7.271538,0.851087
0.28,0.0,-0.438602,0.797415,-0.756074,-1.328839,3.402278,-2.429037,0.108482,7.332998,1.624959
0.29,0.0,-0.451883,0.831805,-0.780269,-1.327246,3.475867,-2.408726,0.211651,7.382463,2.445776
0.3,0.0,-0.465143,0.866934,-0.80422,-1.324578,3.549889,-2.37998,0.323246,7.419877,3.311475
