time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-1.057493,-0.058844,0.068928,0.09481,-0.342649,1.036531,-1.038985,-44.560041,87.633884,-101.853367
0.01,0.0,-0.062267,0.079108,0.085133,-0.342034,1.001035,-0.900103,0.012676,-3.092569,12.792631
0.02,0.0,-0.065688,0.088978,0.076738,-0.342363,0.974321,-0.78215,-0.077465,-2.262533,10.832044
0.03,0.0,-0.069117,0.098621,0.069429,-0.343554,0.955465,-0.682586,-0.159782,-1.51948,9.111111
0.04,0.0,-0.072561,0.108111,0.063033,-0.345534,0.943652,-0.599155,-0.235253,-0.852792,7.601719
0.05,0.0,-0.07603,0.117515,0.057398,-0.348237,0.938166,-0.529876,-0.304776,-0.252538,6.277512
0.06,0.0,-0.079528,0.126893,0.052394,-0.35161,0.938391,-0.473017,-0.369157,0.290344,5.114391
0.07,0.0,-0.083064,0.1363,0.047902,-0.355604,0.943792,-0.427079,-0.429102,0.783984,4.090698
0.08,0.0,-0.086642,0.145785,0.04382,-0.360178,0.953916,-0.390765,-0.485218,1.235584,3.187211
0.09,0.0,-0.090269,0.155393,0.040058,-0.365296,0.968373,-0.362958,-0.538023,1.651466,2.387024
0.1,0.0,-0.09395,0.165166,0.036536,-0.370928,0.986834,-0.342701,-0.587943,2.037135,1.675374
0.11,0.0,-0.09769,0.175142,0.033182,-0.377046,1.009021,-0.329174,-0.635329,2.397351,1.039455
0.12,0.0,-0.101493,0.185358,0.029932,-0.383626,1.034702,-0.321676,-0.680452,2.736207,0.468216
0.13,0.0,-0.105364,0.195847,0.02673,-0.390648,1.063679,-0.319608,-0.72352,3.057191,-0.047818
0.14,0.0,-0.109307,0.206642,0.023524,-0.39809,1.09579,-0.32246,-0.764673,3.363253,-0.516719
0.15,0.0,-0.113327,0.217773,0.020266,-0.405935,1.130898,-0.329795,-0.803991,3.656859,-0.945307
0.16,0.0,-0.117427,0.229269,0.016914,-0.414163,1.168888,-0.34124,-0.8415,3.940043,-1.339281
0.17,0.0,-0.121611,0.24116,0.013429,-0.422758,1.209666,-0.356472,-0.877169,4.214443,-1.703337
0.18,0.0,-0.125883,0.253472,0.009773,-0.4317,1.253149,-0.375212,-0.910917,4.481343,-2.041263
0.19,0.0,-0.130246,0.266232,0.005913,-0.440969,1.299268,-0.397214,-0.942613,4.741701,-2.356027
0.2,0.0,-0.134704,0.279466,0.001819,-0.450545,1.347962,-0.422259,-0.972076,4.996179,-2.649845
0.21,0.0,-0.139258,0.293199,-0.002541,-0.460403,1.399172,-0.450143,-0.999079,5.245163,-2.924246
0.22,-2.647054,-0.149211,0.317671,-0.019822,-1.52577,3.469168,-2.945213,-105.101809,198.830224,-230.620538
0.23,0.0,-0.164435,0.352095,-0.048067,-1.519278,3.418553,-2.710072,0.574609,-4.207294,21.69561
0.24,0.0,-0.179601,0.386097,-0.074139,-1.514169,3.384312,-2.509635,0.451784,-2.669798,18.459546
0.25,0.0,-0.194722,0.419829,-0.09836,-1.510137,3.364476,-2.339253,0.359134,-1.325099,15.683196
0.26,0.0,-0.209806,0.453428,-0.121009,-1.506888,3.357181,-2.194447,0.295071,-0.15979,13.340511
0.27,0.0,-0.224861,0.487009,-0.14232,-1.504145,3.360713,-2.071055,0.257706,0.842609,11.395494
0.28,0.0,-0.23989,0.520673,-0.162489,-1.50165,3.373529,-1.965296,0.245097,1.69935,9.808594
0.29,0.0,-0.254894,0.554506,-0.181674,-1.499165,3.394257,-1.873786,0.255394,2.42716,8.540407
0.3,0.0,-0.269873,0.58858,-0.200002,-1.49647,3.421685,-1.793525,0.286894,3.041593,7.553645
0.31,0.0,-0.284822,0.622958,-0.217573,-1.493361,3.454751,-1.721872,0.338064,3.556764,6.814054
0.32,0.0,-0.299738,0.657691,-0.23446,-1.489648,3.492527,-1.656512,0.40754,3.985298,6.290712
0.33,0.0,-0.314613,0.692822,-0.250717,-1.485153,3.534203,-1.595424,0.494114,4.338393,5.955989
0.34,0.0,-0.329438,0.728386,-0.266377,-1.479712,3.579075,-1.536844,0.596723,4.625935,5.785341
0.35,0.0,-0.344203,0.764412,-0.281457,-1.473169,3.626532,-1.479244,0.714432,4.856625,5.757033
0.36,0.0,-0.358897,0.800923,-0.295961,-1.465376,3.676045,-1.421297,0.846422,5.038117,5.851839
0.37,0.0,-0.373506,0.837938,-0.309878,-1.456195,3.727155,-1.361859,0.991983,5.177141,6.052757
0.38,0.0,-0.388016,0.87547,-0.32319,-1.445494,3.779468,-1.299945,1.150499,5.279616,6.344738
0.39,0.0,-0.40241,0.91353,-0.335866,-1.433144,3.832645,-1.234713,1.321448,5.350761,6.71444
0.4,0.0,-0.416673,0.952125,-0.347871,-1.419025,3.886397,-1.165445,1.504392,5.395188,7.149999
0.41,0.0,-0.430785,0.991259,-0.35916,-1.403018,3.940476,-1.091537,1.698977,5.416998,7.640827
0.42,0.0,-0.444727,1.030935,-0.369684,-1.385008,3.994676,-1.012484,1.904926,5.419866,8.177414
0.43,0.0,-0.458478,1.071153,-0.379391,-1.364883,4.048824,-0.927873,2.122038,5.407131,8.751143
0.44,-1.875445,-0.474778,1.113123,-0.386043,-1.892539,4.33397,-0.384298,-51.990813,25.177193,59.726799
0.45,0.0,-0.493547,1.156662,-0.3893,-1.860887,4.374037,-0.266506,3.294069,4.045151,11.941005
0.46,0.0,-0.511987,1.200606,-0.391363,-1.826613,4.414866,-0.145466,3.562975,4.120564,12.267293
0.47,0.0,-0.53007,1.244962,-0.392199,-1.789583,4.456461,-0.021186,3.845355,4.199303,12.587237
0.48,0.0,-0.547769,1.289738,-0.391776,-1.74966,4.498883,0.106217,4.141418,4.287122,12.889756
0.49,0.0,-0.565053,1.334943,-0.390065,-1.706708,4.542254,0.23651,4.451451,4.390118,13.16348
0.5,0.0,-0.581892,1.380587,-0.387037,-1.660584,4.586758,0.369348,4.775807,4.514833,13.396524
0.51,0.0,-0.598254,1.426682,-0.382671,-1.611143,4.632646,0.504261,5.114891,4.668343,13.576274
0.52,0.0,-0.614104,1.473245,-0.376947,-1.558235,4.680246,0.640649,5.469139,4.858336,13.689207
0.53,0.0,-0.629406,1.520294,-0.369855,-1.501708,4.729962,0.777772,5.838987,5.093148,13.720748
0.54,0.0,-0.644125,1.567853,-0.361392,-1.441402,4.782288,0.914739,6.224837,5.38177,13.655178
0.55,0.0,-0.658221,1.615951,-0.351564,-1.377157,4.837809,1.050494,6.627006,5.73379,13.47563
0.56,0.0,-0.671655,1.664622,-0.34039,-1.308807,4.897209,1.183809,7.045658,6.159259,13.164192
0.57,0.0,-0.684383,1.71391,-0.327901,-1.236189,4.961274,1.313273,7.480716,6.668461,12.702162
0.58,0.0,-0.696364,1.763866,-0.314143,-1.159139,5.030892,1.437283,7.931751,7.271542,12.070499
0.59,0.0,-0.707551,1.81455,-0.299179,-1.077503,5.107051,1.55405,8.397833,7.977981,11.250519
0.6,0.0,-0.717898,1.866033,-0.283093,-0.991138,5.190826,1.661601,8.877339,8.795854,10.224897
0.61,0.0,-0.727357,1.918396,-0.265985,-0.89992,5.283363,1.757803,9.367711,9.730855,8.979018
0.62,0.0,-0.73588,1.971733,-0.247982,-0.80376,5.385846,1.840399,9.865138,10.78503,7.50275
0.63,0.0,-0.743416,2.02615,-0.22923,-0.702612,5.499458,1.907059,10.36415,11.955181,5.792647
0.64,0.0,-0.749916,2.081763,-0.209902,-0.596497,5.625313,1.955466,10.857087,13.230897,3.85466
0.65,0.0,-0.75533,2.1387,-0.190189,-0.485526,5.764375,1.983422,11.333423,14.592172,1.707332
0.66,1.308631,-0.757612,2.199828,-0.174933,0.03248,6.466271,1.076688,52.83693,71.760427,-88.054141
0.67,0.0,-0.756658,2.265177,-0.16369,0.158797,6.605074,1.170263,12.805682,14.33818,8.807098
0.68,0.0,-0.754425,2.33196,-0.151566,0.288289,6.752805,1.252517,13.074811,15.187949,7.641726
0.69,0.0,-0.750885,2.40026,-0.138679,0.419861,6.908362,1.32291,13.214807,15.888959,6.44401
0.7,0.0,-0.746026,2.470147,-0.125148,0.551995,7.069794,1.381396,13.178656,16.344779,5.272392
0.71,0.0,-0.73985,2.541665,-0.111089,0.682658,7.23407,1.428603,12.91095,16.436289,4.202869
0.72,0.0,-0.732386,2.614823,-0.096609,0.809232,7.396877,1.465993,12.350668,16.027307,3.324207
0.73,0.0,-0.72369,2.689579,-0.081794,0.928486,7.552504,1.495933,11.437375,14.97862,2.726161
0.74,0.0,-0.713853,2.765826,-0.066704,1.036626,7.693933,1.521614,10.121727,13.172722,2.47921
0.75,0.0,-0.703008,2.843384,-0.051364,1.129482,7.81322,1.546725,8.37994,10.548365,2.60753
0.76,0.0,-0.691329,2.92199,-0.03576,1.202841,7.902249,1.574849,6.22954,7.137966,3.06244
0.77,0.0,-0.679029,3.001304,-0.019847,1.25292,7.953816,1.608651,3.740893,3.09372,3.709377
0.78,0.0,-0.666358,3.080924,-0.003564,1.276916,7.962845,1.649059,1.037671,-1.314636,4.342076
0.79,0.0,-0.653583,3.160412,0.013152,1.273472,7.927398,1.694756,-1.718035,-5.740109,4.728378
0.8,0.0,-0.640979,3.239328,0.030337,1.242932,7.849106,1.742235,-4.353702,-9.828864,4.674649
0.81,0.0,-0.628808,3.317267,0.047986,1.187283,7.732853,1.786496,-6.7182,-13.295277,4.081998
0.82,0.0,-0.617306,3.393882,0.066038,1.109809,7.58581,1.822142,-8.705957,-15.972545,2.969543
0.83,0.0,-0.606671,3.468908,0.084384,1.014576,7.416155,1.844513,-10.266367,-17.823464,1.457805
0.84,0.0,-0.597059,3.542157,0.102874,0.905898,7.231879,1.850488,-11.39876,-18.916269,-0.274776
0.85,0.0,-0.588584,3.61352,0.121335,0.7879,7.039935,1.838816,-12.138618,-19.383124,-2.040618
0.86,0.0,-0.58132,3.682949,0.139592,0.66424,6.845806,1.810005,-12.541698,-19.379154,-3.680114
0.87,0.0,-0.575308,3.750442,0.157484,0.537973,6.653445,1.765928,-12.67066,-19.052495,-5.080574
0.88,1.50611,-0.567929,3.820748,0.167913,0.93167,7.386276,0.349721,37.503863,66.721425,-132.294306
0.89,0.0,-0.559344,3.893326,0.17182,0.785752,7.129676,0.433662,-14.436793,-25.490717,8.893533
0.9,0.0,-0.552201,3.963359,0.176609,0.643513,6.878142,0.524438,-13.986795,-24.747385,9.125975
0.91,0.0,-0.546457,4.030919,0.182305,0.506389,6.635774,0.614009,-13.422933,-23.687803,8.70441
0.92,0.0,-0.542054,4.096113,0.188867,0.375275,6.40495,0.697159,-12.791349,-22.460333,7.880911
0.93,0.0,-0.538929,4.159061,0.196216,0.250676,6.186784,0.77088,-12.124724,-21.17113,6.84666
0.94,0.0,-0.537018,4.219892,0.204249,0.132821,5.981505,0.833799,-11.44546,-19.892714,5.739521
0.95,0.0,-0.53625,4.278733,0.212855,0.021757,5.78875,0.885694,-10.768449,-18.67216,4.654135
0.96,0.0,-0.53656,4.335706,0.221928,-0.082589,5.607787,0.927113,-10.103265,-17.537985,3.651824
0.97,0.0,-0.53788,4.390925,0.231366,-0.180368,5.437663,0.959089,-9.455799,-16.505542,2.769154
0.98,0.0,-0.540146,4.444492,0.241082,-0.271776,5.277326,0.982923,-8.829443,-15.581094,2.024886
0.99,0.0,-0.543295,4.4965,0.251002,-0.357033,5.12569,1.00004,-8.225923,-14.764793,1.425369
1.0,0.0,-0.547267,4.547031,0.261065,-0.436372,4.98169,1.011882,-7.645881,-14.052842,0.96862
1.01,0.0,-0.552004,4.596156,0.271227,-0.510029,4.844313,1.019843,-7.089273,-13.439015,0.64733
1.02,0.0,-0.557449,4.643936,0.281454,-0.578234,4.712614,1.025227,-6.555644,-12.915724,0.451037
1.03,0.0,-0.563551,4.690424,0.291727,-0.641216,4.585729,1.029225,-6.044316,-12.474743,0.367652
