time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,2.12539,-0.01887,-0.086218,-0.008951,0.929849,-1.760414,2.313409,89.114604,-176.046577,209.514582
0.01,0.0,-0.009593,-0.103502,0.013141,0.925893,-1.699019,2.111244,-0.316654,5.369628,-18.346638
0.02,0.0,-0.000347,-0.120247,0.033393,0.923461,-1.652433,1.944897,-0.171728,3.968015,-14.978115
0.03,0.0,0.008881,-0.136595,0.052144,0.922407,-1.619113,1.810213,-0.040949,2.715085,-12.010325
0.04,0.0,0.018105,-0.152669,0.06969,0.922595,-1.597639,1.703359,0.076804,1.597,-9.407439
0.05,0.0,0.027337,-0.168582,0.086293,0.9239,-1.586735,1.620877,0.182742,0.599022,-7.13102
0.06,0.0,0.036587,-0.184435,0.102179,0.926211,-1.585274,1.559692,0.278034,-0.293177,-5.143532
0.07,0.0,0.045864,-0.200316,0.117548,0.929427,-1.592264,1.517089,0.363738,-1.092823,-3.410242
0.08,0.0,0.055178,-0.216306,0.132574,0.933455,-1.60684,1.490684,0.440762,-1.811712,-1.900102
0.09,0.0,0.064536,-0.232476,0.147409,0.938214,-1.628245,1.478385,0.509863,-2.460128,-0.586027
0.1,0.0,0.073944,-0.248891,0.162183,0.943627,-1.655822,1.478348,0.571642,-3.046875,0.55518
0.11,0.0,0.08341,-0.265611,0.177011,0.949623,-1.68899,1.488945,0.626558,-3.579387,1.543087
0.12,-0.855855,0.091215,-0.279497,0.188439,0.612339,-1.095976,0.815742,-33.451188,57.086972,-61.824649
0.13,0.0,0.097391,-0.29082,0.197138,0.622913,-1.168575,0.923309,1.05827,-7.242112,10.542541
0.14,0.0,0.103673,-0.302868,0.206892,0.633509,-1.24093,1.026867,1.060999,-7.232751,10.17763
0.15,0.0,0.110062,-0.315639,0.217664,0.644134,-1.313324,1.127085,1.064105,-7.24894,9.872309
0.16,0.0,0.116556,-0.329135,0.229424,0.654791,-1.385986,1.224489,1.066978,-7.285881,9.612975
0.17,0.0,0.123157,-0.34336,0.242146,0.665472,-1.459103,1.319477,1.06903,-7.339195,9.387158
0.18,0.0,0.129866,-0.358319,0.255807,0.676167,-1.532818,1.412325,1.06969,-7.404895,9.183431
0.19,0.0,0.136681,-0.374019,0.270386,0.68686,-1.607236,1.503202,1.068412,-7.47937,8.991345
0.2,0.0,0.143603,-0.390466,0.285864,0.697528,-1.68243,1.592177,1.064675,-7.559376,8.801388
0.21,0.0,0.150631,-0.40767,0.302223,0.708144,-1.758438,1.679226,1.057983,-7.642032,8.604968
0.22,0.0,0.157765,-0.425638,0.319442,0.718676,-1.835276,1.764246,1.047874,-7.724822,8.394402
0.23,0.0,0.165004,-0.444378,0.337501,0.729089,-1.912934,1.847061,1.03392,-7.805596,8.162921
0.24,-1.024705,0.170411,-0.460878,0.3539,0.353373,-1.394364,1.45091,-37.281249,49.736555,-34.42803
0.25,0.0,0.174015,-0.475348,0.369156,0.367185,-1.499207,1.598567,1.360782,-10.362977,14.263688
0.26,0.0,0.177754,-0.490854,0.385839,0.380587,-1.601756,1.736489,1.319404,-10.151206,13.329271
0.27,0.0,0.181625,-0.507376,0.403856,0.39357,-1.702345,1.865398,1.276833,-9.97001,12.458399
0.28,0.0,0.185624,-0.524896,0.423119,0.406119,-1.801253,1.985849,1.232555,-9.814471,11.635721
0.29,0.0,0.189746,-0.543397,0.443546,0.418215,-1.898716,2.098257,1.186097,-9.680381,10.84786
0.3,0.0,0.193986,-0.562866,0.465058,0.429833,-1.994929,2.202911,1.137028,-9.564227,10.083344
0.31,0.0,0.198341,-0.583292,0.487579,0.440946,-2.090059,2.299995,1.084959,-9.463146,9.332493
0.32,0.0,0.202804,-0.604664,0.511033,0.451522,-2.184243,2.389604,1.029542,-9.374868,8.587275
0.33,0.0,0.207369,-0.626974,0.535346,0.461525,-2.277601,2.47176,0.970461,-9.297647,7.84113
0.34,0.0,0.212032,-0.650213,0.560443,0.470918,-2.370236,2.546427,0.907432,-9.230181,7.088783
0.35,0.0,0.216786,-0.674376,0.586249,0.47966,-2.46224,2.613521,0.840185,-9.171531,6.326043
0.36,-0.01479,0.221597,-0.699428,0.612687,0.482562,-2.548084,2.672964,0.258165,-8.583342,5.613742
0.37,0.0,0.22646,-0.725365,0.639684,0.489915,-2.639262,2.725054,0.69667,-9.095921,4.808969
0.38,0.0,0.231393,-0.752212,0.667162,0.49648,-2.730033,2.769101,0.615315,-9.059048,3.995703
0.39,0.0,0.236387,-0.779965,0.695039,0.502205,-2.820472,2.804918,0.528775,-9.029417,3.162861
0.4,0.0,0.241434,-0.80862,0.723232,0.507038,-2.910649,2.832303,0.436789,-9.006675,2.308933
0.41,0.0,0.246525,-0.838177,0.751656,0.510922,-3.000631,2.851036,0.339089,-8.990385,1.432543
0.42,0.0,0.251649,-0.868633,0.780223,0.5138,-3.09048,2.860887,0.235397,-8.979971,0.532357
0.43,0.0,0.256797,-0.899986,0.808843,0.515609,-3.180251,2.861611,0.125431,-8.974667,-0.392986
0.44,0.0,0.261957,-0.932237,0.837424,0.516287,-3.26999,2.852949,0.008909,-8.973476,-1.344929
0.45,0.0,0.267119,-0.965386,0.86587,0.515765,-3.359733,2.834628,-0.114449,-8.975125,-2.325037
0.46,0.0,0.272269,-0.999432,0.894083,0.513974,-3.4495,2.806358,-0.244905,-8.978031,-3.335017
0.47,0.0,0.277394,-1.034376,0.921963,0.510843,-3.539294,2.76783,-0.382699,-8.980257,-4.376743
