time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-2.076162,-0.083555,0.099925,-0.008798,-0.874255,1.653004,-2.07717,-87.055556,172.582378,-206.370003
0.01,0.0,-0.092284,0.11621,-0.028712,-0.871855,1.606385,-1.91135,0.169467,-3.980299,14.941676
0.02,0.0,-0.100996,0.132096,-0.047129,-0.870815,1.572861,-1.776886,0.040431,-2.743371,12.001781
0.03,0.0,-0.109704,0.147706,-0.064342,-0.871,1.551033,-1.670001,-0.075878,-1.639183,9.421566
0.04,0.0,-0.11842,0.163151,-0.08061,-0.87229,1.539646,-1.587285,-0.180669,-0.653154,7.162935
0.05,0.0,-0.127153,0.17853,-0.096158,-0.874576,1.537592,-1.52571,-0.27511,0.228891,5.188709
0.06,0.0,-0.135914,0.193931,-0.111185,-0.877759,1.543895,-1.482607,-0.360257,1.020039,3.464471
0.07,0.0,-0.144711,0.209433,-0.125864,-0.881751,1.557706,-1.455632,-0.43702,1.731978,1.959431
0.08,0.0,-0.153552,0.225108,-0.140345,-0.886473,1.578286,-1.442729,-0.506158,2.374902,0.646706
0.09,0.0,-0.162443,0.241019,-0.154759,-0.89185,1.604988,-1.442093,-0.568277,2.957549,-0.496752
0.1,0.0,-0.171391,0.257226,-0.169222,-0.897815,1.637248,-1.452132,-0.623841,3.487304,-1.490399
0.11,0.0,-0.180401,0.273781,-0.183833,-0.904305,1.674569,-1.47143,-0.673189,3.970328,-2.350438
0.12,0.0,-0.189478,0.290733,-0.198677,-0.911258,1.716508,-1.49872,-0.716544,4.411709,-3.090191
0.13,0.0,-0.198627,0.308125,-0.21383,-0.918616,1.762672,-1.532854,-0.754031,4.815605,-3.720472
0.14,-1.030799,-0.209897,0.329659,-0.233227,-1.333898,2.534717,-2.322374,-41.104043,74.377556,-71.603179
0.15,0.0,-0.223249,0.355079,-0.256155,-1.336675,2.550807,-2.266225,-0.31224,2.047907,4.75772
0.16,0.0,-0.236632,0.380703,-0.278605,-1.340087,2.575261,-2.226103,-0.367764,2.826181,3.312487
0.17,0.0,-0.250052,0.406608,-0.300721,-1.343979,2.60697,-2.198997,-0.408276,3.500701,2.149452
0.18,0.0,-0.263513,0.432863,-0.322619,-1.348205,2.644962,-2.182255,-0.434769,4.084301,1.235687
0.19,0.0,-0.277017,0.459526,-0.344392,-1.35263,2.688383,-2.173529,-0.448076,4.58809,0.542678
0.2,0.0,-0.290566,0.486646,-0.366109,-1.357125,2.736485,-2.170736,-0.448902,5.021679,0.045756
0.21,0.0,-0.30416,0.514269,-0.387821,-1.361568,2.788607,-2.172025,-0.437838,5.393401,-0.276462
0.22,0.0,-0.317797,0.54243,-0.409558,-1.365844,2.844169,-2.175743,-0.415391,5.710503,-0.442587
0.23,0.0,-0.331475,0.571162,-0.431339,-1.36984,2.902656,-2.180412,-0.381994,5.979312,-0.468894
0.24,0.0,-0.345192,0.600491,-0.453165,-1.373448,2.963614,-2.184707,-0.338026,6.205364,-0.369692
0.25,0.0,-0.358943,0.630441,-0.475027,-1.376566,3.026639,-2.187436,-0.283814,6.393508,-0.157612
0.26,0.0,-0.372722,0.66103,-0.496905,-1.379092,3.091374,-2.187528,-0.219647,6.547975,0.156157
0.27,0.0,-0.386522,0.692273,-0.518766,-1.380927,3.157501,-2.184016,-0.145776,6.672441,0.561695
0.28,-0.677244,-0.401501,0.725442,-0.540644,-1.613731,3.47122,-2.178934,-22.95572,29.866458,4.301585
0.29,0.0,-0.417625,0.760431,-0.562205,-1.610943,3.52683,-2.132626,0.325243,5.642972,4.804826
0.3,0.0,-0.433717,0.795983,-0.583284,-1.60719,3.583953,-2.082496,0.427263,5.775359,5.238031
0.31,0.0,-0.449765,0.832113,-0.603839,-1.602362,3.642222,-2.027564,0.539996,5.872902,5.763519
0.32,0.0,-0.46576,0.868831,-0.623816,-1.596356,3.701306,-1.966959,0.663094,5.938577,6.371169
0.33,0.0,-0.481688,0.906141,-0.643156,-1.589067,3.760897,-1.899903,0.796255,5.974623,7.052405
0.34,0.0,-0.497537,0.944049,-0.66179,-1.580398,3.820708,-1.825697,0.939212,5.982622,7.799989
0.35,0.0,-0.513291,0.982555,-0.679644,-1.570251,3.880462,-1.743709,1.091726,5.963558,8.607852
0.36,0.0,-0.528936,1.021657,-0.696637,-1.558533,3.939892,-1.653363,1.253578,5.91788,9.470939
0.37,0.0,-0.544456,1.061351,-0.712682,-1.54515,3.998733,-1.554128,1.424565,5.845555,10.385071
0.38,0.0,-0.559834,1.101629,-0.727688,-1.530012,4.056715,-1.44551,1.604492,5.746123,11.346822
0.39,0.0,-0.57505,1.142482,-0.741559,-1.513031,4.113564,-1.327048,1.793177,5.618754,12.353402
0.4,0.0,-0.590088,1.183896,-0.754195,-1.49412,4.168995,-1.198306,1.990444,5.46231,13.402538
0.41,0.0,-0.604926,1.225856,-0.76549,-1.473194,4.22271,-1.058868,2.196128,5.275411,14.492358
0.42,-1.601704,-0.621964,1.268457,-0.770498,-1.932756,4.28794,0.068979,-45.46351,3.581763,116.306749
0.43,0.0,-0.641144,1.311512,-0.768996,-1.90293,4.322679,0.233121,3.102112,3.329908,16.961614
0.44,0.0,-0.660014,1.354901,-0.765799,-1.87068,4.35447,0.408216,3.349668,3.025132,18.057551
0.45,0.0,-0.678549,1.398591,-0.760795,-1.835902,4.383122,0.594257,3.607809,2.702801,19.149558
0.46,0.0,-0.696724,1.442552,-0.753877,-1.798487,4.408479,0.791167,3.877132,2.366882,20.229735
0.47,0.0,-0.71451,1.486749,-0.744936,-1.758319,4.430431,0.998778,4.158414,2.022888,21.287794
0.48,0.0,-0.73188,1.531149,-0.733867,-1.715275,4.448933,1.216805,4.452627,1.678284,22.31034
0.49,0.0,-0.748806,1.575717,-0.720567,-1.66922,4.464025,1.44481,4.760956,1.342958,23.279975
0.5,0.0,-0.765254,1.620419,-0.70494,-1.620004,4.475863,1.682155,5.084808,1.029765,24.17421
0.51,0.0,-0.781195,1.665224,-0.686896,-1.567466,4.484746,1.927949,5.425799,0.755138,24.964166
0.52,0.0,-0.796592,1.710105,-0.666357,-1.511425,4.491159,2.180973,5.785719,0.53974,25.613076
0.53,0.0,-0.811411,1.755041,-0.643258,-1.451682,4.495819,2.439591,6.166456,0.409122,26.074615
0.54,0.0,-0.825613,1.800019,-0.617553,-1.38802,4.499724,2.701654,6.56987,0.394299,26.291198
0.55,0.0,-0.839157,1.845038,-0.589222,-1.320204,4.504211,2.96437,6.99759,0.532106,26.192466
0.56,-1.591889,-0.854356,1.887376,-0.550813,-1.718445,3.959166,4.704738,-39.473306,-55.628186,169.898332
0.57,0.0,-0.871145,1.927061,-0.502908,-1.638479,3.980433,4.871702,8.261811,2.912961,15.241505
0.58,0.0,-0.887108,1.967042,-0.453486,-1.553149,4.018848,5.006607,8.806546,4.839685,11.58961
0.59,0.0,-0.902189,2.00751,-0.402913,-1.46232,4.078715,5.100327,9.360038,7.203288,7.001163
0.6,0.0,-0.916335,2.048702,-0.351648,-1.365961,4.164368,5.143453,9.910499,9.990516,1.480142
0.61,0.0,-0.929491,2.090897,-0.300243,-1.264168,4.279818,5.127008,10.444385,13.149576,-4.889356
0.62,0.0,-0.941601,2.134409,-0.249332,-1.157179,4.428348,5.043302,10.947671,16.586691,-11.933501
0.63,0.0,-0.952618,2.179581,-0.19962,-1.045366,4.612106,4.886813,11.407171,20.170065,-19.396036
0.64,0.0,-0.962494,2.226771,-0.151848,-0.929227,4.831776,4.654895,11.811274,23.741429,-26.963719
0.65,0.0,-0.97119,2.276334,-0.106772,-0.809368,5.086393,4.348173,12.149426,27.13192,-34.30295
0.66,0.0,-0.978672,2.328607,-0.065122,-0.686505,5.373312,3.970558,12.410023,30.176468,-41.094144
0.67,0.0,-0.984913,2.383894,-0.027574,-0.561487,5.688289,3.529003,12.576909,32.720957,-47.050112
0.68,0.0,-0.989898,2.442447,0.005277,-0.435369,6.025591,3.033178,12.625135,34.619329,-51.911284
0.69,0.0,-0.993621,2.504456,0.032949,-0.309512,6.378016,2.495309,12.516973,35.722179,-55.420622
0.7,2.372664,-0.991876,2.576829,0.04706,0.66654,8.112219,0.322731,100.059551,178.413396,-219.16296
0.71,0.0,-0.984502,2.659622,0.048025,0.806417,8.441446,-0.121349,13.439089,31.293265,-41.680704
0.72,0.0,-0.975791,2.745528,0.044852,0.933293,8.731478,-0.499632,11.830498,26.394515,-33.473901
0.73,0.0,-0.965901,2.834054,0.038363,1.040747,8.962184,-0.779089,9.5507,19.438918,-21.976313
0.74,0.0,-0.955063,2.924506,0.029704,1.122089,9.113664,-0.929043,6.624134,10.630113,-7.764871
0.75,0.0,-0.943566,3.016009,0.020287,1.171514,9.170255,-0.92858,3.205776,0.61676,7.789614
0.76,0.0,-0.931751,3.107569,0.011651,1.185404,9.124866,-0.773925,-0.428476,-9.568638,22.706824
0.77,0.0,-0.919979,3.198178,0.00527,1.163252,8.981629,-0.482025,-3.94887,-18.773953,34.940656
0.78,0.0,-0.908598,3.286924,0.002353,1.107717,8.755338,-0.087891,-7.066226,-26.071725,43.017713
0.79,0.0,-0.897919,3.373081,0.003703,1.023835,8.467877,0.363365,-9.600942,-30.98887,46.405988
0.8,0.0,-0.888195,3.456158,0.009658,0.917809,8.143401,0.82604,-11.496842,-33.525375,45.467926
0.81,0.0,-0.879616,3.5359,0.02013,0.795896,7.80422,1.261288,-12.791222,-34.017857,41.140318
0.82,0.0,-0.872311,3.612254,0.034696,0.663698,7.468329,1.640986,-13.571284,-32.963453,34.572846
0.83,0.0,-0.866361,3.685322,0.052707,0.525847,7.148553,1.948413,-13.939047,-30.881475,26.864888
0.84,-2.811805,-0.866835,3.746426,0.085172,-0.610596,5.112831,4.48015,-110.76321,-191.970847,234.997136
0.85,0.0,-0.873464,3.796889,0.129286,-0.714834,4.98552,4.327352,-10.294473,-11.077602,-19.610618
0.86,0.0,-0.881122,3.846237,0.171462,-0.816211,4.888294,4.097249,-9.971403,-8.535994,-25.909318
0.87,0.0,-0.889777,3.894724,0.211066,-0.914097,4.811969,3.817494,-9.600317,-6.872579,-29.629514
0.88,0.0,-0.899391,3.942518,0.247725,-1.008131,4.748428,3.511499,-9.203951,-5.94852,-31.253881
0.89,0.0,-0.909926,3.989713,0.281271,-1.09814,4.691105,3.197652,-8.796895,-5.598673,-31.28821
0.9,0.0,-0.92134,4.036345,0.311697,-1.184062,4.635073,2.889495,-8.387459,-5.664104,-30.18972
0.91,0.0,-0.933594,4.082407,0.339111,-1.265897,4.576886,2.596389,-7.979767,-6.009019,-28.335306
0.92,0.0,-0.946645,4.127868,0.363696,-1.343671,4.514309,2.324361,-7.575518,-6.526292,-26.016487
0.93,0.0,-0.960454,4.172674,0.385681,-1.417422,4.446041,2.076918,-7.175219,-7.13636,-23.448292
0.94,0.0,-0.97498,4.216767,0.405322,-1.487189,4.371452,1.855744,-6.778944,-7.783094,-20.783284
0.95,0.0,-0.990184,4.260082,0.422885,-1.553015,4.290377,1.66125,-6.386745,-8.428841,-18.125867
0.96,0.0,-1.006027,4.302554,0.438634,-1.614939,4.202954,1.49299,-5.998822,-9.049777,-15.544734
0.97,0.0,-1.02247,4.344121,0.452829,-1.673007,4.109509,1.34997,-5.615579,-9.632004,-13.082837
0.98,1.806415,-1.036832,4.387949,0.457745,-1.201102,4.639042,-0.33593,46.665019,47.855238,-159.252201
