time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-0.958651,-0.061354,-0.076751,-0.064894,-0.417984,0.588969,-0.994676,-39.706811,77.912215,-96.63208
0.01,0.0,-0.065497,-0.071101,-0.07442,-0.410732,0.542069,-0.913381,0.694539,-4.364463,7.294869
0.02,0.0,-0.06957,-0.065889,-0.083214,-0.404069,0.50138,-0.847976,0.639014,-3.783717,5.813487
0.03,0.0,-0.07358,-0.061056,-0.091426,-0.39793,0.466135,-0.79642,0.58953,-3.274197,4.521239
0.04,0.0,-0.07753,-0.05655,-0.099183,-0.392259,0.435672,-0.756958,0.545382,-2.826185,3.391293
0.05,0.0,-0.081426,-0.052328,-0.1066,-0.387005,0.409419,-0.728087,0.505929,-2.431152,2.400175
0.06,0.0,-0.085272,-0.04835,-0.113776,-0.382125,0.386883,-0.708522,0.470592,-2.081663,1.527475
0.07,0.0,-0.08907,-0.04458,-0.120798,-0.37758,0.367643,-0.697169,0.438859,-1.771265,0.755524
0.08,0.0,-0.092824,-0.040987,-0.127743,-0.373337,0.351336,-0.693098,0.410276,-1.494376,0.069064
0.09,0.0,-0.096538,-0.037544,-0.134681,-0.369365,0.337651,-0.695522,0.384445,-1.24618,-0.545048
0.1,0.0,-0.100212,-0.034226,-0.141673,-0.365639,0.326323,-0.703775,0.361016,-1.022524,-1.09812
0.11,0.0,-0.103851,-0.031011,-0.148774,-0.362137,0.317124,-0.717295,0.339684,-0.81984,-1.599864
0.12,0.0,-0.107456,-0.027877,-0.156035,-0.358839,0.30986,-0.735613,0.320181,-0.63506,-2.058612
0.13,0.0,-0.111029,-0.024807,-0.163501,-0.355728,0.304367,-0.758335,0.302274,-0.465559,-2.4815
0.14,0.0,-0.114571,-0.021784,-0.171215,-0.352788,0.300502,-0.785133,0.285762,-0.309092,-2.874624
0.15,0.0,-0.118085,-0.018792,-0.179217,-0.350008,0.298144,-0.815736,0.270467,-0.163747,-3.243173
0.16,0.0,-0.121572,-0.015817,-0.187542,-0.347375,0.297192,-0.849921,0.256235,-0.027907,-3.591548
0.17,0.0,-0.125033,-0.012844,-0.196226,-0.34488,0.297556,-0.887505,0.242934,0.099788,-3.923456
0.18,0.0,-0.12847,-0.009862,-0.205303,-0.342513,0.299162,-0.928339,0.230448,0.220465,-4.241988
0.19,0.0,-0.131884,-0.006857,-0.214804,-0.340268,0.301944,-0.972304,0.218679,0.335049,-4.549694
0.2,0.0,-0.135275,-0.003819,-0.224759,-0.338138,0.305844,-1.0193,0.20754,0.444278,-4.848632
