time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-0.185147,0.02267,-0.037346,-0.099127,-0.127048,0.263144,-0.202952,-7.571887,15.752189,-23.01495
0.01,0.0,0.021412,-0.034729,-0.10129,-0.124483,0.260347,-0.229554,0.250968,-0.254073,-2.679192
0.02,0.0,0.020179,-0.032137,-0.10372,-0.122028,0.25807,-0.256575,0.239936,-0.201133,-2.726607
0.03,0.0,0.018971,-0.029566,-0.106423,-0.119684,0.256331,-0.284123,0.229076,-0.14628,-2.784657
0.04,0.0,0.017785,-0.027009,-0.109404,-0.117446,0.25515,-0.312303,0.218383,-0.089604,-2.852923
0.05,0.0,0.016622,-0.024461,-0.112671,-0.115315,0.254545,-0.341215,0.20785,-0.031164,-2.931067
0.06,0.0,0.015479,-0.021916,-0.116231,-0.113289,0.254533,-0.370957,0.197471,0.029003,-3.018826
0.07,0.0,0.014356,-0.019368,-0.120094,-0.111365,0.255131,-0.401623,0.187233,0.09088,-3.115995
0.08,0.0,0.013251,-0.016811,-0.124267,-0.109544,0.256356,-0.433308,0.177126,0.154465,-3.222423
0.09,0.0,0.012164,-0.014239,-0.128763,-0.107823,0.258226,-0.466102,0.167137,0.219766,-3.337993
0.1,0.0,0.011094,-0.011645,-0.133593,-0.106201,0.260757,-0.500098,0.157253,0.286802,-3.462625
0.11,0.0,0.01004,-0.009022,-0.13877,-0.104677,0.263968,-0.535385,0.147458,0.355594,-3.596253
0.12,0.0,0.009001,-0.006363,-0.144306,-0.103251,0.267875,-0.572053,0.137739,0.426167,-3.73883
0.13,0.0,0.007975,-0.003662,-0.150216,-0.101922,0.272497,-0.610191,0.128082,0.49854,-3.890305
0.14,0.0,0.006962,-0.000911,-0.156515,-0.100689,0.277852,-0.649888,0.118471,0.572729,-4.050625
0.15,0.0,0.005961,0.001898,-0.163219,-0.099553,0.283958,-0.691232,0.108893,0.648741,-4.219718
0.16,0.0,0.00497,0.004771,-0.170345,-0.098511,0.290833,-0.734311,0.099334,0.726567,-4.397488
0.17,0.0,0.00399,0.007717,-0.177911,-0.097566,0.298495,-0.779211,0.089781,0.806183,-4.583801
