time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-0.714437,-0.059412,0.002204,-0.083086,-0.393128,0.565245,-0.877124,-29.977742,60.064562,-74.516222
0.01,0.0,-0.063331,0.007774,-0.0917,-0.390716,0.549623,-0.847654,0.218401,-1.341312,2.406967
0.02,0.0,-0.067228,0.01321,-0.100073,-0.388746,0.538248,-0.828524,0.176098,-0.93951,1.43447
0.03,-2.733633,-0.076872,0.030151,-0.122584,-1.538063,2.82882,-3.615619,-114.331426,222.624072,-260.858607
0.04,0.0,-0.092193,0.05785,-0.157171,-1.526495,2.715025,-3.311375,1.048473,-10.19259,27.553827
0.05,0.0,-0.107409,0.084528,-0.188995,-1.517037,2.624041,-3.062019,0.845301,-8.037657,22.408497
0.06,1.614621,-0.119161,0.103766,-0.210736,-0.835154,1.241226,-1.333278,67.659216,-133.247871,159.489405
0.07,0.0,-0.127517,0.116239,-0.224176,-0.836272,1.254181,-1.35643,-0.141807,1.534683,-2.780546
0.08,0.0,-0.135888,0.128865,-0.237894,-0.837977,1.271789,-1.388524,-0.198762,1.982273,-3.624689
0.09,-2.68018,-0.14985,0.152408,-0.264229,-1.951469,3.410764,-3.806564,-110.383266,205.664862,-219.087281
0.1,0.0,-0.169314,0.186063,-0.300906,-1.941618,3.324193,-3.537826,0.881231,-7.516266,24.253605
0.11,0.0,-0.188689,0.218964,-0.33515,-1.933747,3.259312,-3.318477,0.69686,-5.502637,19.730251
0.12,-1.265829,-0.210565,0.255944,-0.372105,-2.43949,4.123175,-4.03457,-49.968634,82.288618,-60.039792
0.13,0.0,-0.234896,0.296719,-0.410863,-2.426955,4.035823,-3.726056,1.158871,-7.572296,28.272994
0.14,0.0,-0.25911,0.336733,-0.446786,-2.416185,3.970429,-3.465701,1.000537,-5.557182,23.930683
0.15,-1.601996,-0.286361,0.381285,-0.484392,-3.030866,4.920682,-4.003057,-60.482018,89.200387,-37.839411
0.16,0.0,-0.316572,0.429975,-0.522437,-3.011523,4.821394,-3.614926,1.859738,-8.767848,36.26028
0.17,0.0,-0.346596,0.477785,-0.556848,-2.993515,4.743856,-3.274138,1.748462,-6.798759,32.045458
0.18,1.968857,-0.372768,0.519764,-0.585543,-2.24471,3.677166,-2.527578,73.755755,-99.482862,56.867682
0.19,0.0,-0.395192,0.556629,-0.610374,-2.240178,3.696888,-2.439845,0.457131,2.280705,8.433068
0.2,0.0,-0.417571,0.593721,-0.63436,-2.235511,3.722457,-2.358065,0.479015,2.818856,7.960429
0.21,-0.630413,-0.441036,0.632473,-0.657781,-2.45636,4.022869,-2.312354,-21.749441,28.504169,8.685647
0.22,0.0,-0.465556,0.672791,-0.680294,-2.447647,4.041566,-2.191002,0.896238,2.120444,11.933591
