time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,2.591848,0.029941,-0.082118,0.06456,1.461107,-2.10372,2.634238,108.555435,-214.211802,255.071378
0.01,0.0,0.044522,-0.102808,0.089854,1.455353,-2.037104,2.431359,-0.489458,5.809085,-18.248091
0.02,0.0,0.059053,-0.122915,0.113317,1.451258,-1.986851,2.267431,-0.331718,4.265911,-14.603103
0.03,0.0,0.073552,-0.142593,0.135316,1.448661,-1.951156,2.137599,-0.189834,2.895576,-11.423867
0.04,0.0,0.088031,-0.161981,0.156168,1.447407,-1.928375,2.037429,-0.062775,1.680811,-8.665153
0.05,0.0,0.102504,-0.181199,0.17615,1.447356,-1.917042,1.962947,0.050645,0.60389,-6.280431
0.06,0.0,0.116982,-0.200355,0.195501,1.448376,-1.915862,1.910636,0.151602,-0.351968,-4.2256
0.07,0.0,0.131475,-0.219546,0.214426,1.450348,-1.923702,1.877399,0.241166,-1.201934,-2.46079
0.08,0.0,0.145992,-0.238856,0.233103,1.453163,-1.939571,1.860514,0.320265,-1.959334,-0.95101
0.09,0.0,0.16054,-0.258361,0.251683,1.456719,-1.962602,1.857585,0.389673,-2.635655,0.333847
0.1,0.0,0.175128,-0.27813,0.270294,1.460925,-1.992033,1.866492,0.450012,-3.240684,1.419345
0.11,0.0,0.189761,-0.298221,0.289046,1.46569,-2.027195,1.885352,0.501772,-3.782701,2.326996
0.12,0.0,0.204443,-0.318691,0.308029,1.470932,-2.067493,1.912479,0.545323,-4.268691,3.074814
0.13,0.0,0.219181,-0.339586,0.327318,1.47657,-2.112396,1.946352,0.580938,-4.704553,3.677857
0.14,0.0,0.233976,-0.360952,0.346974,1.482525,-2.16143,1.985587,0.608811,-5.095299,4.148747
0.15,0.0,0.248832,-0.382827,0.367043,1.48872,-2.214164,2.028917,0.629076,-5.445228,4.498126
0.16,0.0,0.263751,-0.405247,0.387562,1.495081,-2.27021,2.075173,0.641818,-5.758077,4.735066
0.17,0.0,0.278734,-0.428241,0.408553,1.501532,-2.329213,2.123272,0.647092,-6.037154,4.867415
0.18,0.0,0.293782,-0.45184,0.43003,1.507998,-2.390851,2.172201,0.644931,-6.285436,4.902085
0.19,0.0,0.308894,-0.476066,0.451996,1.514406,-2.45483,2.221015,0.635353,-6.505655,4.845277
0.2,0.0,0.324069,-0.500943,0.474447,1.520681,-2.520881,2.268828,0.618367,-6.700352,4.702665
0.21,0.0,0.339307,-0.52649,0.497367,1.526749,-2.588762,2.314809,0.593981,-6.871919,4.479515
0.22,0.0,0.354603,-0.552724,0.520734,1.532536,-2.658253,2.358177,0.562196,-7.02262,4.180775
0.23,0.0,0.369956,-0.57966,0.544519,1.537969,-2.729156,2.398199,0.52301,-7.15459,3.811116
0.24,0.0,0.385361,-0.607311,0.568685,1.542972,-2.801293,2.434189,0.476418,-7.269833,3.374956
0.25,0.0,0.400814,-0.635689,0.593187,1.547473,-2.874506,2.465503,0.422407,-7.370207,2.876451
0.26,0.0,0.416309,-0.664804,0.617977,1.551396,-2.948656,2.491535,0.360953,-7.457394,2.31948
0.27,0.0,0.43184,-0.694665,0.642999,1.554667,-3.023619,2.511721,0.292024,-7.53288,1.707622
0.28,0.0,0.4474,-0.725279,0.66819,1.557211,-3.099283,2.525527,0.215574,-7.597923,1.044123
0.29,0.0,0.462981,-0.756653,0.693486,1.558954,-3.175549,2.532452,0.131545,-7.653525,0.331873
0.3,0.0,0.478576,-0.788792,0.718815,1.559817,-3.252327,2.532021,0.039866,-7.700406,-0.426613
0.31,0.0,0.494174,-0.821701,0.744101,1.559725,-3.329533,2.523783,-0.059543,-7.73898,-1.229213
0.32,0.0,0.509767,-0.855383,0.769263,1.558601,-3.407082,2.507305,-0.166768,-7.769329,-2.074201
0.33,0.0,0.525343,-0.889843,0.794218,1.556364,-3.484893,2.482171,-0.281896,-7.791185,-2.960249
0.34,0.0,0.54089,-0.925082,0.818876,1.552936,-3.562878,2.447975,-0.405009,-7.803908,-3.886424
0.35,0.0,0.556397,-0.961101,0.843146,1.548237,-3.64094,2.404319,-0.536177,-7.806471,-4.852176
0.36,0.0,0.57185,-0.9979,0.86693,1.542186,-3.718971,2.350807,-0.675445,-7.79744,-5.857325
0.37,0.0,0.587236,-1.03548,0.890128,1.534701,-3.796846,2.287047,-0.82283,-7.774958,-6.902056
0.38,0.0,0.602539,-1.073836,0.912635,1.525703,-3.87442,2.212639,-0.978307,-7.736726,-7.986901
0.39,0.0,0.617745,-1.112967,0.934344,1.515109,-3.951521,2.127178,-1.141797,-7.679987,-9.112738
0.4,0.0,0.632836,-1.152865,0.955141,1.502841,-4.027949,2.030249,-1.313161,-7.601502,-10.280781
0.41,0.0,0.647796,-1.193523,0.974909,1.48882,-4.103468,1.921422,-1.492186,-7.497537,-11.492581
0.42,0.0,0.662606,-1.23493,0.993528,1.472972,-4.177802,1.80025,-1.678579,-7.363842,-12.750025
0.43,0.0,0.677249,-1.277074,1.010872,1.455225,-4.250631,1.666267,-1.871958,-7.195641,-14.055339
0.44,0.0,0.691704,-1.319936,1.026809,1.435512,-4.321583,1.51898,-2.071849,-6.987618,-15.411088
0.45,0.0,0.705952,-1.363498,1.041205,1.413769,-4.390232,1.357871,-2.277685,-6.733924,-16.820165
0.46,0.0,0.719973,-1.407732,1.053919,1.38994,-4.45609,1.182392,-2.488806,-6.428195,-18.285778
0.47,0.0,0.733744,-1.452608,1.064803,1.363977,-4.518601,0.99196,-2.704473,-6.063591,-19.811408
0.48,0.0,0.747245,-1.498091,1.073706,1.335838,-4.577142,0.785956,-2.923882,-5.632871,-21.400747
0.49,0.0,0.760453,-1.544135,1.080468,1.30549,-4.631013,0.563724,-3.146191,-5.128516,-23.057592
0.5,0.0,0.773347,-1.590693,1.084924,1.272908,-4.679441,0.32457,-3.370555,-4.542904,-24.785695
0.51,0.0,0.785904,-1.637703,1.086901,1.238075,-4.721575,0.067765,-3.596179,-3.868577,-26.588531
0.52,0.0,0.798101,-1.6851,1.086218,1.200982,-4.756493,-0.207455,-3.822387,-3.098599,-28.468991
0.53,0.0,0.809916,-1.732806,1.082688,1.161627,-4.783206,-0.501877,-4.048704,-2.227049,-30.428939
0.54,0.0,0.821326,-1.780733,1.076114,1.120008,-4.800677,-0.816298,-4.274965,-1.249664,-32.468629
0.55,0.0,0.832309,-1.828785,1.066292,1.076127,-4.807836,-1.151507,-4.501447,-0.16468,-34.585894
0.56,0.0,0.842841,-1.876852,1.053012,1.029976,-4.803612,-1.508255,-4.729018,1.026108,-36.775044
0.57,0.0,0.852901,-1.924816,1.036053,0.981537,-4.786975,-1.887214,-4.959312,2.316004,-39.025334
0.58,0.0,0.862464,-1.972547,1.015192,0.930772,-4.756995,-2.288911,-5.194917,3.691749,-41.318809
0.59,0.0,0.871508,-2.019909,0.990198,0.877609,-4.712913,-2.713648,-5.439569,5.131438,-43.627196
0.6,0.0,0.880008,-2.066757,0.960842,0.821934,-4.654247,-3.161373,-5.698328,6.60192,-45.907376
0.61,0.0,0.887938,-2.112945,0.926896,0.763574,-4.580912,-3.631504,-5.97771,8.055506,-48.094709
0.62,0.0,0.89527,-2.158328,0.888142,0.702285,-4.493392,-4.122662,-6.28572,9.425749,-50.093216
0.63,0.0,0.901973,-2.202769,0.844381,0.637734,-4.392953,-4.632298,-6.631688,10.622053,-51.761338
0.64,0.0,0.908012,-2.246151,0.795448,0.569491,-4.281911,-5.156134,-7.025774,11.522951,-52.892015
0.65,0.0,0.913348,-2.288384,0.741233,0.497025,-4.163989,-5.687391,-7.477871,11.968369,-53.186658
0.66,0.0,0.917936,-2.329426,0.681709,0.419714,-4.044733,-6.215717,-7.995561,11.752532,-52.225558
0.67,0.0,0.921724,-2.3693,0.616978,0.336888,-3.931988,-6.725851,-8.580631,10.622037,-49.444414
0.68,0.0,0.924654,-2.408122,0.547324,0.247906,-3.836332,-7.196162,-9.223779,8.288727,-44.140439
0.69,0.0,0.92666,-2.446129,0.473284,0.152306,-3.771235,-7.597574,-9.897835,4.473239,-35.550562
0.7,0.0,0.927677,-2.483702,0.395723,0.050012,-3.752563,-7.893854,-10.551602,-1.00368,-23.054324
0.71,0.0,0.92764,-2.52139,0.315892,-0.058411,-3.796906,-8.044662,-11.10923,-8.08306,-6.516963
0.72,0.0,0.926493,-2.559899,0.235442,-0.171557,-3.918483,-8.012361,-11.48127,-16.333615,13.336951
0.73,0.0,0.924201,-2.600045,0.156344,-0.287153,-4.125148,-7.771628,-11.588479,-24.928899,34.791747
0.74,0.0,0.920752,-2.642681,0.080723,-0.402294,-4.415144,-7.318003,-11.387138,-32.822333,55.505176
0.75,0.0,0.916167,-2.688587,0.010633,-0.513861,-4.776439,-6.670501,-10.877142,-39.061507,73.265941
0.76,0.0,0.910496,-2.738382,-0.052164,-0.618892,-5.189099,-5.866655,-10.085412,-43.043902,86.650609
0.77,0.0,0.90382,-2.792461,-0.106335,-0.714711,-5.629232,-4.953395,-9.038428,-44.566602,95.171017
0.78,0.0,0.896241,-2.850977,-0.151028,-0.798825,-6.072466,-3.978975,-7.744496,-43.706033,98.970524
0.79,-2.705513,0.882396,-2.924156,-0.173995,-1.972903,-8.569772,-0.601743,-118.178202,-251.734219,342.452043
0.8,0.0,0.862361,-3.011608,-0.175586,-2.02897,-8.90431,0.260275,-3.996416,-28.375889,78.789721
0.81,0.0,0.84193,-3.101876,-0.169349,-2.051255,-9.129539,0.955307,-0.41303,-16.458923,59.647506
0.82,0.0,0.82146,-3.193777,-0.157186,-2.036561,-9.229101,1.439811,3.340553,-3.470337,37.108299
0.83,0.0,0.801322,-3.286024,-0.14133,-1.984991,-9.199208,1.692827,6.898566,9.178901,13.871169
0.84,0.0,0.781871,-3.377363,-0.12408,-1.900285,-9.050429,1.722421,9.920541,20.111347,-7.13199
0.85,0.0,0.763405,-3.466709,-0.107515,-1.788989,-8.805087,1.563103,12.198913,28.409372,-23.682958
0.86,0.0,0.746154,-3.553237,-0.093281,-1.658864,-8.491431,1.26537,13.695671,33.803648,-34.824163
