time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,1.423485,0.002436,-0.045646,0.032405,0.826453,-1.216887,1.569019,59.817284,-118.519944,141.818224
0.01,0.0,0.010684,-0.057611,0.047479,0.823393,-1.177857,1.450113,-0.25258,3.384084,-10.630202
0.02,0.0,0.018907,-0.069236,0.061487,0.821365,-1.148785,1.355266,-0.154149,2.4447,-8.378478
0.03,0.0,0.027115,-0.080616,0.074655,0.820278,-1.128595,1.281536,-0.064392,1.605843,-6.402235
0.04,0.0,0.035316,-0.091835,0.087179,0.820049,-1.116349,1.226346,0.017742,0.854234,-4.665876
0.05,0.0,0.043519,-0.102967,0.099236,0.820608,-1.111235,1.187461,0.093217,0.177837,-3.1372
0.06,0.0,0.05173,-0.114081,0.110976,0.821892,-1.112556,1.162949,0.16289,-0.434022,-1.787695
0.07,0.0,0.059959,-0.125237,0.122537,0.823848,-1.119714,1.151146,0.227502,-0.990665,-0.59251
0.08,-0.714386,0.06672,-0.133559,0.130522,0.529066,-0.550705,0.461516,-29.29006,55.142595,-64.436403
0.09,0.0,0.07204,-0.139283,0.135538,0.534868,-0.594076,0.54132,0.583477,-4.319322,7.839544
0.1,0.0,0.077418,-0.14544,0.14134,0.540745,-0.637202,0.61859,0.592317,-4.310012,7.624657
0.11,0.0,0.082855,-0.152027,0.147904,0.546723,-0.680374,0.69406,0.603471,-4.328128,7.478259
0.12,0.0,0.088352,-0.159048,0.155217,0.552822,-0.723851,0.768369,0.616631,-4.370458,7.391223
0.13,0.0,0.093912,-0.166506,0.16327,0.559061,-0.767859,0.842068,0.631508,-4.434125,7.355349
0.14,0.0,0.099534,-0.174408,0.172058,0.565457,-0.8126,0.915633,0.647831,-4.516534,7.363207
0.15,0.0,0.105221,-0.182761,0.181583,0.572022,-0.858248,0.989466,0.665337,-4.615321,7.407989
0.16,-2.760859,0.105281,-0.18065,0.17923,-0.558794,1.26562,-1.420543,-112.795299,208.593846,-230.809325
0.17,0.0,0.099766,-0.168663,0.166559,-0.544382,1.134108,-1.119519,1.385619,-12.475148,28.397428
0.18,0.0,0.09439,-0.157924,0.15673,-0.531067,1.015692,-0.851411,1.277904,-11.223613,25.267229
0.19,0.0,0.089141,-0.148309,0.149432,-0.518802,0.909192,-0.612953,1.175856,-10.092529,22.46884
0.2,0.0,0.08401,-0.139705,0.144383,-0.507524,0.813403,-0.400838,1.080699,-9.081067,19.997268
0.21,0.0,0.078988,-0.132009,0.141338,-0.49716,0.727154,-0.211875,0.992964,-8.183899,17.836028
0.22,0.0,0.074064,-0.125134,0.140079,-0.487637,0.649338,-0.043071,0.912713,-7.393155,15.962306
0.23,0.0,0.069232,-0.118998,0.140418,-0.478879,0.578937,0.108322,0.839716,-6.699758,14.350459
0.24,-1.214133,0.061946,-0.108522,0.136177,-0.978031,1.511161,-0.942359,-49.827351,91.814205,-101.113839
0.25,0.0,0.05222,-0.0939,0.1279,-0.967396,1.415235,-0.718021,1.00146,-8.97473,21.006491
0.26,0.0,0.042594,-0.080178,0.121726,-0.957977,1.331235,-0.521057,0.883169,-7.840619,18.428086
0.27,0.0,0.033057,-0.06724,0.117398,-0.949707,1.258013,-0.348349,0.771854,-6.818378,16.153024
0.28,0.0,0.023596,-0.054985,0.114688,-0.942514,1.194488,-0.196972,0.667647,-5.899962,14.158763
0.29,0.0,0.014203,-0.043321,0.113396,-0.936328,1.139669,-0.064244,0.570347,-5.076068,12.419699
0.3,0.0,0.004867,-0.032166,0.113349,-0.931083,1.092658,0.052255,0.479557,-4.337032,10.909491
0.31,0.0,-0.004422,-0.021445,0.114394,-0.926715,1.052654,0.154685,0.394776,-3.673377,9.602487
0.32,-2.976698,-0.019949,0.001565,0.100756,-2.177236,3.533988,-2.843328,-124.579352,243.794288,-288.935083
0.33,0.0,-0.041653,0.036247,0.074048,-2.163789,3.405545,-2.505204,1.261036,-11.856241,31.699846
0.34,0.0,-0.063231,0.069741,0.050512,-2.15203,3.296609,-2.208755,1.090041,-9.941005,27.612661
0.35,0.0,-0.084699,0.102241,0.029741,-2.141973,3.206318,-1.951968,0.922071,-8.13293,23.782985
0.36,0.0,-0.106076,0.133926,0.011351,-2.133554,3.133463,-1.731895,0.763231,-6.456939,20.277811
0.37,0.0,-0.127375,0.164964,-0.005008,-2.126661,3.076662,-1.545129,0.617367,-4.923178,17.124896
0.38,0.0,-0.148613,0.195508,-0.019651,-2.121152,3.034485,-1.388119,0.486733,-3.532125,14.326266
0.39,0.0,-0.169803,0.225697,-0.032858,-2.116868,3.005529,-1.257383,0.372524,-2.278452,11.86839
0.4,-2.374353,-0.195785,0.265057,-0.056313,-3.074709,4.839629,-3.371497,-94.212661,175.02316,-192.010876
0.41,0.0,-0.226424,0.312844,-0.088145,-3.053332,4.721196,-3.001898,2.070535,-10.795261,34.858845
