time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,1.5,-1.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.079600907280369e-06,1.5000011775318856,-0.999997736455609,-0.5399995358951809,1.255815282973628e-07,5.719264031297846e-09,0.000107960090728,0.0001177531885477,0.0002263544390986,4.641048191683369e-05,1.255815282973628e-05,5.719264031297847e-07,0.0147326684119331,0.0113789865495436,0.0341107503760401,-0.0080320166140193,0.0079674429784709,0.0107274564354753,0.0018195602200834,-4.0158974541056045,-4.595616913766523,-1.0315646640157463,0.0002090394705645,-0.0004860234026574
0.02,5.908106659447623e-06,1.5000062360661242,-1.0000337792147198,-0.5400069497470421,3.87691270855223e-07,3.4177812873628594e-08,0.0004828505752167,0.0005058534238553,-0.0036042759110873,-0.0007413851861229,2.6210974255786016e-05,2.8458548842330738e-06,0.0611040301068735,0.0912764268897111,-0.5819247249579954,0.0223424134720244,-0.0768024387741075,0.0670937263971776,0.0068039274536728,-4.048545266385591,-4.672246524272354,-1.0499789602033784,0.0005839479904174,-0.0004786722464116
0.03,1.632682037720777e-05,1.5000143592989374,-1.0001362068657846,-0.5400287766932746,9.643352403402016e-07,8.406789678845866e-08,0.001041871371776,0.0008123232813316,-0.0102427651064878,-0.0021826946232555,5.766439694849786e-05,4.989008391483007e-06,0.0875603744991251,0.1180669438000532,-0.9828784238030348,-0.0609097806557081,-0.0764309294450427,0.0671272966426555,0.0117641075508277,-4.0808562270703534,-4.748250641013392,-1.0682292846961805,0.0009568556183588,-0.0004712828124298
0.04,3.360418742621875e-05,1.5000226759335518,-1.0003243417726484,-0.5400696336099368,1.9839891523264694e-06,1.543696971779211e-07,0.001727736704901,0.0008316634614379,-0.0188134906863757,-0.0040856916662133,0.0001019653911986,7.030180038946244e-06,0.1055865186116788,0.1095472649533866,-1.2543889041672964,-0.1259179543569444,-0.0741038938766782,0.066863756575973,0.0166865101703517,-4.112440569301052,-4.823015603873444,-1.0861551908191125,0.0013268196594822,-0.0004637994172064
0.05,5.8599895502330966e-05,1.500027260745391,-1.0006111692201454,-0.5401326956347978,3.5351087176391694e-06,2.4431281628146645e-07,0.0024995708076112,0.0004584811839321,-0.0286827447497036,-0.0063062024861014,0.0001551119565312,8.994311910354531e-06,0.1177495624604627,0.080401366751802,-1.4340632486140346,-0.1715695574276297,-0.0719907793541682,0.0664926867913733,0.0215591439360676,-4.142905961825723,-4.895955676547611,-1.103604820820056,0.0016930515489044,-0.0004561679123256
0.06,9.18802653589351e-05,1.5000238043476462,-1.001004984494259,-0.5402200569990688,5.677529205099074e-06,3.53323232640038e-07,0.0033280369856604,-0.0003456397744796,-0.0393815274113634,-0.0087361364270971,0.0002142420487459,1.0901041635857152e-05,0.1257012858565034,0.0406537096805019,-1.546316591038057,-0.2026267293165187,-0.0699985508271667,0.0660168649635907,0.0263709666937834,-4.171863715692095,-4.966511464133938,-1.1204341341545456,0.0020548601448468,-0.0004483366279552
0.07,0.0001337996758664,1.5000080566142728,-1.0015105246117355,-0.5403329817069336,8.450645308690691e-06,4.809887048841185e-07,0.0041919410507502,-0.0015747733373399,-0.050554011747667,-0.0112924707864672,0.0002773116103591,1.2766547224408058e-05,0.13060294726111,-0.0029967075200138,-1.60782955418211,-0.2226992909786265,-0.0680142820951944,0.0654384659322075,0.0311115427329025,-4.198934133455028,-5.034149740057676,-1.1365066441986929,0.0024116194007227,-0.0004402569804938
0.08,0.0001845580122999,1.4999761160384404,-1.0021297521731864,-0.5404720778478479,1.187918521738366e-05,6.270358765632852e-07,0.0050758336433549,-0.0031940575832504,-0.0619227561450802,-0.0139096140914393,0.0003428539908692,1.460471716791667e-05,0.1332739200952572,-0.046120966100832,-1.6301270470346243,-0.2343029891456325,-0.0659571970653521,0.0647593619944134,0.0357708602542488,-4.223750894608036,-5.098364287002482,-1.1516934918344277,0.0027627489561705,-0.0004318839509234
0.09,0.0002442411936821,1.4999246141862903,-1.002862404652304,-0.5406374203388984,1.5977281280063548e-05,7.913142611528143e-07,0.0059683181382113,-0.0051501852149779,-0.0732652479117473,-0.0165342491050467,0.0004098096062679,1.6427838458952913e-05,0.1342924735878267,-0.0858339527891714,-1.621260102892679,-0.2391977428128031,-0.0637713567721374,0.06398108946059,0.0403392365700921,-4.245964614692616,-5.158677402101379,-1.1658737318895729,0.0031077020188734,-0.00042317651314
0.1,0.0003128497716465,1.499850828626136,-1.0037063859976725,-0.5408286390345397,2.0751337571716536e-05,9.7378404030727e-07,0.0068608577964493,-0.0073785560154447,-0.0843981345368246,-0.0191218695641344,0.0004774056291652,1.8246977915445583e-05,0.1340669605898311,-0.1203006398517171,-1.5869432250241415,-0.2386350336515192,-0.0614192200202614,0.0631048582177696,0.0448072739698725,-4.265245782211062,-5.214641796206252,-1.1789347459601134,0.0034459576371983,-0.0004140980371384
0.11,0.0003903191325537,1.4997527469819107,-1.0046580526729112,-0.5410449836899296,2.620204834414457e-05,1.1745057946903666e-06,0.0077469360907126,-0.009808164422522,-0.0951666675238827,-0.0216344655389837,0.0005450710772428,2.0072175438309635e-05,0.1328861713033508,-0.1484010130963216,-1.5313254835576304,-0.2335263202721167,-0.0588770016639251,0.0621315846321421,0.0491658463324609,-4.281287268853362,-5.2658426891416905,-1.1907727218974469,0.0037770157804132,-0.000404616670138
0.12,0.0004765338001183,1.499629097465514,-1.005712429433932,-0.5412853735516416,3.232581774157185e-05,1.3936310437444936e-06,0.008621466756465,-0.0123649516396657,-0.1054376761020841,-0.0240389861712,0.0006123769397427,2.19125249054127e-05,0.1309549346823897,-0.1695028622917559,-1.4575128298709863,-0.2245567920864246,-0.0561313231351178,0.0610619348402057,0.0534061050430936,-4.293806572027354,-5.311899958784915,-1.2012931585837974,0.0041003942971622,-0.0003947056910648
0.13,0.0005713376033103,1.499479356285251,-1.006863378699372,-0.5415484368245566,3.911575784098214e-05,1.6313929478775995e-06,0.0094803803192023,-0.0149741180262815,-0.1150949265440108,-0.0263063272914929,0.000678994009941,2.3776190413310588e-05,0.1284192734457603,-0.1833078797817939,-1.3679212579001925,-0.2122619273039321,-0.0531767787638988,0.0598963718765486,0.0575194971115028,-4.302547905765911,-5.352470242423611,-1.210411366964851,0.0044156271622294,-0.0003843438319308
0.14,0.0006745409557134,1.4993037389584345,-1.0081037395862755,-0.541832543545887,4.656239018699575e-05,1.8880968250969611e-06,0.0103203352403008,-0.0175617326816552,-0.1240360886903405,-0.0284106721330354,0.0007446632346013,2.5670387721936174e-05,0.1253841637415747,-0.1897475831447806,-1.2645149133139475,-0.1970787555775928,-0.0500141542193723,0.0586352037571033,0.0614977907190709,-4.307284215796925,-5.38724891740079,-1.2180529465677203,0.0047222636087314,-0.0003735155599933
0.15,0.0007859261254703,1.499103180267023,-1.00942544738557,-0.5421358342280427,5.465413927340956e-05,2.164110319497416e-06,0.0111385169756969,-0.020055869141166,-0.1321707799294418,-0.0303290682155714,0.0008091749086413,2.7601349440045444e-05,0.1219260605851786,-0.1889130999646279,-1.1489659128530303,-0.1793799106183753,-0.0466491098164624,0.0572786314518099,0.0653331047556976,-4.307819160081696,-5.415971907902487,-1.2241542222802593,0.0050198678538137,-0.00036221131561
0.16,0.0009052511151413,1.4988793060409085,-1.0108196406448342,-0.5424562458358766,6.337768044714927e-05,2.459853172956224e-06,0.011932498967097,-0.0223874226114421,-0.1394193259264368,-0.0320411607833868,0.0008723541173739,2.9574285345880796e-05,0.1181017189585989,-0.1810079589719731,-1.0227608604150031,-0.1594959745119935,-0.0430911943544683,0.055826796497203,0.0690179397253207,-4.30398906804181,-5.438417278588984,-1.2286626299513026,0.0053080191968507,-0.0003504277018543
