time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,0.0,0.044101,3.0717,3.134944,0.081145,-0.040237,-0.118632,0.402709,2.112098,-1.82779
0.01,0.0,-0.073267,-3.075924,3.132918,0.166048,-0.035714,0.019338,-0.388067,-2.26635,1.287037
0.02,0.0,-0.082389,-3.141432,3.103417,0.017107,0.043721,0.054215,-0.022617,-0.739021,-1.141482
0.03,0.0,0.058438,-3.130775,-3.117642,0.088145,-0.021156,-0.130071,-0.050826,0.113119,0.9857
0.04,0.0,0.025222,3.128399,-3.066526,-0.031707,-0.115652,-0.059599,0.119804,1.855624,1.927149
0.05,0.0,-0.094123,-3.117099,-3.069295,-0.165874,0.054204,0.187137,-0.100834,0.582558,2.702641
0.06,0.0,0.007818,-3.049467,-3.116782,0.033263,-0.155554,0.030962,-0.519676,-2.458448,2.896212
0.07,0.0,0.037065,3.050287,3.098815,-0.023226,0.037665,-0.124054,0.504449,2.099807,-3.394563
0.08,0.0,-0.060739,3.127237,3.103198,-0.062593,-0.064968,0.017374,0.063307,-0.269139,-1.486288
0.09,0.0,0.092883,3.099465,-3.125364,0.072726,-0.138915,-0.201034,0.254873,1.67013,-0.485137
0.1,0.0,-0.074714,3.064681,-3.095991,-0.067534,0.063106,0.006963,0.47181,3.316948,-0.458364
0.11,0.0,0.072417,-3.090915,-3.041782,0.16275,0.08149,0.090186,-0.239239,0.251004,4.131535
0.12,0.0,-0.027981,3.103821,-3.072586,0.096683,0.007033,0.103929,0.25883,2.51552,1.146808
0.13,0.0,-0.046857,-3.060488,-3.063748,0.011105,-0.153264,0.039385,-0.425343,-1.106921,4.203907
0.14,0.0,0.018744,-3.068975,-3.102027,0.041167,0.060584,0.082425,-0.400552,-1.574151,2.87269
0.15,0.0,0.003934,3.133631,3.082951,0.031936,0.236586,0.011819,0.011464,-0.880225,-1.942251
0.16,0.0,-0.030539,-3.137405,3.097475,-0.010361,-0.099875,-0.15846,-0.049452,-0.967474,-1.198068
0.17,0.0,-0.081047,3.071314,-3.046542,0.033974,-0.091544,-0.040367,0.458615,4.025631,1.153869
0.18,0.0,-0.035536,-3.128998,3.109095,0.02271,0.031419,0.02667,-0.092328,-1.0288,-0.675458
0.19,0.0,0.029437,3.127862,3.100486,-0.158532,0.105206,-0.064178,0.056539,-0.351364,-1.545638
0.2,0.0,-0.003047,-3.061348,-3.086918,-0.029167,0.049884,-0.134577,-0.436491,-1.527178,3.518901
0.21,0.0,0.01499,-3.12479,3.090111,0.017204,-0.153503,-0.035162,-0.126286,-1.510537,-1.133176
0.22,0.0,0.055216,3.112446,-3.057713,0.031467,0.050018,0.044424,0.216144,2.514513,1.793988
0.23,0.0,0.024418,-3.075203,3.097008,0.030272,0.161857,0.083763,-0.412262,-2.981185,0.22751
0.24,0.0,0.072463,-3.04331,3.063149,-0.058344,-0.107276,0.038511,-0.607422,-4.585819,-0.007648
0.25,0.0,-0.014989,-3.135848,-3.061018,0.217098,-0.046726,0.09566,0.011774,1.344783,2.519214
