time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-0.185902,0.07318,3.061872,-3.063802,-0.109547,-0.163644,0.159179,-7.327355,-11.874533,12.34773
0.01,0.0,-0.01534,3.071682,-3.126623,0.092276,0.145591,0.117058,0.414712,2.509126,-1.213535
0.02,0.0,0.077406,3.10147,3.140635,-0.0529,-0.067563,-0.044525,0.23479,1.273974,-0.969803
0.03,0.0,-0.090455,3.130057,3.112664,0.04717,0.141689,-0.02558,0.049676,-0.194059,-1.134903
0.04,0.0,0.075905,3.120289,3.098771,0.009995,0.104664,0.010576,0.099647,-0.142606,-1.782209
0.05,0.0,0.030545,3.127661,3.088703,-0.061908,-0.052965,-0.148052,0.051432,-0.555871,-1.887472
0.06,0.0,-0.044993,-3.0422,3.110303,-0.150626,0.026369,-0.054761,-0.592064,-3.757636,1.410162
0.07,0.0,-0.082874,3.130691,3.072057,-0.045512,0.044303,0.009058,0.02444,-0.976028,-2.326883
0.08,0.0,-0.05175,-3.055183,3.055086,0.062855,-0.096508,-0.072924,-0.545385,-4.361392,-0.508716
0.09,0.0,-0.087526,-3.050778,3.112811,0.133554,-0.03658,-0.031208,-0.542809,-3.440285,1.283997
0.1,0.0,0.033815,3.091748,3.141152,0.048773,-0.074719,-0.075908,0.291045,1.594415,-1.178607
0.11,0.0,0.006929,-3.046136,3.119616,-0.123879,-0.023481,-0.263054,-0.565186,-3.451451,1.616856
0.12,0.0,-0.055336,3.059572,-3.095262,0.013978,0.140085,0.077472,0.500759,3.483889,-0.564272
0.13,0.0,0.045299,-3.113553,3.065201,0.024817,-0.065197,0.11083,-0.204965,-2.342653,-1.618036
0.14,0.0,0.024897,-3.135893,3.055515,0.061589,-0.063867,-0.154103,-0.081926,-1.803838,-2.400066
0.15,0.0,0.060957,-3.073451,-3.132581,0.072451,0.052599,0.050333,-0.392589,-2.013109,1.865975
0.16,0.0,0.048288,3.064514,3.098325,0.078872,-0.100718,-0.032103,0.424359,1.647089,-3.090694
0.17,0.0,-0.054807,3.106925,3.124945,-0.006451,0.068509,0.049453,0.193293,0.788312,-1.320898
0.18,0.0,-0.00909,3.074672,3.051873,0.110082,0.130145,-0.094078,0.336127,0.434516,-4.216487
0.19,0.0,0.092838,-3.135076,3.074108,0.009668,0.112798,0.153404,-0.075909,-1.498916,-1.871658
0.2,0.0,-0.034928,-3.102227,3.131002,0.155735,0.047422,-0.151726,-0.238324,-1.46844,0.630351
0.21,0.0,0.068496,-3.069867,-3.081886,-0.099948,-0.019386,-0.145002,-0.383643,-1.156226,3.471077
0.22,0.0,-0.073111,-3.066096,3.062145,-0.017593,-0.048289,0.053756,-0.479764,-3.898403,-0.576222
0.23,0.0,0.028661,3.129552,3.04979,-0.014799,-0.132468,-0.078331,0.01957,-1.338629,-2.996714
0.24,0.0,-0.007791,3.113387,3.082586,0.062003,-0.154166,0.009154,0.132817,-0.210811,-2.423148
0.25,0.0,0.006969,3.059738,3.057885,0.143354,-0.042809,-0.075536,0.426417,1.035031,-4.381323
0.26,0.0,-0.001131,-3.113963,-3.092873,0.091077,0.032809,0.044138,-0.134446,0.040763,2.098646
0.27,0.0,0.071596,-3.097909,-3.093208,-0.058155,0.097016,0.131604,-0.227535,-0.485276,2.453743
0.28,0.0,-0.042044,3.074869,3.069518,0.302057,0.009896,0.150099,0.346836,0.763318,-3.717925
0.29,0.0,-0.085643,-3.074893,3.135428,0.034117,0.125489,0.037504,-0.393458,-2.261598,1.381637
0.3,0.0,0.038842,3.107556,3.134665,-0.083167,-0.163288,0.065749,0.197812,0.971051,-1.017109
0.31,0.0,0.047641,-3.076664,-3.077881,0.055449,-0.043141,0.173115,-0.340687,-0.865969,3.397788
0.32,0.0,0.0107,-3.076852,-3.040158,0.128026,0.071575,0.178652,-0.318316,-0.170859,4.491761
0.33,0.0,0.082106,-3.048745,3.043825,-0.20736,0.061865,-0.073002,-0.586806,-4.772024,-0.684629
0.34,0.0,-0.033625,-3.076779,3.074741,-0.093245,0.078213,-0.024541,-0.41402,-3.339556,-0.4533
0.35,0.0,0.028406,3.119165,-3.10868,-0.031292,-0.025165,-0.021569,0.150104,1.351381,0.4547
0.36,0.0,0.04981,3.132808,-3.094915,0.006688,0.146945,-0.060169,0.07616,1.164928,1.191249
0.37,0.0,-0.026427,-3.129131,3.086271,-0.049258,-0.068448,0.272324,-0.101391,-1.450143,-1.383543
0.38,0.0,-0.024995,-3.107319,3.127599,0.017031,0.144385,0.054235,-0.209578,-1.378044,0.383805
0.39,0.0,-0.007488,-3.045188,-3.059728,0.02627,0.178061,0.162194,-0.511544,-1.546606,4.651078
0.4,0.0,0.061569,3.09612,3.10646,-0.248463,0.084271,-0.118166,0.245588,0.783362,-2.108095
0.41,0.0,0.012449,3.053988,-3.066847,-0.075943,-0.069855,-0.026312,0.547673,4.199095,0.150288
0.42,0.0,0.03675,-3.082474,-3.0801,-0.175508,0.081012,0.068526,-0.309264,-0.727883,3.20756
0.43,0.0,-0.036853,-3.084971,-3.073706,0.039519,0.055433,0.273413,-0.290035,-0.533474,3.313429
0.44,0.0,-0.031597,-3.114739,-3.051511,-0.132797,-0.189042,-0.004412,-0.103926,0.858785,3.308854
0.45,0.0,0.009193,-3.08288,3.107266,0.054153,-0.150749,-0.06692,-0.361032,-2.522644,0.37062
0.46,0.0,0.008008,3.062419,3.066087,0.07397,0.212828,0.084499,0.415621,1.085849,-4.106338
0.47,0.0,-0.022006,3.111115,-3.137093,-0.077303,-0.058195,0.007749,0.181953,1.06885,-0.585863
0.48,0.0,-0.002167,3.11764,-3.083859,0.043278,0.154433,0.067286,0.171345,1.855361,1.145858
0.49,0.0,-0.005614,-3.116181,3.114686,0.087785,0.064623,-0.126251,-0.165732,-1.334575,-0.188804
0.5,0.0,0.037965,3.104593,-3.103697,0.116175,-0.07697,-0.023717,0.23767,1.914213,0.26035
0.51,0.0,0.027737,-3.053706,-3.068933,-0.080788,0.055397,-0.024377,-0.468577,-1.432624,4.209155
0.52,0.0,-0.095525,3.05897,-3.087074,0.011253,-0.144082,0.194208,0.511946,3.67648,-0.347656
0.53,0.0,0.078028,3.140565,-3.056455,-0.078687,-0.132067,0.120113,0.055944,1.65575,2.491448
0.54,0.0,0.027146,3.067177,-3.048095,-0.101386,0.013322,0.060615,0.481604,4.120085,0.99666
0.55,0.0,0.059247,3.114129,3.138338,0.085684,-0.114784,0.008836,0.15982,0.826246,-0.745067
0.56,0.0,-0.04672,-3.081089,3.123087,-0.067608,-0.15436,0.094058,-0.361593,-2.281076,0.864536
0.57,0.0,-0.010706,-3.115896,-3.121004,0.085232,-0.05515,-0.099129,-0.13933,-0.426521,1.233074
0.58,0.0,0.025471,-3.049395,-3.056685,0.029353,-0.110331,0.018508,-0.484593,-1.331337,4.662831
