ay,ax,vx,curv,steer_target,steer_meas,az
8.83727492702283,-14.9547897294761,48.134084477328,0.00381629818398433,0.0142062688345873,0.01364366,9.71567051104126
8.9201877149711,-14.4176684859101,47.3044986337252,0.00346723844771868,0.0142972314893765,0.01364366,9.71315796416443
7.95436237117516,-13.2125975240119,46.586339493932,0.00346881372030338,0.0148062041970462,0.014446228,9.73791654304133
8.17785692993651,-13.512288096052,45.9157044813167,0.0039766284572853,0.0145490967962034,0.014446228,9.71858130601791
8.5524596802548,-12.8727822721117,45.2454213307417,0.00365525163823599,0.0154305840632611,0.0136779698740407,9.70810500654204
8.7402992943218,-12.2776587662877,44.6501234701701,0.00368087507396033,0.0161108709355843,0.015248796,9.69741729553862
8.01048223813249,-11.5713590702369,43.983974567253,0.00382327723467877,0.0166402002054287,0.016051365,9.69581631961099
7.46036516578491,-10.4001664488773,43.3924777752597,0.00411999806208288,0.0172277025994015,0.016051365,9.69522288824602
7.58760543272206,-9.61951099155453,42.9151159934059,0.00410633089102231,0.0182008726671473,0.016853932,9.68493471297859
7.50284480258931,-8.47236325401783,42.4737041982346,0.00434230753398621,0.0188635470947271,0.0184304303760509,9.6826095973758
8.56182332665014,-7.25379757871744,42.0754582187785,0.00461785298086004,0.0198588105642774,0.019261638,9.66212509264862
8.45201238458417,-7.52154822800641,41.7029058437583,0.00492714197122554,0.0205472690080998,0.019261638,9.66176614791969
8.75550425707753,-7.49934691226779,41.3390162081492,0.00533354851653097,0.0217371508309516,0.020064205,9.65086243600117
9.6690369522294,-8.19642328475421,40.9701711968623,0.00555094333319106,0.0223834581219168,0.020929097134005,9.62541664798018
9.24096624602715,-7.72065464931017,40.5562314990351,0.00554284808099235,0.023454745059626,0.02247191,9.6211325536391
9.79767499416677,-7.67605713758157,40.1878984796128,0.00627631340386966,0.0241318610274245,0.0225413976746178,9.59064004822022
10.3058716730256,-8.15505343999222,39.8230683729655,0.00650160531929978,0.025220237456849,0.024077047,9.5433640853417
9.48097805164223,-8.46168215196015,39.4341239172154,0.00622368417294971,0.0268124454739611,0.024879614,9.54529025293776
10.4238566981883,-6.84129814288893,39.0376830413908,0.00716178241217527,0.0274311944514946,0.0265121457219544,9.52081788398763
11.0327244830506,-5.79573246543161,38.812163910733,0.00920709218994504,0.0258999408138913,0.026484752,9.51124136920587
12.6143597625767,-6.078096365667,38.4921544218608,0.00860761221191255,0.0274498684649773,0.0249147339165838,9.52152453520495
13.2634170783622,-5.84186241484218,38.1135113766028,0.00680260700459161,0.0299794982211726,0.0280410669089794,9.56000032071165
12.0139381130974,-5.7602313082885,37.7989483534038,0.00691613689559262,0.0312043317808305,0.030497592,9.67616609561088
10.6240745127094,-5.15118205416459,37.4815094186731,0.0082207929679168,0.031702005281686,0.031300161,9.80681193833815
10.6020362978671,-6.08431022400807,37.2114223585635,0.00864790195275922,0.0318893983911111,0.03210273,9.94325330536919
11.9983708641303,-5.22127618691986,36.9334864432834,0.00838714545491905,0.0345424339213048,0.0328783393879614,10.0398215490985
11.8426951170063,-5.33082158943288,36.6620452762393,0.00946726826946137,0.0350651985127192,0.034510434,10.1221347348703
12.6381712055769,-5.25099677658612,36.356733728477,0.00945493887728293,0.0361223679219367,0.0360824620892432,10.1574332312943
12.5276908799948,-4.42096325467136,36.0451891840976,0.0106840806627263,0.0372432201524508,0.0369133315929231,10.1818137421254
13.3935178607297,-4.3804177740647,35.8588208412964,0.0115380299096112,0.0372027632177567,0.036918137,10.1729032920224
13.9223590792064,-3.93782473960537,35.66684900402,0.0100428479232865,0.0393262256993921,0.0369209471081608,10.1383361870845
13.7600747309951,-3.43254476937803,35.4703955101759,0.0104122471198269,0.0409388329710779,0.04012841,10.1228148102965
13.9746652674097,-3.16103620462131,35.3438512887385,0.0114468774883887,0.0410753126513821,0.0410053529920688,10.0970906656113
13.182000058375,-2.48548364755741,35.1334895119494,0.0119527053579646,0.0420677613135706,0.0401604544408302,10.1338545094436
14.6598470065959,-2.31110935006659,34.9622805906364,0.0113136217807947,0.0424128778595907,0.042536117,10.1075918727234
13.9196699419171,-1.98454195531431,34.8448012875878,0.0118994491430437,0.0435911372788628,0.042536117,10.1628186484358
14.4737725726193,-2.22414469230076,34.6811829646202,0.0124343378717541,0.0434022819031234,0.042536117,10.1473549685327
13.8792541159986,-2.14311695521181,34.5509233570386,0.011270663342963,0.044922328088859,0.043338683,10.1559042649581
14.6952041555446,-1.81837349599913,34.4095112137047,0.0127128224202055,0.0446783280855164,0.044943821,10.1023360413933
14.5057074463325,-2.06395660188455,34.2649843382692,0.0131386282170736,0.0445206417290606,0.043338683,10.0825677659731
15.4672712788967,-2.12074309179616,34.1449228769546,0.0125463934649974,0.0458650073104325,0.0441858329963513,10.010957203733
14.9427503462905,-2.24253654186611,34.0642944092517,0.0122476607137857,0.0476223074784708,0.04574639,10.0050991490955
15.0768762539922,-2.05739673068884,33.9717614181126,0.0127380606295122,0.0483594835993516,0.0473623390007813,9.96723711303072
14.116067063065,-2.19257061377258,33.8501931741812,0.0135724899235396,0.0486341680233129,0.0480876414077195,10.0094054601399
15.7077493840482,-2.32542392632227,33.7482581281853,0.0131335673109043,0.050274039797021,0.048956662,9.95989321467002
15.4393644930101,-2.0489665167965,33.7007478980183,0.0132177299050125,0.051062062424686,0.0505247541924622,10.0117237346758
16.7343086617276,-1.69968462390639,33.5689216159653,0.0143109821207581,0.0510848747318514,0.051364366,9.98593224587243
14.8743331916373,-1.59583485135689,33.4385932625064,0.0138664826993473,0.0526057647336582,0.050561797,10.0937997433031
