t,Speed,accx,accy,yaw_rate,steering_angle,current
0.0,470.0,0.17918373194394732,-0.12547884266172543,9.765624995970946,0.1453594118356704,1.54
0.05,884.3652530975137,0.2283013612652171,-0.0714886963361295,6.521553529016359,0.14609189336677633,2.252119139718397
0.1,1249.1789218396134,0.36766580332876997,-0.00835869075928013,9.702758603836038,0.14472500492396514,3.5785681830340423
0.15000000000000002,1898.8509716180765,0.45633830912377393,0.04538079378508227,16.724625498261336,0.1453182775095049,5.872971549932425
0.2,2855.5248950092787,0.4486566266259469,0.06105036885774393,21.56340479511079,0.12062954347773025,6.394888856333626
0.25,3473.640845489729,0.408646353401362,0.05926515624458066,23.930331389150034,0.08156298554376196,4.594715093777911
0.30000000000000004,4067.0926807084734,0.3566105634474561,0.05977945804696562,24.656566749303547,0.05625684823528012,4.062185447582576
0.35000000000000003,4636.2998981200735,0.29511354007125334,0.04505903936824088,21.013624303974467,0.051777307765275705,3.5594579745300177
0.4,5213.20011561171,0.22625972779426232,0.024448499216297128,15.6005971953233,0.06353939480314334,3.0534494405219044
0.45,5746.405130966952,0.16319548745555484,0.02414005922417881,14.108973998424748,0.07286842542876383,2.6007814932680535
0.5,6180.841640504216,0.13627492102159555,0.02509310937431082,16.196596162781894,0.07313474779123207,2.336895979360909
0.55,6554.631788223103,0.1281666370564241,0.03253320744143188,18.223743013712113,0.0597282476592891,2.005308230814647
0.6000000000000001,6870.750382252967,0.09883968749450625,0.05715588329558992,18.130984074486015,0.057876301640403555,1.713952436042697
0.65,7178.954458953214,0.06737257168006987,0.07675717010053625,18.112721702479167,0.07525222086905785,1.9383591339421427
0.7000000000000001,7388.870124511542,0.05356586203484821,0.07754838152885346,20.217353559607822,0.08381416218024561,1.585699861653843
0.75,7590.0712001245765,0.06732166506862364,0.06224436581217987,23.7212228893598,0.09483257313252481,1.534879556316855
0.8,7775.551558042968,0.09228577788590277,0.052701878879471295,27.47964131813156,0.0849369369799699,1.5109799602816385
0.8500000000000001,7932.516916236341,0.09816473656001284,0.06774096201037515,30.112655220657075,0.11294220622989189,1.330316045781233
0.9,8069.00058517005,0.10700328429961437,0.07302581026956444,32.49848544234677,0.11185340264301052,1.1728804632999237
0.9500000000000001,8174.973366035225,0.1035839869905772,0.05330525876328505,34.82084531156609,0.1100819452815078,1.5069200981056736
1.0,8273.228949249464,0.06722528282433884,0.07553487611563275,37.08467960177647,0.1128838739216895,1.2699556826304503
1.05,8429.337180956838,0.04142457157089807,0.13046321300793703,39.64167829355048,0.10720811163626842,1.4697613755994847
1.1,8505.583973412113,0.0321785992905599,0.1563718134064967,40.12013999804715,0.08464513356965664,1.2115839734121123
1.1500000000000001,8610.275972508456,0.0350825109631053,0.17127784667414506,37.50545566278934,0.09591463337482911,1.043856251170955
1.2000000000000002,8678.037364392838,0.04389183245461148,0.15953716567901216,33.52877303904424,0.06579767066414902,1.5137706778569944
1.25,8747.701411974978,0.049458696896480595,0.09308366708654434,30.383954785435044,0.038391864736307985,1.2619905868334822
1.3,8804.848840880764,0.06660167867894115,0.03713713008064426,25.7512353271579,0.06795516076521921,1.0738653926049024
1.35,8902.697555194449,0.062311255505720434,0.023072388370844098,18.857503513562065,0.043691315952178386,1.3999060930761045
1.4000000000000001,8947.958152885367,0.05045720404257429,0.011550007377440448,14.692154912695191,0.043535340395238674,1.15
1.4500000000000002,9048.18531569283,0.058806632454123445,0.007223797055431605,13.803733828273808,0.05228223487047451,1.5389760158199515
1.5,9115.292181566097,0.05170912213531316,0.0344439407537748,15.054188630145799,0.0607666586985044,1.197292181566098
1.55,9146.691209028177,0.040791715620327004,0.10345382796887276,18.014374708619453,0.06516482024997439,1.109216120375695
1.6,9206.547206313147,0.03609708934414249,0.1572076908023953,20.484463769559568,0.06690126990515105,1.005419573145214
1.6500000000000001,9238.54812028897,0.029089854156175293,0.11740867737103033,22.013791352114296,0.0749013264396555,1.440111137229091
1.7000000000000002,9304.406179147574,0.023635968847848545,0.07825159373019433,22.726143394258344,0.09720617338051128,1.491370937166527
1.75,9389.933593335769,0.006033547824249553,0.11244579563600252,24.30572695993998,0.12196176905323124,1.2455752848440576
1.8,9503.263105142802,-0.011894374412445913,0.1536909955449506,31.11828744066785,0.1834690208695751,1.5435509171410493
1.85,9516.989947329186,-0.015892521950231376,0.20242151863708976,46.02134861170831,0.21986155673796554,0.9197340307226048
1.9000000000000001,9575.602232661759,-0.022372707408894757,0.2775260954657989,66.34335960015208,0.24469856045103613,0.8020381392870973
1.9500000000000002,9417.782786367377,-0.036819348349379055,0.3451884194175432,84.57872868889149,0.22886821897381895,0.65
2.0,9497.938249407216,-0.04272897295813596,0.39420497732496784,95.11669973203948,0.1844984054843121,0.7788387067773944
2.0500000000000003,9405.386068277347,-0.028246716666182517,0.41395291719808625,95.85552293450208,0.13885519766317925,0.6541039758993129
2.1,9321.867589129353,-0.020826995046483603,0.3836461162502088,85.06179168800506,0.04897270559432608,0.5941730049942717
2.15,9162.761964717429,-0.030971468487428856,0.30443669153316244,59.6602428496331,0.012516713715238052,0.7028957560380134
2.2,9171.571955252233,-0.0393164173126307,0.1945628043552797,27.858961839144484,0.023572887381781565,0.44166052205727213
2.25,8952.126327357297,-0.046367595742893036,0.07821506930838222,9.407561258166409,0.010880143246871884,0.6491271068402826
2.3000000000000003,8986.129360973613,-0.047505629743094455,0.005757877976045811,5.9417296065282965,0.0195783704405251,0.343697569689978
2.35,8902.36313021961,-0.050049039273818305,0.0187508881458593,5.387197101809457,0.03019405546198771,0.3222585833591078
