time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
0.05,0,0,27.6913794951034,-0.517467685953575,0,0,0,0,1.12616287456262,243.257377607113,241.507756778575,0,0
0.1,0,0.00553663580094583,27.5814583695756,-0.390736276771029,0,0,0,0,2.25447053537325,243.332003906694,242.88392180484,0,0
0.15,0.00526263770912091,0.0118864062553577,27.4902163086817,-0.636709108865019,0,0,0,0,3.3818248270254,242.926289285159,242.347040095051,0,0
0.2,0,0.0247821556273626,27.8381006349678,-0.475101909440885,0,0,0,0,4.50925466050731,240.865856119481,241.953523484673,0,0
0.25,0,0.0139094514147423,27.536416968596,-0.813587773586524,0,0,0,0,5.6367619219315,243.065176777791,241.977930340854,0,0
0.3,0,0.00626719082365395,27.6518194040712,-0.184457808737457,-0,-0,-0,0,6.764346605944,241.362455598976,242.222892458963,0,0
0.35,0.0108819793866199,0.0327169253474825,27.4230936869122,-0.803684017404132,-0,-0,-0,0,7.89200870458509,241.261099715489,241.682329966071,0,0
0.4,0,0.0393105413600851,27.663837608356,-0.439330002385814,-0,-0,-0,0,9.01974820989185,240.491046534865,241.338031557332,0,0
0.45,0.00830585544131117,0.0292408313912574,27.6212241852562,-0.411640949884495,-0,-0,-0,0,10.1475651139014,241.569872494972,242.030165113503,0,0
0.5,0.0230742321654833,0.0439263281153338,27.4975030455617,-0.478303374335136,-0,-0,-0,0,11.2754594086507,241.419076064248,240.529992916537,0,0
0.55,0.000601665152208779,0.0437843504927776,27.7701178478263,0.298634544636465,-0,-0,-0,0,12.403431086177,241.534378254516,240.917453713006,0,0
0.6,0,0.0395938364259966,27.2902195983439,0.273717875341641,-0,-0,-0,0,13.5314801385173,241.218085829138,241.688960706769,0,0
0.65,0,0.0358680004105876,27.5393643559948,-0.372381146593414,-0,-0,-0,0,14.6596065577086,240.441705622686,240.215958986765,0,0
0.7,0,0.0387683770507224,27.4496810050828,-0.426033707349367,-0,-0,-0,0,15.7878103357881,238.940896992271,241.309764633557,0,0
0.75,0.000509421680068972,0.066203222122163,27.4340706994396,-0.211991973644631,-0,-0,-0,0,16.9160914647929,240.537715623812,239.944476739567,0,0
0.8,0,0.058070547628545,27.4546575109686,0.0489996006306548,-0,-0,-0,0,18.04444993676,240.094175293321,239.761328742886,0,0
0.85,0,0.0626937648666185,27.3116709277598,-0.17319671458126,-0,-0,-0,0,19.1728857437265,240.690436717455,240.505267261152,0,0
0.9,0,0.0712851048417399,27.4450927623553,-0.135143489660559,-0,-0,-0,0,20.3013988777295,240.586327261404,239.893409674506,0,0
0.95,0,0.0721463426407045,27.5513094117599,-0.687999177343325,-0,-0,-0,0,21.429989330806,239.390521761549,239.744098056433,0,0
1,0,0.0694867045751388,27.5476312912235,0.00987308500361495,-0,-0,-0,0,22.5586570949932,239.238759800013,240.140410869509,0,0
1.05,0.00157084085205641,0.0828778346241044,27.3712237477582,0.00148329357393545,-0,-0,-0,0,23.6874285958769,239.566982291118,240.357259502521,0,0
1.1,0.00575196829583078,0.0816889375194104,27.1550717443927,-0.62589988698384,-0,-0,-0,0,24.8164057630423,239.106110907134,239.723818998252,0,0
1.15,0.00700576412856343,0.0696711792416504,27.4226432391854,-0.105671386216418,-0,-0,-0,0,25.9455790641493,238.728075187269,239.734532943274,0,0
1.2,0,0.0750299761319104,27.0706589626317,-0.718981328855409,-0,-0,-0,0,27.0749257252524,238.131062222869,239.161747535439,0,0
1.25,0.00517329812401141,0.0921343926609171,27.202429544757,-0.661196257349373,-0,-0,-0,0,28.2044229724058,238.869271253746,239.344911095355,0,0
1.3,0.00895839267121676,0.0909548122204643,27.3475943780695,-0.127986535694096,-0,-0,-0,0,29.3340480316638,237.980039431968,239.365329911374,0,0
1.35,0,0.0882105763043492,27.217893648445,-0.114511835169194,-0,-0,-0,0,30.4637781290808,237.890371241363,239.091605300076,0,0
1.4,0,0.0886799085131481,27.3845648555843,-0.0589328884510855,-0,-0,-0,0,31.5935904907112,238.759440163413,238.903677576219,0,0
1.45,0.0104347987119962,0.103639600560337,27.1270687634851,-0.887185527196918,-0,-0,-0,0,32.7234623426092,237.464031170956,239.259419540103,0,0
1.5,0,0.110820524333939,27.1632728344052,-0.679964620332767,-0,-0,-0,0,33.8533709108292,237.051999037666,238.840177202756,0,0
1.55,0,0.105472811205331,27.0758818012838,0.0822505831712784,-0,-0,-0,0,34.9832934214256,237.554264866468,239.628656957416,0,0
1.6,0.0245397196665505,0.101542815909013,27.212426874306,-0.0118124499033088,-0,-0,-0,0,36.1132071004527,237.807346268817,238.592373034512,0,0
1.65,0.00180156256875206,0.121235978825766,27.3484739210258,0.0636823345981755,-0,-0,-0,0,37.2430891739647,239.250395720064,238.864996244447,0,0
1.7,0,0.103486233863953,27.3317027683646,-0.0655284445658843,-0,-0,-0,0,38.3729168680161,238.513750109903,238.883798604136,0,0
1.75,0.0158522411611535,0.126165758363685,27.0335482302024,-0.442654952759471,-0,-0,-0,0,39.5026674086612,238.071037050615,237.608124414406,0,0
1.8,0,0.139989460428896,27.5463098724236,-0.133083249562078,-0,-0,-0,0,40.6323180219543,237.277352462916,238.516095705915,0,0
