time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
0.05,0.0173889863105329,0.00120141778075985,27.724940664379,-0.232272479833712,0,0,0,0,1.12616287456262,243.42766668473,242.47622564612,0,0
0.1,0.00992055401570405,0,27.5874953208928,-0.552068068833595,0,0,0,0,2.25447053537325,242.62784330273,243.033372681922,0,0
0.15,0,0.0256032049793184,27.4933830626324,-0.12170988618968,0,0,0,0,3.3818248270254,242.28179063711,243.105541616621,0,0
0.2,0.0305253106762074,0.00411572592573216,27.717853835218,0.0543829291703065,0,0,0,0,4.50925466050731,241.93893690646,242.775997294805,0,0
0.25,0,0.0250816368963578,27.773922839955,-0.350277371027599,0,0,0,0,5.6367619219315,242.29336743227,242.479050375882,0,0
0.3,0.0104401153651131,0.0169665896206968,27.7464205410622,-0.130699847815285,-0,-0,-0,0,6.764346605944,242.70707215724,242.373580116799,0,0
0.35,0.015201924432096,0.0266631044825498,27.5967788584381,-0.565449998985073,-0,-0,-0,0,7.89200870458509,240.290211756378,241.846418451833,0,0
0.4,0,0.0273118084953807,27.6102612229787,-0.490989901428264,-0,-0,-0,0,9.01974820989185,241.139957606015,241.195947964381,0,0
0.45,0.00734074052536502,0.0428714987287667,27.4248648048179,-0.341135138584244,-0,-0,-0,0,10.1475651139014,241.374179991232,241.058923683366,0,0
0.5,0,0.033937821122339,27.429045242859,-0.284170499405797,-0,-0,-0,0,11.2754594086507,241.380558850637,241.261751275117,0,0
0.55,0.0103327718414826,0.0431027313029877,27.4604991447564,-0.234376886297198,-0,-0,-0,0,12.403431086177,241.061094424482,240.87974277469,0,0
0.6,0,0.0383691209526959,27.5660751419489,-0.251016747013518,-0,-0,-0,0,13.5314801385173,240.184662806362,241.214560421833,0,0
0.65,0,0.0480754589913108,27.6226362000651,-0.60750046201752,-0,-0,-0,0,14.6596065577086,240.063042200488,240.873820147183,0,0
0.7,0.000713789465385175,0.0308205228146066,27.4060370179324,-0.124519412099713,-0,-0,-0,0,15.7878103357881,240.33007429724,240.350116780035,0,0
0.75,0.00616659417603061,0.0634941865202766,27.4281024294828,-0.319246608290794,-0,-0,-0,0,16.9160914647929,239.687488969695,241.154325581013,0,0
0.8,0.00688766805151007,0.0571114217695824,27.4023469792221,-0.43429549977391,-0,-0,-0,0,18.04444993676,240.458665227579,240.3925657196,0,0
0.85,0.00368284933484431,0.0644192780684227,27.4118688024896,-0.654072348329913,-0,-0,-0,0,19.1728857437265,239.385536651451,240.732850882767,0,0
0.9,0,0.0870487134400135,27.1939100386618,-0.838667023425483,-0,-0,-0,0,20.3013988777295,239.369917960008,240.951327583621,0,0
0.95,0.0122964183238065,0.0766224190518986,27.2944162713658,0.0305691916075226,-0,-0,-0,0,21.429989330806,239.96770993898,239.038975223349,0,0
1,0,0.0645184474856173,27.2535528360992,0.100742993394693,-0,-0,-0,0,22.5586570949932,239.616490026604,238.926904288922,0,0
1.05,0.0126387143007622,0.052516754084994,27.2234450110601,-0.515479418727968,-0,-0,-0,0,23.6874285958769,238.968694605434,239.703942556491,0,0
1.1,0.00743795290302387,0.0752391622234827,27.3869478532771,-0.216784012567593,-0,-0,-0,0,24.8164057630423,239.746070975434,239.641405543332,0,0
1.15,0.0166633752491702,0.081685592938697,27.4813074562872,-0.493748320936957,-0,-0,-0,0,25.9455790641493,239.596197816708,239.42338524366,0,0
1.2,0.000847649053613009,0.0773525249172564,27.408935976816,-0.612207913624595,-0,-0,-0,0,27.0749257252524,239.177292089159,239.297877570551,0,0
1.25,0.0160510971444978,0.0899002467361965,27.3313933876276,-0.1504404851489,-0,-0,-0,0,28.2044229724058,238.891878668667,238.676773890925,0,0
1.3,0,0.0883017569860786,27.2520303269458,0.155783136164691,-0,-0,-0,0,29.3340480316638,238.906744621515,239.396287445734,0,0
1.35,0,0.0821296764579484,27.3380577230146,-0.833169941279866,-0,-0,-0,0,30.4637781290808,238.348095611933,239.015392401976,0,0
1.4,0.00971950871436052,0.0958820385589884,27.1168975881887,-0.317571151436243,-0,-0,-0,0,31.5935904907112,239.197596337447,238.81530266929,0,0
1.45,0.00652733743375055,0.102344595388095,27.0849707297325,0.225806173707936,-0,-0,-0,0,32.7234623426092,237.787581072154,238.74435047076,0,0
1.5,0,0.111405491933552,27.1852543137359,-0.604328774937195,-0,-0,-0,0,33.8533709108292,237.606587345087,239.348809826544,0,0
1.55,0.013219745386014,0.111806536917476,26.9955711744949,-0.762774475449912,-0,-0,-0,0,34.9832934214256,237.638243932716,238.827939976263,0,0
1.6,0.00151194851800111,0.101010715688639,27.0885526507619,0.235129665242143,-0,-0,-0,0,36.1132071004527,237.481804557596,238.442587812199,0,0
1.65,0.0150953898653352,0.0895554354275445,27.1750771548578,-0.0283193544178981,-0,-0,-0,0,37.2430891739647,237.615033097869,238.456780411042,0,0
1.7,0.0111899896708662,0.120366011277443,27.0279663704492,-0.178611155250451,-0,-0,-0,0,38.3729168680161,238.337959403855,238.238403198126,0,0
1.75,0,0.114001799763677,27.3225715586941,0.0144161764914937,-0,-0,-0,0,39.5026674086612,236.983233782032,238.946715837456,0,0
1.8,0.00128592712871055,0.124060515076008,27.2256674305394,0.315932877944347,-0,-0,-0,0,40.6323180219543,238.149345874215,238.063563744419,0,0
1.85,0,0.127869798698605,27.1754337457858,-0.158565535890818,-0,-0,-0,0,41.7618459339498,237.380795440372,237.935000443889,0,0
1.9,0.00587295501765113,0.119506830258881,26.9920903766006,-0.251998557249561,-0,-0,-0,0,42.891228370702,237.54149744438,238.726172920391,0,0
1.95,0,0.158789771821995,26.7745185116953,-0.166334698911623,-0,-0,-0,0,44.0204425582652,237.648295998034,237.691375595089,0,0
2,0,0.153387096529067,27.1334095470738,-0.40911648151957,-0,-0,-0,0,45.1494657226938,237.891238361813,239.029456659377,0,0
