time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,1.719962,-0.036331,-0.181039,0.171031,0.127408,-0.029968,-0.186084,0.464766,-0.62689,-1.547543,-0.008375,-0.332476,-0.610445,-0.832422,14.600591,-36.99075
0.02,0.0,-0.029968,-0.186084,0.464766,-0.62689,-0.020601,-0.199447,0.471939,-0.710125,1.289368,-1.167128,1.373824,0.746894,0.210648,0.366626,-4.267911
0.04,0.0,-0.020601,-0.199447,0.471939,-0.710125,-0.011088,-0.214519,0.479446,-0.797839,0.302651,-1.43639,-1.333543,-1.966754,-1.267291,0.384366,-4.50937
0.06,0.0,-0.011088,-0.214519,0.479446,-0.797839,-0.001421,-0.231395,0.487326,-0.890727,-0.551529,-1.226828,0.164045,-0.882123,-0.658094,0.403861,-4.785345
0.08,0.0,-0.001421,-0.231395,0.487326,-0.890727,0.008408,-0.250187,0.495609,-0.989476,-0.629093,0.200618,-1.681528,-0.71793,-1.264984,0.424604,-5.095259
0.1,0.0,0.008408,-0.250187,0.495609,-0.989476,0.018406,-0.271018,0.504314,-1.094755,1.233857,0.231831,-1.04111,1.12003,0.51546,0.445949,-5.438318
0.12,0.0,0.018406,-0.271018,0.504314,-1.094755,0.028583,-0.294025,0.513445,-1.207217,0.241374,0.249916,0.719898,0.70922,-0.798975,0.467067,-5.813381
0.14,0.0,0.028583,-0.294025,0.513445,-1.207217,0.038947,-0.319359,0.522988,-1.327488,0.718969,2.098269,1.164557,-1.234154,1.14844,0.486905,-6.218813
0.16,0.0,0.038947,-0.319359,0.522988,-1.327488,0.049505,-0.347181,0.532904,-1.456152,0.019048,0.296161,1.146838,1.011393,1.332014,0.504137,-6.652332
0.18,0.0,0.049505,-0.347181,0.532904,-1.456152,0.060265,-0.377664,0.543125,-1.593743,-0.585177,-1.024516,0.278583,-0.620883,1.762065,0.517116,-7.110868
0.2,0.0,0.060265,-0.377664,0.543125,-1.593743,0.071232,-0.410993,0.553547,-1.740722,0.629039,0.221501,1.569453,-0.973975,-1.855122,0.523826,-7.590442
0.22,0.0,0.071232,-0.410993,0.553547,-1.740722,0.082407,-0.447358,0.564021,-1.897463,0.871205,0.236979,0.66335,0.888949,-0.714371,0.521851,-8.086086
0.24,0.0,0.082407,-0.447358,0.564021,-1.897463,0.093791,-0.486958,0.574345,-2.06423,0.120846,-0.512637,2.852428,1.048121,2.241413,0.508356,-8.591855
0.26,0.0,0.093791,-0.486958,0.574345,-2.06423,0.105378,-0.529995,0.584258,-2.241157,0.808198,-0.084762,0.733621,1.511344,0.609495,0.480095,-9.100934
0.28,0.0,0.105378,-0.529995,0.584258,-2.241157,0.117157,-0.576672,0.593428,-2.428238,-0.567727,-0.794344,1.412074,2.225215,-0.726402,0.433465,-9.605898
0.3,0.0,0.117157,-0.576672,0.593428,-2.428238,0.129108,-0.627191,0.60145,-2.625315,-1.801389,-0.452331,-0.086885,-0.039128,-0.456268,0.364595,-10.099133
0.32,0.0,0.129108,-0.627191,0.60145,-2.625315,0.141204,-0.68175,0.60784,-2.832079,0.641398,-1.477874,0.12727,-0.436912,1.253861,0.269492,-10.573417
0.34,0.0,0.141204,-0.68175,0.60784,-2.832079,0.153407,-0.740536,0.612032,-3.048088,0.011185,-0.421283,0.483249,0.208912,-0.20446,0.144234,-11.022632
0.36,0.0,0.153407,-0.740536,0.612032,-3.048088,0.165666,-0.803731,0.613387,-3.272794,-0.753289,-0.207749,0.129634,-1.387402,-0.865715,-0.014804,-11.442534
