time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,0.686923,-0.176411,-0.078605,-0.103137,0.21274,-0.177277,-0.07754,0.016287,-0.103836,1.132796,-0.507928,1.300287,-0.862424
0.02,0.0,-0.177277,-0.07754,0.016287,-0.103836,-0.176912,-0.080025,0.020218,-0.144673,1.073417,0.416158,-1.10434,-0.804778
0.04,0.0,-0.176912,-0.080025,0.020218,-0.144673,-0.176468,-0.083327,0.024146,-0.185555,0.270358,-1.256442,-0.500028,2.112023
0.06,0.0,-0.176468,-0.083327,0.024146,-0.185555,-0.175946,-0.087451,0.028115,-0.226953,-1.281049,-0.181436,-0.918858,-0.902791
0.08,0.0,-0.175946,-0.087451,0.028115,-0.226953,-0.175343,-0.092411,0.032168,-0.269324,-0.68498,-0.670452,-0.777966,-1.174725
0.1,0.0,-0.175343,-0.092411,0.032168,-0.269324,-0.174658,-0.098233,0.036346,-0.313114,0.365699,-0.778691,1.684692,-0.663525
0.12,0.0,-0.174658,-0.098233,0.036346,-0.313114,-0.173888,-0.104948,0.040689,-0.358767,0.855135,1.210077,0.64345,0.029435
0.14,0.0,-0.173888,-0.104948,0.040689,-0.358767,-0.173029,-0.112599,0.045238,-0.406724,0.176334,-0.423715,-0.151184,-0.67809
0.16,0.0,-0.173029,-0.112599,0.045238,-0.406724,-0.172077,-0.121236,0.05003,-0.457433,1.675913,-0.800488,-0.539012,-0.167573
0.18,0.0,-0.172077,-0.121236,0.05003,-0.457433,-0.171026,-0.130918,0.055105,-0.511349,0.540569,0.884633,-0.594778,0.782682
0.2,0.0,-0.171026,-0.130918,0.055105,-0.511349,-0.169871,-0.141714,0.060501,-0.568936,-1.230789,0.634582,0.313098,-0.61151
0.22,0.0,-0.169871,-0.141714,0.060501,-0.568936,-0.168604,-0.153703,0.066254,-0.630671,2.39836,-0.74211,-1.1891,1.017879
0.24,0.0,-0.168604,-0.153703,0.066254,-0.630671,-0.167218,-0.166972,0.072399,-0.697046,0.273751,1.584557,-0.076174,0.113512
0.26,0.0,-0.167218,-0.166972,0.072399,-0.697046,-0.165705,-0.181619,0.07897,-0.768569,0.061904,0.203666,0.575019,0.010845
0.28,0.0,-0.165705,-0.181619,0.07897,-0.768569,-0.164056,-0.197752,0.085997,-0.84576,-0.725846,-0.162836,-0.463741,1.401885
0.3,0.0,-0.164056,-0.197752,0.085997,-0.84576,-0.162262,-0.215491,0.093506,-0.929154,-0.181384,-2.519127,0.286981,-0.508211
0.32,0.0,-0.162262,-0.215491,0.093506,-0.929154,-0.160313,-0.234964,0.101514,-1.019297,-0.206153,0.567144,-0.188933,-0.003654
0.34,0.0,-0.160313,-0.234964,0.101514,-1.019297,-0.158198,-0.256311,0.110032,-1.116738,-1.87605,-3.025567,-2.495439,0.105153
0.36,0.0,-0.158198,-0.256311,0.110032,-1.116738,-0.155908,-0.279685,0.119056,-1.222026,0.030784,-1.359953,-0.182817,0.174394
0.38,0.0,-0.155908,-0.279685,0.119056,-1.222026,-0.153432,-0.305248,0.128569,-1.335695,-0.733625,0.588766,2.029159,-0.350975
0.4,0.0,-0.153432,-0.305248,0.128569,-1.335695,-0.150762,-0.333172,0.138528,-1.458259,1.319443,0.867433,0.478154,1.263301
0.42,0.0,-0.150762,-0.333172,0.138528,-1.458259,-0.147889,-0.363641,0.148867,-1.590189,0.775757,-1.138849,1.204882,-2.965011
0.44,0.0,-0.147889,-0.363641,0.148867,-1.590189,-0.144806,-0.396845,0.159483,-1.7319,-0.405665,-0.821955,-0.668011,-0.341891
0.46,0.0,-0.144806,-0.396845,0.159483,-1.7319,-0.141509,-0.432984,0.170233,-1.883729,0.722706,0.166853,0.245897,-0.413997
0.48,0.0,-0.141509,-0.432984,0.170233,-1.883729,-0.137997,-0.472263,0.180922,-2.045915,1.364154,-0.053637,-0.364378,-0.777587
0.5,0.0,-0.137997,-0.472263,0.180922,-2.045915,-0.134274,-0.514891,0.191298,-2.218577,1.27158,2.567413,0.260451,-1.409601
0.52,0.0,-0.134274,-0.514891,0.191298,-2.218577,-0.130349,-0.561076,0.201041,-2.401699,0.120405,1.216307,0.699851,-0.441081
0.54,0.0,-0.130349,-0.561076,0.201041,-2.401699,-0.126239,-0.611028,0.20976,-2.595119,0.973888,0.541544,0.720244,0.86149
0.56,0.0,-0.126239,-0.611028,0.20976,-2.595119,-0.121969,-0.664948,0.216981,-2.798526,0.718458,-0.334402,-1.080417,-0.905683
0.58,0.0,-0.121969,-0.664948,0.216981,-2.798526,-0.117573,-0.723032,0.222155,-3.011471,-1.27608,-1.891917,-0.712171,0.508103
0.6,0.0,-0.117573,-0.723032,0.222155,-3.011471,-0.1131,-0.785466,0.224654,-3.233395,-1.398184,0.365545,-0.826876,2.010027
0.62,0.0,-0.1131,-0.785466,0.224654,-3.233395,-0.10861,-0.852424,0.22378,-3.463671,-0.605075,0.270142,1.884397,0.502345
0.64,0.0,-0.10861,-0.852424,0.22378,-3.463671,-0.104176,-0.924065,0.218777,-3.701655,-1.024909,0.038405,1.773059,-0.521599
0.66,0.0,-0.104176,-0.924065,0.218777,-3.701655,-0.099891,-1.000537,0.208851,-3.946754,1.407682,-2.536263,2.103215,0.32888
0.68,0.0,-0.099891,-1.000537,0.208851,-3.946754,-0.095861,-1.081979,0.193188,-4.198488,0.356691,-1.414604,-0.997919,-1.686062
0.7,0.0,-0.095861,-1.081979,0.193188,-4.198488,-0.092207,-1.168519,0.170979,-4.456545,0.389161,-2.06306,-0.284749,-0.488889
0.72,0.0,-0.092207,-1.168519,0.170979,-4.456545,-0.08907,-1.260282,0.141453,-4.720814,-0.47502,1.560477,-0.322572,-0.422188
0.74,0.0,-0.08907,-1.260282,0.141453,-4.720814,-0.086603,-1.357394,0.103904,-4.991383,0.911656,-1.087781,-0.037148,1.765508
0.76,0.0,-0.086603,-1.357394,0.103904,-4.991383,-0.084972,-1.459981,0.057741,-5.268478,-1.212633,-0.282007,-1.124314,0.247422
0.78,0.0,-0.084972,-1.459981,0.057741,-5.268478,-0.084353,-1.568178,0.002538,-5.552322,-0.739349,-0.277704,0.953934,-0.884421
0.8,0.0,-0.084353,-1.568178,0.002538,-5.552322,-0.084932,-1.682119,-0.061885,-5.842881,-0.177349,0.911912,0.845034,0.048465
0.82,0.0,-0.084932,-1.682119,-0.061885,-5.842881,-0.086889,-1.801933,-0.13534,-6.139437,-0.656118,-0.590287,0.649703,-0.381495
0.84,0.0,-0.086889,-1.801933,-0.13534,-6.139437,-0.090401,-1.927723,-0.2171,-6.439923,-0.321968,-0.849669,-0.341056,0.010831
0.86,0.0,-0.090401,-1.927723,-0.2171,-6.439923,-0.095619,-2.059528,-0.305645,-6.739924,-0.664338,-0.321391,-0.721399,0.507655
0.88,0.0,-0.095619,-2.059528,-0.305645,-6.739924,-0.102655,-2.197264,-0.398337,-7.031324,0.321258,0.224411,-0.903549,0.138608
0.9,0.0,-0.102655,-2.197264,-0.398337,-7.031324,-0.111553,-2.340636,-0.49105,-7.300684,-1.135722,0.680739,1.113021,-1.102552
0.92,0.0,-0.111553,-2.340636,-0.49105,-7.300684,-0.122258,-2.489013,-0.577907,-7.527904,0.523296,-0.649754,0.868614,0.022625
0.94,0.0,-0.122258,-2.489013,-0.577907,-7.527904,-0.13458,-2.641294,-0.651437,-7.686351,1.358891,-0.105719,-0.014108,0.964179
0.96,0.0,-0.13458,-2.641294,-0.651437,-7.686351,-0.148172,-2.795808,-0.703545,-7.746187,-1.128701,-1.920906,0.131648,-0.441224
0.98,0.0,-0.148172,-2.795808,-0.703545,-7.746187,-0.162533,-2.95031,-0.7275,-7.681864,0.411846,-0.249509,0.292784,-1.670737
1.0,0.0,-0.162533,-2.95031,-0.7275,-7.681864,-0.177063,-3.10217,-0.720336,-7.481568,-1.60903,-0.829449,0.319786,1.463789
1.02,0.0,-0.177063,-3.10217,-0.720336,-7.481568,-0.191152,-3.248711,-0.684238,-7.152948,-2.001352,0.637835,0.251103,-0.450951
1.04,0.0,-0.191152,-3.248711,-0.684238,-7.152948,-0.204283,-3.387593,-0.625824,-6.720547,0.354086,0.997191,-1.288321,-0.369978
1.06,0.0,-0.204283,-3.387593,-0.625824,-6.720547,-0.216095,-3.517057,-0.553765,-6.216675,-0.438422,-0.197575,0.478386,0.330431
1.08,0.0,-0.216095,-3.517057,-0.553765,-6.216675,-0.226398,-3.635989,-0.476302,-5.671955,-1.200321,-0.890497,0.679812,1.268461
