time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.72,0.0,-0.514371,2.565938,-0.221922,7.629524,-0.518128,2.719819,-0.157335,7.74205,-1.320861,-0.578882,0.301503,0.457207
0.74,0.0,-0.518128,2.719819,-0.157335,7.74205,-0.520835,2.874862,-0.11808,7.741295,1.249218,0.397304,-0.353132,1.30021
0.76,0.0,-0.520835,2.874862,-0.11808,7.741295,-0.523055,3.028579,-0.10923,7.607624,-0.900719,-0.058455,-0.180824,-0.746173
0.78,0.0,-0.523055,3.028579,-0.10923,7.607624,-0.52541,3.178261,-0.131124,7.339093,0.273807,-1.826519,-0.192145,1.089441
0.8,0.0,-0.52541,3.178261,-0.131124,7.339093,-0.528475,3.321356,-0.179012,6.953092,-0.075255,1.167977,-0.866802,2.424766
0.82,0.0,-0.528475,3.321356,-0.179012,6.953092,-0.53269,3.455801,-0.244822,6.479654,-1.809757,0.353576,1.499683,-0.138362
0.84,0.0,-0.53269,3.455801,-0.244822,6.479654,-0.538328,3.580177,-0.319809,5.95129,-0.233503,0.700135,-0.208406,-0.937342
0.86,0.0,-0.538328,3.580177,-0.319809,5.95129,-0.545494,3.693671,-0.396586,5.395391,0.631372,0.625844,-0.376896,-0.748576
0.88,0.0,-0.545494,3.693671,-0.396586,5.395391,-0.554168,3.795941,-0.469948,4.831391,-0.309772,-0.491136,-1.268234,-1.403452
0.9,0.0,-0.554168,3.795941,-0.469948,4.831391,-0.564248,3.886955,-0.536807,4.271356,1.805382,0.263308,0.821071,-0.26268
0.92,0.0,-0.564248,3.886955,-0.536807,4.271356,-0.575587,3.966867,-0.595723,3.721938,-1.095317,0.809756,-0.07393,-0.00371
0.94,0.0,-0.575587,3.966867,-0.595723,3.721938,-0.588022,4.035925,-0.646395,3.186337,1.234585,0.01387,-1.551633,-0.391128
0.96,2.727168,-0.588022,4.035925,-0.646395,3.186337,-0.597569,4.099825,-0.309153,3.192703,1.246378,1.690702,-0.378531,0.582704
0.98,0.0,-0.597569,4.099825,-0.309153,3.192703,-0.604184,4.158341,-0.350974,2.661749,0.317348,-2.058901,1.466359,-0.126496
1.0,0.0,-0.604184,4.158341,-0.350974,2.661749,-0.611559,4.206405,-0.385392,2.147405,0.688153,-0.213177,-0.39226,-1.555425
1.02,0.0,-0.611559,4.206405,-0.385392,2.147405,-0.619558,4.244344,-0.413659,1.649044,-0.763353,1.845948,0.281275,0.469208
1.04,0.0,-0.619558,4.244344,-0.413659,1.649044,-0.628073,4.27247,-0.437084,1.166066,0.991117,0.672647,-0.477345,-2.324978
1.06,0.0,-0.628073,4.27247,-0.437084,1.166066,-0.637018,4.291086,-0.456961,0.697981,-1.153581,0.639706,0.844472,0.55052
1.08,0.0,-0.637018,4.291086,-0.456961,0.697981,-0.646336,4.300486,-0.474524,0.244437,0.243231,0.348889,-0.216362,-0.893197
1.1,0.0,-0.646336,4.300486,-0.474524,0.244437,-0.655991,4.300959,-0.490918,-0.194793,1.500901,-0.714608,-0.159298,-0.339053
1.12,0.0,-0.655991,4.300959,-0.490918,-0.194793,-0.665972,4.292789,-0.507182,-0.619828,-0.280136,0.989264,1.048143,-0.817719
1.14,0.0,-0.665972,4.292789,-0.507182,-0.619828,-0.676284,4.27626,-0.524231,-1.03068,1.455165,3.001451,-1.358724,-2.717104
1.16,0.0,-0.676284,4.27626,-0.524231,-1.03068,-0.686951,4.251657,-0.542845,-1.427248,-0.910606,1.845525,-1.286099,0.003147
1.18,0.0,-0.686951,4.251657,-0.542845,-1.427248,-0.698012,4.219267,-0.563648,-1.809282,0.325013,-0.628626,0.138278,-0.260023
1.2,0.0,-0.698012,4.219267,-0.563648,-1.809282,-0.709515,4.179385,-0.587096,-2.176323,0.096494,0.064352,-0.169737,1.209475
1.22,0.0,-0.709515,4.179385,-0.587096,-2.176323,-0.721515,4.132319,-0.613448,-2.52761,0.360258,1.146718,0.732892,0.274883
1.24,0.0,-0.721515,4.132319,-0.613448,-2.52761,-0.734072,4.078394,-0.642736,-2.86196,0.536875,-0.010669,-1.008374,0.932529
1.26,0.0,-0.734072,4.078394,-0.642736,-2.86196,-0.747243,4.017965,-0.67473,-3.177611,-0.538022,0.615257,-0.143983,1.392098
1.28,-2.353515,-0.747243,4.017965,-0.67473,-3.177611,-0.76446,3.946269,-1.048993,-3.995086,-0.557919,0.09283,1.56773,0.155781
1.3,0.0,-0.76446,3.946269,-1.048993,-3.995086,-0.785835,3.863741,-1.08857,-4.252799,-0.55549,0.722655,-0.962962,0.118346
1.32,0.0,-0.785835,3.863741,-1.08857,-4.252799,-0.807998,3.776378,-1.127399,-4.477413,-0.288145,0.968163,-1.716292,-2.770802
1.34,0.0,-0.807998,3.776378,-1.127399,-4.477413,-0.830912,3.684913,-1.1634,-4.661734,-1.215156,0.36384,-1.777085,0.787984
1.36,0.0,-0.830912,3.684913,-1.1634,-4.661734,-0.854499,3.590231,-1.194247,-4.797718,-1.162866,1.50401,-0.143997,-0.621695
1.38,0.0,-0.854499,3.590231,-1.194247,-4.797718,-0.878632,3.49338,-1.217609,-4.877352,1.139318,-0.320146,-0.321435,0.181202
1.4,0.0,-0.878632,3.49338,-1.217609,-4.877352,-0.90314,3.395558,-1.231485,-4.893919,1.009176,-0.406906,-0.08627,-0.462176
1.42,0.0,-0.90314,3.395558,-1.231485,-4.893919,-0.927819,3.298072,-1.234565,-4.843412,0.624433,-0.896837,-0.089927,1.014676
1.44,0.0,-0.927819,3.298072,-1.234565,-4.843412,-0.952448,3.202272,-1.226509,-4.725621,0.207827,-0.761303,0.599729,0.982887
1.46,0.0,-0.952448,3.202272,-1.226509,-4.725621,-0.97681,3.109471,-1.208017,-4.544474,1.508605,0.638755,-1.225328,0.524881
1.48,0.0,-0.97681,3.109471,-1.208017,-4.544474,-1.00071,3.020866,-1.180677,-4.307439,-0.435563,-1.148281,-0.353365,-1.632356
1.5,0.0,-1.00071,3.020866,-1.180677,-4.307439,-1.023992,2.937481,-1.146624,-4.024236,-0.596469,0.958434,2.035624,-0.797115
1.52,0.0,-1.023992,2.937481,-1.146624,-4.024236,-1.046545,2.860135,-1.108157,-3.705338,-0.53032,-0.745949,-0.496418,-0.332989
1.54,0.0,-1.046545,2.860135,-1.108157,-3.705338,-1.068303,2.789439,-1.067404,-3.360718,-0.801304,0.914348,-0.346447,1.911555
