time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,-1.218947,0.050009,-0.218395,-0.171112,-0.14709,0.044698,-0.217983,-0.35977,0.186032,1.545462,-0.783465,-1.295157,-0.176461
0.02,0.0,0.044698,-0.217983,-0.35977,0.186032,0.037633,-0.215592,-0.346797,0.054139,0.60666,0.358943,0.638461,-0.431698
0.04,0.0,0.037633,-0.215592,-0.346797,0.054139,0.030822,-0.215779,-0.33438,-0.071964,-0.351617,-0.567106,1.091139,0.11068
0.06,0.0,0.030822,-0.215779,-0.33438,-0.071964,0.024255,-0.218443,-0.32239,-0.193855,0.970155,0.770377,0.339494,-1.043172
0.08,0.0,0.024255,-0.218443,-0.32239,-0.193855,0.017924,-0.223515,-0.310706,-0.313007,-0.085191,-0.321337,-0.224533,0.265671
0.1,0.0,0.017924,-0.223515,-0.310706,-0.313007,0.011826,-0.230954,-0.299214,-0.430798,-0.162813,0.464795,-0.152771,0.034407
0.12,0.0,0.011826,-0.230954,-0.299214,-0.430798,0.005955,-0.240746,-0.287813,-0.548522,-0.051086,-0.440211,-0.305864,-1.565368
0.14,0.0,0.005955,-0.240746,-0.287813,-0.548522,0.000313,-0.252903,-0.276415,-0.667396,-0.234376,-0.756328,0.036042,0.540604
0.16,0.0,0.000313,-0.252903,-0.276415,-0.667396,-0.005101,-0.267457,-0.264944,-0.788567,-0.354837,-2.130968,0.439494,-0.324847
0.18,0.0,-0.005101,-0.267457,-0.264944,-0.788567,-0.010284,-0.284468,-0.253338,-0.913115,-0.518981,0.76349,0.246272,-0.466615
0.2,0.0,-0.010284,-0.284468,-0.253338,-0.913115,-0.015233,-0.304011,-0.241555,-1.042059,-1.698455,1.222494,-0.479071,-0.35411
0.22,0.0,-0.015233,-0.304011,-0.241555,-1.042059,-0.019945,-0.326186,-0.229572,-1.176345,-0.241468,-0.729306,0.673246,-0.963959
0.24,0.0,-0.019945,-0.326186,-0.229572,-1.176345,-0.024415,-0.351107,-0.217395,-1.316852,-1.182231,0.365669,-0.822085,0.573382
0.26,0.0,-0.024415,-0.351107,-0.217395,-1.316852,-0.028639,-0.378907,-0.205057,-1.464372,0.522228,-1.242456,-0.975366,-0.90429
0.28,0.0,-0.028639,-0.378907,-0.205057,-1.464372,-0.032616,-0.409733,-0.19263,-1.619605,-0.082181,0.736198,0.498075,-0.88811
0.3,0.0,-0.032616,-0.409733,-0.19263,-1.619605,-0.036345,-0.443746,-0.180231,-1.783142,-0.837779,-0.805221,1.026511,-0.16983
0.32,0.0,-0.036345,-0.443746,-0.180231,-1.783142,-0.039827,-0.481117,-0.168027,-1.955446,0.349064,0.698437,-0.60647,0.033717
0.34,0.0,-0.039827,-0.481117,-0.168027,-1.955446,-0.043069,-0.522025,-0.156248,-2.136835,0.485099,0.268538,0.762413,0.373654
0.36,0.0,-0.043069,-0.522025,-0.156248,-2.136835,-0.046082,-0.566652,-0.14519,-2.327473,-0.388987,1.336594,0.301864,-1.539826
0.38,0.0,-0.046082,-0.566652,-0.14519,-2.327473,-0.048884,-0.615185,-0.135226,-2.527356,-0.234978,0.66051,1.801811,0.844893
0.4,0.0,-0.048884,-0.615185,-0.135226,-2.527356,-0.051501,-0.667807,-0.126806,-2.736312,0.264675,0.006308,1.940295,1.697565
0.42,0.0,-0.051501,-0.667807,-0.126806,-2.736312,-0.05397,-0.724696,-0.120464,-2.954017,-0.413681,-1.795158,3.042135,2.151281
0.44,0.0,-0.05397,-0.724696,-0.120464,-2.954017,-0.056337,-0.786023,-0.116811,-3.180019,0.317111,1.811827,-0.002682,-0.584178
0.46,0.0,-0.056337,-0.786023,-0.116811,-3.180019,-0.058665,-0.851949,-0.116528,-3.413779,-0.870103,1.452589,0.323533,-0.675696
0.48,0.0,-0.058665,-0.851949,-0.116528,-3.413779,-0.061026,-0.922622,-0.120359,-3.654728,1.144283,1.123012,-0.836986,1.887211
0.5,0.0,-0.061026,-0.922622,-0.120359,-3.654728,-0.063512,-0.998182,-0.129088,-3.90233,0.864453,0.241026,1.509327,-0.345102
0.52,0.0,-0.063512,-0.998182,-0.129088,-3.90233,-0.066227,-1.078757,-0.143521,-4.156149,1.219363,0.840357,-1.499699,0.966042
0.54,0.0,-0.066227,-1.078757,-0.143521,-4.156149,-0.069296,-1.164468,-0.16446,-4.415902,-1.165678,0.147593,-0.944431,0.307785
0.56,0.0,-0.069296,-1.164468,-0.16446,-4.415902,-0.072854,-1.255432,-0.192674,-4.681501,0.606889,0.514014,0.004287,0.143241
0.58,0.0,-0.072854,-1.255432,-0.192674,-4.681501,-0.077056,-1.351767,-0.228868,-4.953046,-0.079681,-1.661361,-0.698226,1.269298
0.6,0.0,-0.077056,-1.351767,-0.228868,-4.953046,-0.082066,-1.453595,-0.273637,-5.230779,1.823919,-0.433959,0.374611,-1.104658
0.62,0.0,-0.082066,-1.453595,-0.273637,-5.230779,-0.088062,-1.561041,-0.327418,-5.514946,0.444716,-0.149403,-0.192447,1.313645
0.64,0.0,-0.088062,-1.561041,-0.327418,-5.514946,-0.095224,-1.674236,-0.390405,-5.805554,-1.661232,-0.323052,-0.401392,-1.384847
0.66,0.0,-0.095224,-1.674236,-0.390405,-5.805554,-0.103738,-1.793302,-0.46244,-6.101966,-1.318,0.740974,-0.626441,-0.982401
0.68,0.0,-0.103738,-1.793302,-0.46244,-6.101966,-0.113778,-1.918341,-0.542839,-6.402256,0.245764,1.642411,0.532609,-1.138342
0.7,0.0,-0.113778,-1.918341,-0.542839,-6.402256,-0.125498,-2.049392,-0.630157,-6.702251,1.623374,0.044672,-0.630827,-0.389044
0.72,0.0,-0.125498,-2.049392,-0.630157,-6.702251,-0.139014,-2.186379,-0.72186,-6.994209,-0.485058,1.342421,-0.155571,1.448057
0.74,0.0,-0.139014,-2.186379,-0.72186,-6.994209,-0.154376,-2.329022,-0.813965,-7.265231,0.783283,-0.904718,0.263014,-1.082244
0.76,0.0,-0.154376,-2.329022,-0.813965,-7.265231,-0.171538,-2.476721,-0.900768,-7.495884,-0.117369,-0.089001,0.743361,0.617049
0.78,0.0,-0.171538,-2.476721,-0.900768,-7.495884,-0.190322,-2.628416,-0.974944,-7.660158,0.992687,1.580702,-0.171104,-0.696245
0.8,0.0,-0.190322,-2.628416,-0.974944,-7.660158,-0.210397,-2.782486,-1.028444,-7.728466,0.802798,-0.176832,-0.612594,0.305953
0.82,0.0,-0.210397,-2.782486,-1.028444,-7.728466,-0.231275,-2.936737,-1.054381,-7.674758,0.300568,-0.444112,0.220031,0.183668
0.84,0.0,-0.231275,-2.936737,-1.054381,-7.674758,-0.252365,-3.088569,-1.049425,-7.485888,-0.605611,0.487701,-0.765301,-0.727065
0.86,0.0,-0.252365,-3.088569,-1.049425,-7.485888,-0.273056,-3.235306,-1.015313,-7.167816,-0.047255,1.12152,1.88439,-0.090556
0.88,0.0,-0.273056,-3.235306,-1.015313,-7.167816,-0.292824,-3.374573,-0.958316,-6.7438,0.360916,-0.730328,-0.280806,-1.93819
0.9,0.0,-0.292824,-3.374573,-0.958316,-6.7438,-0.311293,-3.504564,-0.886975,-6.24569,0.254295,-1.212873,0.565096,-1.524612
0.92,0.0,-0.311293,-3.504564,-0.886975,-6.24569,-0.328263,-3.624114,-0.809586,-5.704364,-0.639169,0.224461,0.123863,0.390547
0.94,0.0,-0.328263,-3.624114,-0.809586,-5.704364,-0.343681,-3.732614,-0.732659,-5.144046,0.488425,-1.278984,-1.400154,1.201059
0.96,0.0,-0.343681,-3.732614,-0.732659,-5.144046,-0.357602,-3.82986,-0.660495,-4.581052,2.06988,1.275841,-1.838486,0.463361
0.98,0.0,-0.357602,-3.82986,-0.660495,-4.581052,-0.370148,-3.915904,-0.595462,-4.025087,0.244969,0.445868,-1.417809,-0.02152
1.0,0.0,-0.370148,-3.915904,-0.595462,-4.025087,-0.381474,-3.990945,-0.538495,-3.481272,0.826898,1.144856,-1.164554,-1.79129
1.02,0.0,-0.381474,-3.990945,-0.538495,-3.481272,-0.391742,-4.055252,-0.489571,-2.951926,0.700308,0.491373,1.392684,1.565511
1.04,0.0,-0.391742,-4.055252,-0.489571,-2.951926,-0.401107,-4.109124,-0.44808,-2.437826,-0.588535,-0.232811,0.497666,1.641482
1.06,2.496706,-0.401107,-4.109124,-0.44808,-2.437826,-0.406254,-4.148395,-0.068795,-1.500176,0.213966,0.475584,-0.412994,0.686046
1.08,0.0,-0.406254,-4.148395,-0.068795,-1.500176,-0.407359,-4.173726,-0.042338,-1.035301,1.229631,-0.377714,1.4879,1.477446
1.1,0.0,-0.407359,-4.173726,-0.042338,-1.035301,-0.407968,-4.189902,-0.018972,-0.584581,0.133744,1.839939,-0.480634,0.414641
1.12,0.0,-0.407968,-4.189902,-0.018972,-0.584581,-0.408132,-4.197203,0.00237,-0.147927,0.470069,-0.125884,-0.157304,-0.729648
1.14,0.0,-0.408132,-4.197203,0.00237,-0.147927,-0.40788,-4.195912,0.02268,0.274662,1.276858,0.262685,-0.525584,-0.258612
1.16,0.0,-0.40788,-4.195912,0.02268,0.274662,-0.407225,-4.186311,0.04285,0.683083,-1.045747,-1.135666,0.920908,0.403191
1.18,0.0,-0.407225,-4.186311,0.04285,0.683083,-0.406162,-4.168685,0.063653,1.077116,0.971982,1.266852,-0.528295,-0.613509
1.2,0.0,-0.406162,-4.168685,0.063653,1.077116,-0.404671,-4.143325,0.085724,1.456386,-0.676267,-1.481965,-0.775729,0.465937
1.22,0.0,-0.404671,-4.143325,0.085724,1.456386,-0.402721,-4.110532,0.109538,1.820318,1.151517,-1.268841,-0.331253,-0.099185
1.24,0.0,-0.402721,-4.110532,0.109538,1.820318,-0.400276,-4.07062,0.135389,2.16806,-0.006624,-0.098913,-0.911097,-0.703366
1.26,0.0,-0.400276,-4.07062,0.135389,2.16806,-0.397292,-4.023925,0.163368,2.49839,1.210835,-1.550421,0.519182,-0.03678
1.28,0.0,-0.397292,-4.023925,0.163368,2.49839,-0.393728,-3.970812,0.193329,2.809596,-0.037948,-0.392849,0.25828,-0.209658
1.3,0.0,-0.393728,-3.970812,0.193329,2.809596,-0.389548,-3.911684,0.224866,3.099349,-0.466639,0.288072,0.835991,1.500102
1.32,0.0,-0.389548,-3.911684,0.224866,3.099349,-0.384727,-3.847001,0.257289,3.364585,1.080151,1.934351,1.563769,-0.6321
1.34,0.0,-0.384727,-3.847001,0.257289,3.364585,-0.379257,-3.77729,0.289615,3.601427,-1.367131,-1.172742,-0.158909,1.34356
1.36,0.0,-0.379257,-3.77729,0.289615,3.601427,-0.373151,-3.703164,0.320585,3.805209,-2.148171,-0.461692,-0.370611,0.310872
1.38,0.0,-0.373151,-3.703164,0.320585,3.805209,-0.366452,-3.625337,0.348722,3.97064,0.243982,1.226216,-1.178116,-1.153294
1.4,0.0,-0.366452,-3.625337,0.348722,3.97064,-0.359232,-3.544632,0.372443,4.092194,0.086741,-0.964173,0.781392,0.088595
1.42,0.0,-0.359232,-3.544632,0.372443,4.092194,-0.351594,-3.461977,0.390222,4.16471,2.647561,0.700986,0.366737,-1.418649
1.44,0.0,-0.351594,-3.461977,0.390222,4.16471,-0.343671,-3.378398,0.400795,4.184157,-0.673227,1.428895,-0.046351,0.729347
1.46,0.0,-0.343671,-3.378398,0.400795,4.184157,-0.335616,-3.29498,0.403359,4.148401,1.820609,1.332215,-0.014282,-0.703821
1.48,0.0,-0.335616,-3.29498,0.403359,4.148401,-0.327592,-3.212828,0.397709,4.05776,-0.414849,-1.279798,0.445875,0.493658
1.5,0.0,-0.327592,-3.212828,0.397709,4.05776,-0.31976,-3.133017,0.384276,3.915142,-1.524434,-0.535325,0.071665,-0.486895
1.52,0.0,-0.31976,-3.133017,0.384276,3.915142,-0.312266,-3.056535,0.364042,3.725728,-0.604894,-0.733214,-0.007335,0.173338
1.54,0.0,-0.312266,-3.056535,0.364042,3.725728,-0.305235,-2.984255,0.338361,3.49628,-1.642376,0.393416,1.185108,-0.174256
1.56,0.0,-0.305235,-2.984255,0.338361,3.49628,-0.298758,-2.916901,0.308748,3.2343,-0.858831,0.037126,-0.963512,0.112229
1.58,0.0,-0.298758,-2.916901,0.308748,3.2343,-0.292901,-2.85505,0.276676,2.947271,-0.165798,-0.984704,2.215467,0.395938
1.6,0.0,-0.292901,-2.85505,0.276676,2.947271,-0.287699,-2.799131,0.243438,2.642095,-0.739349,1.726725,-0.595005,-0.221905
1.62,0.0,-0.287699,-2.799131,0.243438,2.642095,-0.283164,-2.749446,0.210066,2.324799,0.963193,0.896885,-1.343896,-0.361467
