time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,-1.634032,-0.063073,-0.129528,-0.029173,-0.186366,-0.066303,-0.127675,-0.293384,0.367991,-0.316782,0.056459,-0.437617,2.334697,-1.822455,-13.154334,27.203874
0.02,0.0,-0.066303,-0.127675,-0.293384,0.367991,-0.072082,-0.121197,-0.284653,0.281085,0.151141,-1.472688,0.606704,-1.202308,-0.307306,0.419679,-4.168069
0.04,0.0,-0.072082,-0.121197,-0.284653,0.281085,-0.077693,-0.116388,-0.276557,0.200835,-0.5546,-0.197149,-0.337618,-1.678311,-0.07449,0.390625,-3.865383
0.06,0.0,-0.077693,-0.116388,-0.276557,0.200835,-0.083148,-0.113127,-0.268991,0.126075,0.033593,-1.814426,0.197419,-0.797105,1.604799,0.366697,-3.618424
0.08,0.0,-0.083148,-0.113127,-0.268991,0.126075,-0.088455,-0.111315,-0.261856,0.055738,1.08007,1.051058,-0.532831,-0.005641,-1.137,0.347515,-3.422475
0.1,0.0,-0.088455,-0.111315,-0.261856,0.055738,-0.093624,-0.110874,-0.25506,-0.011153,0.914522,-0.077447,-0.236663,-1.034598,0.624567,0.332726,-3.273449
0.12,0.0,-0.093624,-0.110874,-0.25506,-0.011153,-0.098659,-0.111745,-0.248518,-0.075503,-0.493761,1.26209,-0.043083,0.106019,0.224551,0.322012,-3.167853
0.14,0.0,-0.098659,-0.111745,-0.248518,-0.075503,-0.103566,-0.113883,-0.242153,-0.138149,-1.304025,-0.542435,-0.608851,-0.335147,0.877939,0.315094,-3.102752
0.16,0.0,-0.103566,-0.113883,-0.242153,-0.138149,-0.108346,-0.117264,-0.23589,-0.199877,-0.094252,-2.013731,1.020075,-1.509505,0.5926,0.311724,-3.075722
0.18,0.0,-0.108346,-0.117264,-0.23589,-0.199877,-0.113002,-0.121877,-0.229661,-0.261427,0.96739,0.484712,0.533425,0.565607,-0.038901,0.311688,-3.084808
0.2,0.0,-0.113002,-0.121877,-0.229661,-0.261427,-0.117532,-0.127725,-0.223401,-0.323505,0.65063,-0.359174,0.8899,0.539102,0.450061,0.314796,-3.128473
0.22,0.0,-0.117532,-0.127725,-0.223401,-0.323505,-0.121937,-0.134825,-0.217049,-0.386793,1.85394,-1.566433,-1.003626,1.711842,-0.379825,0.320881,-3.20556
0.24,0.0,-0.121937,-0.134825,-0.217049,-0.386793,-0.126213,-0.143209,-0.210546,-0.451948,-1.246146,-2.160826,-1.520978,0.21439,-0.426979,0.329787,-3.315238
0.26,0.0,-0.126213,-0.143209,-0.210546,-0.451948,-0.130358,-0.15292,-0.203839,-0.519617,-0.60357,1.442017,-1.280886,-0.431874,1.173047,0.341361,-3.456961
0.28,0.0,-0.130358,-0.15292,-0.203839,-0.519617,-0.134365,-0.164015,-0.196875,-0.590438,-0.427709,-0.364089,-0.181086,-1.188378,0.011042,0.355443,-3.630412
0.3,0.0,-0.134365,-0.164015,-0.196875,-0.590438,-0.138231,-0.176563,-0.189606,-0.665044,-0.212953,-1.245038,1.501997,-0.361497,1.351084,0.371851,-3.835446
0.32,0.0,-0.138231,-0.176563,-0.189606,-0.665044,-0.141947,-0.190646,-0.181987,-0.744065,-0.20226,-0.076207,0.728509,0.371187,0.998928,0.390365,-4.072029
0.34,0.0,-0.141947,-0.190646,-0.181987,-0.744065,-0.145508,-0.206359,-0.173979,-0.828132,0.176281,-0.469845,-0.603964,0.034577,1.95298,0.410707,-4.340164
0.36,0.0,-0.145508,-0.206359,-0.173979,-0.828132,-0.148904,-0.223809,-0.165549,-0.917878,-1.986434,-0.281861,0.669138,0.550815,0.349795,0.432518,-4.6398
0.38,0.0,-0.148904,-0.223809,-0.165549,-0.917878,-0.152127,-0.243116,-0.156672,-1.013929,-0.966107,-2.130132,-0.225914,2.788971,0.610413,0.455325,-4.970738
0.4,0.0,-0.152127,-0.243116,-0.156672,-1.013929,-0.155167,-0.264413,-0.147334,-1.116908,-0.822882,-1.702041,-0.46066,0.480957,0.07382,0.478509,-5.332512
0.42,0.0,-0.155167,-0.264413,-0.147334,-1.116908,-0.158017,-0.287843,-0.137535,-1.227423,1.58775,0.565153,-1.297504,0.367754,-0.191433,0.501268,-5.724262
0.44,0.0,-0.158017,-0.287843,-0.137535,-1.227423,-0.160666,-0.313564,-0.127293,-1.346063,-0.644322,-0.07764,-1.712479,-0.870762,-0.506412,0.522565,-6.144588
0.46,0.0,-0.160666,-0.313564,-0.127293,-1.346063,-0.163106,-0.341743,-0.116651,-1.473378,-0.887992,0.102198,-0.192193,0.157209,-0.442615,0.541088,-6.591402
