time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,1.170691,0.000725,0.133447,0.261583,-0.289588,0.007809,0.124075,0.446689,-0.646128,0.021097,0.37991,-1.895443,0.699141
0.02,0.0,0.007809,0.124075,0.446689,-0.646128,0.016643,0.112137,0.436883,-0.54956,-1.798667,-2.281157,-0.953344,1.451882
0.04,0.0,0.016643,0.112137,0.436883,-0.54956,0.025291,0.102026,0.428022,-0.46307,-0.232114,0.651351,-1.228181,-0.898615
0.06,0.0,0.025291,0.102026,0.428022,-0.46307,0.03377,0.093556,0.419989,-0.385314,-1.746011,0.028427,-0.288459,0.491795
0.08,0.0,0.03377,0.093556,0.419989,-0.385314,0.042095,0.086563,0.412676,-0.31508,-0.085037,-0.429349,-1.95894,-0.179756
0.1,0.0,0.042095,0.086563,0.412676,-0.31508,0.050281,0.08091,0.405983,-0.251278,0.168128,0.147058,-1.424675,0.743478
0.12,0.0,0.050281,0.08091,0.405983,-0.251278,0.058338,0.076476,0.399817,-0.192926,0.802943,0.427465,-0.735212,0.682195
0.14,0.0,0.058338,0.076476,0.399817,-0.192926,0.066276,0.073162,0.394096,-0.139139,0.919177,0.694566,0.398961,0.108868
0.16,0.0,0.066276,0.073162,0.394096,-0.139139,0.074104,0.070885,0.388744,-0.089114,0.766185,1.536619,-0.477617,1.855751
0.18,0.0,0.074104,0.070885,0.388744,-0.089114,0.081828,0.069577,0.383691,-0.042124,-2.060401,0.138836,1.560463,-1.018586
0.2,0.0,0.081828,0.069577,0.383691,-0.042124,0.089453,0.069185,0.378872,0.002496,-2.456008,0.89041,-0.067243,-0.746742
0.22,0.0,0.089453,0.069185,0.378872,0.002496,0.096984,0.069666,0.374231,0.04536,-0.36253,0.45327,2.25165,0.176446
0.24,0.0,0.096984,0.069666,0.374231,0.04536,0.104423,0.070991,0.369711,0.087035,0.05045,0.381672,1.478768,-1.35742
0.26,0.0,0.104423,0.070991,0.369711,0.087035,0.111773,0.073143,0.365263,0.128053,-0.245977,0.018735,1.223161,-1.489105
0.28,0.0,0.111773,0.073143,0.365263,0.128053,0.119034,0.076112,0.360837,0.168914,0.8909,-0.221805,0.064376,-0.527734
0.3,0.0,0.119034,0.076112,0.360837,0.168914,0.126206,0.079901,0.356389,0.210099,-1.943431,1.353703,-0.399254,0.849527
0.32,0.0,0.126206,0.079901,0.356389,0.210099,0.133289,0.084521,0.351876,0.25207,-0.908849,-0.145698,0.412701,1.244272
0.34,0.0,0.133289,0.084521,0.351876,0.25207,0.140281,0.089992,0.347255,0.295277,0.641432,2.053509,0.954509,0.224553
0.36,0.0,0.140281,0.089992,0.347255,0.295277,0.147178,0.096344,0.342485,0.340165,0.694935,-0.919311,-0.594025,0.488989
0.38,0.0,0.147178,0.096344,0.342485,0.340165,0.153979,0.103613,0.337526,0.387178,-0.819773,0.224187,0.74359,0.596837
0.4,0.0,0.153979,0.103613,0.337526,0.387178,0.160678,0.111848,0.332339,0.436762,-1.490611,0.61441,0.568696,0.028129
0.42,0.0,0.160678,0.111848,0.332339,0.436762,0.167271,0.121104,0.326886,0.489367,-0.757108,-0.061304,-1.445476,1.621629
0.44,0.0,0.167271,0.121104,0.326886,0.489367,0.173751,0.131446,0.321127,0.545454,-0.765376,0.025472,1.412768,0.048506
0.46,0.0,0.173751,0.131446,0.321127,0.545454,0.180114,0.142948,0.315026,0.605498,-0.071575,-0.318337,1.330127,-0.488558
0.48,0.0,0.180114,0.142948,0.315026,0.605498,0.18635,0.155695,0.308546,0.669984,-1.241507,-0.163815,-1.736757,0.578845
0.5,0.0,0.18635,0.155695,0.308546,0.669984,0.192453,0.169781,0.301653,0.739413,0.083926,-2.42239,0.56353,-2.373412
0.52,0.0,0.192453,0.169781,0.301653,0.739413,0.198413,0.185308,0.294315,0.814303,0.384964,-1.288395,0.897086,-1.460335
0.54,0.0,0.198413,0.185308,0.294315,0.814303,0.204222,0.202393,0.286505,0.895184,0.528202,-0.68796,1.619475,2.006352
0.56,0.0,0.204222,0.202393,0.286505,0.895184,0.20987,0.221159,0.2782,0.982599,0.642819,0.934583,0.917381,-0.416563
0.58,0.0,0.20987,0.221159,0.2782,0.982599,0.215347,0.241744,0.269387,1.077097,-0.254199,-0.847526,-0.590366,-2.327019
0.6,0.0,0.215347,0.241744,0.269387,1.077097,0.220642,0.264294,0.260062,1.179229,0.002691,-1.906845,-2.590064,-1.574241
0.62,0.0,0.220642,0.264294,0.260062,1.179229,0.225746,0.288968,0.250238,1.289538,-0.7252,0.64439,1.393393,-0.676494
0.64,0.0,0.225746,0.288968,0.250238,1.289538,0.230648,0.315933,0.239945,1.408549,1.100548,0.209129,-0.011582,1.357633
0.66,0.0,0.230648,0.315933,0.239945,1.408549,0.235341,0.345371,0.229239,1.536753,0.073443,0.763672,-0.399273,-0.609456
0.68,0.0,0.235341,0.345371,0.229239,1.536753,0.239816,0.377468,0.218207,1.67459,-1.333482,0.906793,0.604051,0.801941
0.7,0.0,0.239816,0.377468,0.218207,1.67459,0.244068,0.412421,0.206975,1.822431,-1.223657,0.489999,0.744883,0.042485
0.72,0.0,0.244068,0.412421,0.206975,1.822431,0.248095,0.450434,0.195716,1.980558,-0.445069,-0.592069,-0.869453,0.538846
0.74,0.0,0.248095,0.450434,0.195716,1.980558,0.251898,0.491713,0.184658,2.14914,0.074013,0.485125,0.782897,0.654915
0.76,0.0,0.251898,0.491713,0.184658,2.14914,0.255484,0.536469,0.174092,2.328215,-0.655693,-0.811326,0.760121,0.219273
0.78,0.0,0.255484,0.536469,0.174092,2.328215,0.258867,0.584911,0.164381,2.517677,-0.89904,1.239466,1.342578,-0.540284
0.8,0.0,0.258867,0.584911,0.164381,2.517677,0.262068,0.637244,0.155966,2.717271,0.263522,1.255005,0.392488,0.393214
0.82,0.875586,0.262068,0.637244,0.155966,2.717271,0.266428,0.691251,0.279636,2.689269,0.545675,-0.976607,-1.782725,2.428074
0.84,0.0,0.266428,0.691251,0.279636,2.689269,0.271947,0.747316,0.272642,2.918396,0.943758,-2.412673,-0.180616,-0.148672
0.86,0.0,0.271947,0.747316,0.272642,2.918396,0.277353,0.808033,0.268574,3.154413,0.318658,-0.960666,0.093134,-0.726673
0.88,0.0,0.277353,0.808033,0.268574,3.154413,0.282714,0.873536,0.268107,3.396935,-0.509021,-0.379056,1.383458,-0.605674
0.9,0.0,0.282714,0.873536,0.268107,3.396935,0.288106,0.943951,0.271974,3.645537,0.728853,-0.081281,0.583356,1.854069
0.92,0.0,0.288106,0.943951,0.271974,3.645537,0.293627,1.019395,0.28095,3.899823,0.159658,0.514464,-0.555204,-1.537646
0.94,0.0,0.293627,1.019395,0.28095,3.899823,0.299384,1.09998,0.295826,4.159487,-1.658011,-1.598478,0.104107,-1.018195
0.96,0.0,0.299384,1.09998,0.295826,4.159487,0.305504,1.18581,0.317387,4.424371,-0.83808,-1.896184,-0.932988,1.799095
0.98,0.0,0.305504,1.18581,0.317387,4.424371,0.312129,1.27699,0.346379,4.694496,-1.034197,-1.462496,0.876294,0.06875
1.0,0.0,0.312129,1.27699,0.346379,4.694496,0.319413,1.373626,0.383478,4.970051,0.149652,-1.80586,-0.701891,-1.32595
1.02,0.0,0.319413,1.373626,0.383478,4.970051,0.327526,1.47583,0.429243,5.251332,0.026749,-0.432164,0.252779,-0.485399
1.04,0.0,0.327526,1.47583,0.429243,5.251332,0.336643,1.583719,0.484058,5.53859,-0.683406,0.668042,-2.237189,0.340083
1.06,0.0,0.336643,1.583719,0.484058,5.53859,0.346949,1.697413,0.548052,5.831763,0.691833,0.993339,-0.756319,-0.284761
1.08,0.0,0.346949,1.697413,0.548052,5.831763,0.358625,1.817024,0.620972,6.130031,-0.153057,-0.781686,0.178525,-0.739545
1.1,0.0,0.358625,1.817024,0.620972,6.130031,0.371843,1.942634,0.702005,6.431127,2.159266,-0.166211,-0.174399,0.22783
1.12,0.0,0.371843,1.942634,0.702005,6.431127,0.386749,2.074257,0.789522,6.730323,-0.986612,-0.332142,-0.604234,-2.113357
1.14,0.0,0.386749,2.074257,0.789522,6.730323,0.403449,2.211779,0.88075,7.019058,0.972757,1.383426,0.103705,1.114231
1.16,0.0,0.403449,2.211779,0.88075,7.019058,0.421976,2.354859,0.971419,7.283369,1.603323,-1.191221,0.213713,-0.428415
1.18,0.0,0.421976,2.354859,0.971419,7.283369,0.442262,2.502815,1.05554,7.502694,1.000842,2.451002,0.929821,0.158837
1.2,0.0,0.442262,2.502815,1.05554,7.502694,0.464104,2.654489,1.125632,7.650289,1.701106,-0.068987,0.687482,1.156864
1.22,0.0,0.464104,2.654489,1.125632,7.650289,0.487141,2.808152,1.173786,7.696949,1.981772,2.213851,1.950875,-1.167909
1.24,0.0,0.487141,2.808152,1.173786,7.696949,0.510866,2.961529,1.193693,7.618682,1.165269,-0.948918,1.180006,-0.484337
1.26,0.0,0.510866,2.961529,1.193693,7.618682,0.534682,3.111996,1.182935,7.405802,-0.136154,0.503681,0.716225,1.452287
1.28,0.0,0.534682,3.111996,1.182935,7.405802,0.557995,3.256922,1.14416,7.067775,1.011608,0.698993,-0.13249,1.050011
1.3,0.0,0.557995,3.256922,1.14416,7.067775,0.580307,3.394039,1.084162,6.629894,-1.128754,-0.568158,-0.820303,-0.633588
1.32,0.0,0.580307,3.394039,1.084162,6.629894,0.601277,3.521665,1.011496,6.124103,-0.202704,-1.181596,0.500525,-0.209075
1.34,0.0,0.601277,3.521665,1.011496,6.124103,0.620736,3.63875,0.93412,5.580054,0.211395,-1.165041,-0.466948,-1.144437
1.36,0.0,0.620736,3.63875,0.93412,5.580054,0.638652,3.744765,0.858087,5.020357,-0.606174,-1.378372,-0.280103,1.478462
1.38,0.0,0.638652,3.744765,0.858087,5.020357,0.655094,3.839561,0.787288,4.459931,-1.631735,1.108724,0.360602,-1.185954
1.4,0.0,0.655094,3.839561,0.787288,4.459931,0.670192,3.923217,0.723784,3.907509,-0.018723,-0.311607,-0.79385,-0.955502
1.42,0.0,0.670192,3.923217,0.723784,3.907509,0.6841,3.995945,0.668308,3.367621,-1.228341,0.075052,-0.372312,0.0664
