time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,0.0,0.180784,0.110031,0.240352,-0.178784,0.185518,0.107184,0.233082,-0.106646,-0.142604,0.535655,0.218206,-0.140863,-0.719239,-0.352683,3.495788
0.02,0.0,0.185518,0.107184,0.233082,-0.106646,0.19011,0.105738,0.226213,-0.038607,-1.064357,-1.706929,-0.955664,1.131501,-0.081085,-0.334935,3.315082
0.04,0.0,0.19011,0.105738,0.226213,-0.038607,0.194569,0.105619,0.219655,0.026274,-1.41478,-0.205625,-0.773136,-0.267137,-0.769644,-0.321425,3.179529
0.06,0.0,0.194569,0.105619,0.219655,0.026274,0.198898,0.106773,0.213328,0.088866,-0.445823,0.473878,1.225865,0.151933,0.392283,-0.311849,3.085836
0.08,0.0,0.198898,0.106773,0.213328,0.088866,0.203103,0.109164,0.207156,0.149979,0.46824,-0.411979,1.4042,-0.82071,0.132529,-0.30594,3.031247
0.1,0.0,0.203103,0.109164,0.207156,0.149979,0.207185,0.112768,0.201067,0.210371,-0.035535,0.813701,-0.387733,0.716917,-1.198854,-0.303465,3.013504
0.12,0.0,0.207185,0.112768,0.201067,0.210371,0.211146,0.117579,0.194995,0.27076,-0.018072,0.209562,1.07667,-3.056139,0.595137,-0.304221,3.030797
0.14,0.0,0.211146,0.117579,0.194995,0.27076,0.214984,0.123603,0.188877,0.331832,-0.961608,0.87986,0.691335,0.469675,0.099662,-0.308031,3.081722
0.16,0.0,0.214984,0.123603,0.188877,0.331832,0.2187,0.130861,0.182654,0.39425,-0.166882,0.386953,-0.776354,-0.586813,0.003899,-0.314736,3.165236
0.18,0.0,0.2187,0.130861,0.182654,0.39425,0.222289,0.139386,0.176269,0.458657,1.321526,-0.296287,0.328534,-0.016845,-0.467609,-0.32419,3.280613
0.2,0.0,0.222289,0.139386,0.176269,0.458657,0.225749,0.149225,0.169669,0.525685,-0.364439,-1.053541,-0.407706,-0.367819,-0.589034,-0.336249,3.427397
0.22,0.0,0.225749,0.149225,0.169669,0.525685,0.229074,0.160435,0.162803,0.595961,0.99078,0.531725,1.040777,-1.227458,1.113826,-0.350759,3.60535
0.24,0.0,0.229074,0.160435,0.162803,0.595961,0.232259,0.173089,0.155623,0.670105,0.57495,0.57123,0.387263,0.176964,-0.187032,-0.367543,3.814399
0.26,0.0,0.232259,0.173089,0.155623,0.670105,0.235297,0.187269,0.148087,0.748742,0.196323,-0.818643,0.686954,1.284668,-0.776415,-0.386388,4.054568
0.28,0.0,0.235297,0.187269,0.148087,0.748742,0.23818,0.203073,0.140156,0.832493,-0.511999,-1.888811,1.442024,-0.113576,-0.378452,-0.407017,4.325912
