time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,0.986288,0.127091,0.032492,0.270117,-0.120169,0.13411,0.026517,0.431524,-0.475451,1.113833,0.13409,-0.610521,0.912482,1.190516,8.040014,-17.500231
0.02,0.0,0.13411,0.026517,0.431524,-0.475451,0.1427,0.017362,0.42765,-0.441191,1.407746,-1.591363,-0.299915,-0.122218,1.357001,-0.177291,1.544045
0.04,0.0,0.1427,0.017362,0.42765,-0.441191,0.15122,0.008826,0.42441,-0.41346,0.615737,-2.422125,1.123557,0.714477,-0.153664,-0.147047,1.232901
0.06,0.0,0.15122,0.008826,0.42441,-0.41346,0.159681,0.000784,0.421749,-0.391679,-1.007311,1.233908,0.884546,-0.026225,-2.407425,-0.119369,0.948418
0.08,0.0,0.159681,0.000784,0.421749,-0.391679,0.168094,-0.006878,0.419619,-0.375358,-0.056115,-0.618964,0.203288,-1.994311,0.696046,-0.093863,0.686307
0.1,0.0,0.168094,-0.006878,0.419619,-0.375358,0.176469,-0.014264,0.417981,-0.364089,0.086264,-0.90449,-0.471271,1.890717,-0.911379,-0.070167,0.442682
0.12,0.0,0.176469,-0.014264,0.417981,-0.364089,0.184816,-0.021473,0.416801,-0.357538,-1.067615,-1.468059,1.295998,0.670476,-1.19171,-0.047949,0.214008
0.14,0.0,0.184816,-0.021473,0.416801,-0.357538,0.193144,-0.028595,0.416054,-0.355439,1.226151,-0.097892,0.701614,0.610286,-2.114055,-0.026903,-0.002945
0.16,0.0,0.193144,-0.028595,0.416054,-0.355439,0.201461,-0.035719,0.415718,-0.357587,-0.540561,-0.553897,0.391805,0.048239,-0.447675,-0.00675,-0.211141
0.18,0.0,0.201461,-0.035719,0.415718,-0.357587,0.209775,-0.042926,0.415779,-0.363834,-1.962713,0.506653,0.007805,-1.007257,-1.715549,0.012767,-0.413322
0.2,0.0,0.209775,-0.042926,0.415779,-0.363834,0.218094,-0.050299,0.416225,-0.374087,-1.787866,-1.059773,0.038754,-0.558429,-1.549039,0.031885,-0.612042
0.22,0.0,0.218094,-0.050299,0.416225,-0.374087,0.226427,-0.057916,0.417052,-0.3883,-0.120107,-0.851944,-2.031361,0.708546,1.429556,0.050826,-0.809698
0.24,0.0,0.226427,-0.057916,0.417052,-0.3883,0.234779,-0.065857,0.418258,-0.406475,-0.482894,-0.35296,-0.367712,-0.383177,0.770364,0.069792,-1.00856
0.26,0.0,0.234779,-0.065857,0.418258,-0.406475,0.243159,-0.074202,0.419845,-0.428658,-1.59544,-0.126749,-0.553129,-1.536834,-0.443051,0.088974,-1.210796
0.28,0.0,0.243159,-0.074202,0.419845,-0.428658,0.251575,-0.083031,0.421819,-0.454936,-0.324568,0.024336,0.119833,-0.566628,-0.281025,0.108546,-1.418493
0.3,0.0,0.251575,-0.083031,0.421819,-0.454936,0.260035,-0.092427,0.424189,-0.48544,-0.663792,-1.699883,0.411505,-0.484891,0.401321,0.128668,-1.63367
0.32,0.0,0.260035,-0.092427,0.424189,-0.48544,0.268546,-0.102478,0.426969,-0.520339,-1.729253,-0.349408,-0.933429,-0.700394,1.518408,0.149485,-1.858295
0.34,2.821308,0.268546,-0.102478,0.426969,-0.520339,0.281805,-0.124126,0.898054,-1.637852,0.800595,0.290243,-1.869848,1.337234,-0.296907,23.419337,-54.901144
0.36,0.0,0.281805,-0.124126,0.898054,-1.637852,0.299755,-0.156958,0.897184,-1.648401,1.063673,0.058763,-0.17867,2.265771,0.072672,-0.004284,-0.983989
0.38,0.0,0.299755,-0.156958,0.897184,-1.648401,0.317702,-0.190182,0.897837,-1.676908,0.334864,1.387682,-1.289995,-0.318729,0.006726,0.068658,-1.862788
0.4,0.0,0.317702,-0.190182,0.897837,-1.676908,0.335677,-0.224149,0.899884,-1.72266,0.051277,1.694381,0.209286,-0.172315,0.442972,0.135098,-2.709354
0.42,0.0,0.335677,-0.224149,0.899884,-1.72266,0.353706,-0.259199,0.903191,-1.785071,-0.876228,1.288224,0.173199,0.039197,-2.023111,0.194526,-3.529417
0.44,0.0,0.353706,-0.259199,0.903191,-1.785071,0.371812,-0.29566,0.907611,-1.863658,0.231726,1.035986,-1.002886,0.921179,0.680589,0.246106,-4.32722
0.46,0.0,0.371812,-0.29566,0.907611,-1.863658,0.390017,-0.333851,0.912973,-1.958003,-0.532617,-0.097143,-1.537017,-0.648395,-1.520821,0.288617,-5.105419
0.48,0.0,0.390017,-0.333851,0.912973,-1.958003,0.408336,-0.374083,0.919082,-2.067728,-0.099923,-1.056721,0.121105,0.573928,-2.483773,0.320406,-5.865028
0.5,0.0,0.408336,-0.374083,0.919082,-2.067728,0.426784,-0.41666,0.925703,-2.192457,-1.396891,1.363007,0.429391,-0.507971,0.865503,0.339355,-6.60542
0.52,0.0,0.426784,-0.41666,0.925703,-2.192457,0.445366,-0.461878,0.932553,-2.331786,-1.513891,-0.591117,-0.493005,0.022282,-0.42376,0.342873,-7.324433
0.54,0.0,0.445366,-0.461878,0.932553,-2.331786,0.464085,-0.510026,0.939295,-2.485255,-0.302805,0.908958,-1.054242,0.235865,-0.442211,0.327918,-8.018577
0.56,0.0,0.464085,-0.510026,0.939295,-2.485255,0.482934,-0.561379,0.945525,-2.652324,-1.417106,1.515674,1.217968,0.552058,-0.221289,0.291069,-8.683412
0.58,0.0,0.482934,-0.561379,0.945525,-2.652324,0.501899,-0.616205,0.950769,-2.832357,-0.330774,-0.744431,-0.972268,-0.799314,0.710567,0.228632,-9.314076
0.6,0.0,0.501899,-0.616205,0.950769,-2.832357,0.520955,-0.674755,0.954477,-3.024625,-0.850545,-1.94637,-0.614252,1.826205,-1.008554,0.136814,-9.90598
0.62,0.0,0.520955,-0.674755,0.954477,-3.024625,0.540064,-0.737266,0.956024,-3.228313,-0.093937,0.125611,0.920528,0.387104,-1.769296,0.011929,-10.455599
0.64,0.0,0.540064,-0.737266,0.956024,-3.228313,0.559177,-0.803958,0.954715,-3.442557,-0.555098,-0.456657,-0.362326,0.797497,0.380923,-0.14936,-10.961297
0.66,0.0,0.559177,-0.803958,0.954715,-3.442557,0.578229,-0.875033,0.949792,-3.666483,1.325272,-0.666861,-0.100929,-0.792907,-0.802506,-0.349786,-11.424034
0.68,-0.911403,0.578229,-0.875033,0.949792,-3.666483,0.595858,-0.948817,0.813168,-3.718349,-1.407558,1.919246,-0.13135,0.866721,0.316825,-6.825697,-3.545698
0.7,0.0,0.595858,-0.948817,0.813168,-3.718349,0.612014,-1.025666,0.801578,-3.967655,0.967127,0.289802,-0.607183,0.876218,0.792647,-0.720882,-12.623186
0.72,0.0,0.612014,-1.025666,0.801578,-3.967655,0.627881,-1.107565,0.784069,-4.223183,0.436799,-1.315062,0.028564,-0.988538,-0.012232,-1.036901,-12.927436
0.74,0.0,0.627881,-1.107565,0.784069,-4.223183,0.643332,-1.194634,0.759846,-4.484721,0.282606,0.7087,0.350341,0.023274,0.236809,-1.391886,-13.225853
0.76,0.0,0.643332,-1.194634,0.759846,-4.484721,0.658225,-1.286993,0.728157,-4.75225,-1.23748,0.782112,0.080518,0.356368,1.541309,-1.783002,-13.528146
0.78,0.0,0.658225,-1.286993,0.728157,-4.75225,0.672404,-1.384765,0.688321,-5.02593,-1.249365,-0.129033,-0.247001,-0.046826,-1.278006,-2.205468,-13.842028
0.8,0.0,0.672404,-1.384765,0.688321,-5.02593,0.6857,-1.488073,0.639781,-5.306028,-1.434722,0.145835,0.42415,-0.321155,-1.015738,-2.651946,-14.169636
0.82,0.0,0.6857,-1.488073,0.639781,-5.306028,0.697935,-1.59705,0.582158,-5.592755,-0.091473,-1.172026,-0.235516,-0.771375,0.102192,-3.111517,-14.502338
0.84,0.0,0.697935,-1.59705,0.582158,-5.592755,0.708925,-1.711827,0.515343,-5.885984,-0.192454,1.593071,-1.143408,-0.225903,-0.783314,-3.567989,-14.813162
0.86,0.0,0.708925,-1.711827,0.515343,-5.885984,0.718489,-1.832527,0.439622,-6.184773,0.915442,0.426528,-0.151009,-0.15325,-0.374036,-3.997358,-15.045874
0.88,0.0,0.718489,-1.832527,0.439622,-6.184773,0.726456,-1.959239,0.355869,-6.486644,1.150134,-0.345643,1.111049,0.626929,-1.729606,-4.364295,-15.099914
0.9,0.0,0.726456,-1.959239,0.355869,-6.486644,0.732681,-2.09198,0.265812,-6.786511,-0.323728,0.945938,0.359068,0.073838,-1.39621,-4.618073,-14.812013
0.92,0.0,0.732681,-2.09198,0.265812,-6.786511,0.737066,-2.230627,0.172374,-7.07525,-1.644767,-0.139982,0.16646,-2.286194,1.62817,-4.689579,-13.940085
0.94,0.0,0.737066,-2.230627,0.172374,-7.07525,0.739583,-2.37482,0.080035,-7.338094,0.436133,-0.091841,1.754423,-0.719732,0.080608,-4.493595,-12.165359
0.96,0.0,0.739583,-2.37482,0.080035,-7.338094,0.740316,-2.523836,-0.004969,-7.553494,0.085646,-1.616883,-0.873285,-0.473198,-0.283055,-3.943828,-9.143538
0.98,0.0,0.740316,-2.523836,-0.004969,-7.553494,0.739485,-2.676459,-0.074944,-7.693799,0.002815,0.753172,-0.232282,0.980914,0.615369,-2.988364,-4.639769
1.0,0.0,0.739485,-2.676459,-0.074944,-7.693799,0.737472,-2.830889,-0.121931,-7.729478,0.852102,-0.457575,-0.824393,1.441454,1.584934,-1.661303,1.26287
1.02,1.043918,0.737472,-2.830889,-0.121931,-7.729478,0.736519,-2.980927,0.032361,-7.250661,0.346614,-0.721442,1.061877,1.496059,-1.132556,8.537152,27.394316
1.04,0.0,0.736519,-2.980927,0.032361,-7.250661,0.737232,-3.124066,0.043364,-7.04296,0.67211,-0.712388,0.374439,0.404718,2.173208,1.203809,13.37987
1.06,0.0,0.737232,-3.124066,0.043364,-7.04296,0.73842,-3.261879,0.079052,-6.72092,-0.41423,-0.371998,0.174707,-0.566138,-0.362075,2.309905,18.611893
