time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,-0.409302,-0.073157,-0.26035,0.198749,-0.265691,-0.069725,-0.265536,0.14451,-0.253566,-2.732684,1.152494,-0.912533,1.68535,-1.306862,-2.701178,0.511046
0.02,0.0,-0.069725,-0.265536,0.14451,-0.253566,-0.066705,-0.272021,0.157471,-0.394471,0.922561,-1.664142,-1.099226,0.273975,-0.437968,0.64098,-6.995169
0.04,-0.360326,-0.066705,-0.272021,0.157471,-0.394471,-0.064016,-0.279987,0.111481,-0.402907,1.437176,0.395407,-1.840637,1.226944,0.449195,-2.28749,-0.536526
0.06,0.0,-0.064016,-0.279987,0.111481,-0.402907,-0.061655,-0.289481,0.124599,-0.546417,-1.120312,-0.350015,1.188999,-0.356301,0.782572,0.651041,-7.160504
0.08,-1.684252,-0.061655,-0.289481,0.124599,-0.546417,-0.061775,-0.295727,-0.136117,-0.08229,-0.235245,0.602503,0.391863,0.935212,0.547165,-12.968224,22.619598
0.1,0.0,-0.061775,-0.295727,-0.136117,-0.08229,-0.064343,-0.299018,-0.120744,-0.246021,-1.515985,-1.718121,0.591457,-0.379799,1.018511,0.756194,-8.072091
0.12,1.919944,-0.064343,-0.299018,-0.120744,-0.246021,-0.063487,-0.312481,0.205516,-1.09462,-2.213143,-0.770809,1.59119,0.299463,0.471286,16.193922,-41.588877
0.14,0.0,-0.063487,-0.312481,0.205516,-1.09462,-0.059264,-0.335714,0.216863,-1.229701,-0.3913,-1.218998,0.233512,0.350973,-0.487048,0.572554,-6.912961
0.16,-2.339116,-0.059264,-0.335714,0.216863,-1.229701,-0.058584,-0.353436,-0.147881,-0.550378,-0.326434,-0.541121,1.090903,2.251274,0.15407,-18.097801,32.84806
0.18,0.0,-0.058584,-0.353436,-0.147881,-0.550378,-0.061381,-0.366213,-0.131882,-0.727218,1.000379,-0.359353,-1.145804,0.22284,0.462464,0.79155,-8.825044
0.2,2.969739,-0.061381,-0.366213,-0.131882,-0.727218,-0.059099,-0.392856,0.358534,-1.927346,-0.66156,1.873076,-0.143512,1.261152,-1.526699,24.269541,-58.528905
0.22,0.0,-0.059099,-0.392856,0.358534,-1.927346,-0.051838,-0.432795,0.367553,-2.068653,-0.683335,-0.396907,-0.796744,1.515248,1.312567,0.453827,-7.377106
0.24,-0.691625,-0.051838,-0.432795,0.367553,-2.068653,-0.045487,-0.473392,0.267988,-1.995917,-1.288699,0.403196,0.250882,-0.918296,0.856818,-4.910719,2.918557
0.26,0.0,-0.045487,-0.473392,0.267988,-1.995917,-0.04002,-0.515043,0.27863,-2.170905,0.263415,1.13553,-0.557324,-0.725095,0.118215,0.518947,-8.99949
0.28,-2.435318,-0.04002,-0.515043,0.27863,-2.170905,-0.038116,-0.55271,-0.08665,-1.606962,-2.739206,0.844126,0.42829,-3.88947,-0.33672,-18.047174,26.57343
0.3,0.0,-0.038116,-0.55271,-0.08665,-1.606962,-0.039692,-0.587093,-0.071213,-1.831931,0.17144,0.688275,-0.503755,0.609675,0.578132,0.742801,-11.338006
0.32,-2.967416,-0.039692,-0.587093,-0.071213,-1.831931,-0.04549,-0.617312,-0.507067,-1.201021,1.131467,2.970686,-1.115535,-0.064875,0.164116,-21.58213,29.96996
0.34,0.0,-0.04549,-0.617312,-0.507067,-1.201021,-0.055433,-0.644003,-0.487501,-1.467747,-0.693663,1.340422,-0.442099,-0.174967,-0.666313,0.940598,-13.294241
0.36,-0.305877,-0.055433,-0.644003,-0.487501,-1.467747,-0.06546,-0.675164,-0.515267,-1.649348,-0.732789,0.052209,-0.22315,-0.154371,-0.414218,-1.405326,-9.226725
0.38,0.0,-0.06546,-0.675164,-0.515267,-1.649348,-0.075594,-0.710839,-0.49844,-1.91804,0.883226,0.067691,0.169463,-2.294978,-0.498544,0.79008,-13.432661
0.4,-2.632237,-0.075594,-0.710839,-0.49844,-1.91804,-0.089293,-0.745103,-0.870277,-1.517914,-1.304654,0.774534,-1.276463,-0.47867,-0.014864,-18.420745,18.633268
0.42,0.0,-0.089293,-0.745103,-0.870277,-1.517914,-0.106511,-0.778435,-0.851982,-1.814682,-0.880594,-0.821224,3.100123,-0.029583,0.958775,0.853997,-14.764087
0.44,-2.347088,-0.106511,-0.778435,-0.851982,-1.814682,-0.126791,-0.812091,-1.175093,-1.558598,-0.137269,0.82389,2.109061,-0.362582,1.244136,-16.029796,11.690135
0.46,0.0,-0.126791,-0.812091,-1.175093,-1.558598,-0.150108,-0.846415,-1.157125,-1.873051,-0.520226,0.439255,-0.671036,1.063656,2.562447,0.827083,-15.61194
0.48,1.974642,-0.150108,-0.846415,-1.157125,-1.873051,-0.170285,-0.891262,-0.862405,-2.603283,0.036138,-0.179084,0.902266,1.30242,-0.535294,14.448664,-35.241768
0.5,0.0,-0.170285,-0.891262,-0.862405,-2.603283,-0.187461,-0.946224,-0.855839,-2.892861,0.093967,0.907258,0.478886,-0.324123,0.971246,0.22058,-14.472573
0.52,2.843776,-0.187461,-0.946224,-0.855839,-2.892861,-0.200608,-1.012196,-0.462,-3.690613,1.005854,-0.891497,-0.129791,-1.986072,1.113643,19.219083,-37.788325
0.54,0.0,-0.200608,-1.012196,-0.462,-3.690613,-0.209949,-1.088675,-0.473088,-3.957883,0.5599,0.000392,1.591628,-1.115346,-1.141752,-0.70883,-13.460427
0.56,-0.840867,-0.209949,-1.088675,-0.473088,-3.957883,-0.220704,-1.169377,-0.602912,-4.1174,-0.380592,0.402311,-1.339937,-0.127298,-0.838128,-6.572443,-8.725157
0.58,0.0,-0.220704,-1.169377,-0.602912,-4.1174,-0.232976,-1.254518,-0.625489,-4.397221,1.35627,0.49101,-0.928253,-0.896592,-0.278204,-1.317236,-14.07223
0.6,1.853592,-0.232976,-1.254518,-0.625489,-4.397221,-0.243348,-1.346892,-0.414088,-4.831001,-1.349411,0.38097,-0.868527,0.196663,0.42099,10.223714,-20.31239
0.62,0.0,-0.243348,-1.346892,-0.414088,-4.831001,-0.252035,-1.446319,-0.45603,-5.112537,-0.356609,-0.000528,-0.972572,2.083904,-0.751665,-2.317138,-14.21074
0.64,-0.554585,-0.252035,-1.446319,-0.45603,-5.112537,-0.262365,-1.551278,-0.57839,-5.387299,-2.327092,-0.898236,-0.336103,2.018593,-0.738018,-6.333664,-14.330184
0.66,0.0,-0.262365,-1.551278,-0.57839,-5.387299,-0.274514,-1.661943,-0.638032,-5.680165,0.481321,2.549649,-0.689752,-2.779279,0.802836,-3.210569,-14.775162
0.68,0.19365,-0.274514,-1.661943,-0.638032,-5.680165,-0.287695,-1.778443,-0.681508,-5.969432,0.817724,-1.300693,1.436389,-0.721754,-0.265462,-2.38243,-14.3992
0.7,0.0,-0.287695,-1.778443,-0.681508,-5.969432,-0.302082,-1.900842,-0.758479,-6.270816,-0.1721,2.064471,1.649783,-1.013525,-0.789934,-4.042387,-15.103072
0.72,-0.503036,-0.302082,-1.900842,-0.758479,-6.270816,-0.318756,-2.029843,-0.910434,-6.631985,-2.039379,0.914004,0.079904,-0.261657,1.372507,-7.816331,-18.450555
0.74,0.0,-0.318756,-2.029843,-0.910434,-6.631985,-0.337862,-2.165437,-1.000706,-6.92546,-0.744368,1.013927,-0.646766,-1.438726,-0.084735,-4.579869,-14.327614
0.76,0.759935,-0.337862,-2.165437,-1.000706,-6.92546,-0.357714,-2.305241,-0.983196,-7.045017,0.194012,-0.572343,1.559587,0.985802,-2.284627,1.095298,-4.420361
0.78,0.0,-0.357714,-2.305241,-0.983196,-7.045017,-0.378234,-2.448606,-1.067718,-7.283739,-2.325956,0.661088,-0.498103,-1.399045,0.336016,-4.029118,-10.666168
0.8,-0.220063,-0.378234,-2.448606,-1.067718,-7.283739,-0.40069,-2.596818,-1.175813,-7.526721,-1.048589,1.170911,0.656366,-0.34807,-0.308426,-5.072318,-10.419541
0.82,0.0,-0.40069,-2.596818,-1.175813,-7.526721,-0.424811,-2.748433,-1.232665,-7.617699,-0.957024,1.372368,1.59227,0.339015,-1.313447,-2.260057,-1.882128
0.84,-1.338483,-0.424811,-2.748433,-1.232665,-7.617699,-0.452003,-2.905523,-1.48301,-8.074494,-0.484364,-0.798598,1.771653,-2.006945,0.847108,-11.93685,-20.096279
0.86,0.0,-0.452003,-2.905523,-1.48301,-8.074494,-0.481729,-3.0655,-1.483734,-7.898452,-0.821245,1.158305,-0.038883,0.99891,0.610545,0.833393,12.489944
0.88,2.346293,-0.481729,-3.0655,-1.483734,-7.898452,-0.50722,-3.211426,-1.061567,-6.680267,0.569987,-0.535199,-0.870507,0.95092,-1.304012,21.581238,62.614555
0.9,0.0,-0.50722,-3.211426,-1.061567,-6.680267,-0.527994,-3.3414,-1.013079,-6.303001,-0.093054,1.49562,0.90986,0.485423,-1.111616,2.812917,20.861912
0.92,-2.142309,-0.527994,-3.3414,-1.013079,-6.303001,-0.551145,-3.470948,-1.297313,-6.626239,1.074259,-0.866957,0.538733,0.823751,-0.132814,-13.505211,-12.298357
0.94,0.0,-0.551145,-3.470948,-1.297313,-6.626239,-0.576291,-3.598036,-1.216471,-6.076173,0.103272,-0.707795,0.294657,-0.418907,1.46648,4.128712,28.336299
0.96,-0.830348,-0.576291,-3.598036,-1.216471,-6.076173,-0.601083,-3.716461,-1.261637,-5.756852,1.080448,0.140948,-0.606313,-0.39231,1.15978,-2.11862,17.309622
0.98,0.0,-0.601083,-3.716461,-1.261637,-5.756852,-0.625479,-3.825608,-1.179058,-5.158265,-0.691166,0.510188,1.502058,0.331552,0.452604,3.955953,29.815646
1.0,-1.677109,-0.625479,-3.825608,-1.179058,-5.158265,-0.650759,-3.927162,-1.348056,-4.986156,-0.041238,-0.093608,-0.160261,0.481213,-1.587237,-8.331779,10.194646
1.02,0.0,-0.650759,-3.927162,-1.348056,-4.986156,-0.676976,-4.020833,-1.275458,-4.384041,1.570226,-0.020011,-2.479951,0.170012,0.603779,3.359611,29.632276
1.04,1.443952,-0.676976,-4.020833,-1.275458,-4.384041,-0.699824,-4.099744,-1.0124,-3.518836,-0.427095,-0.273114,1.663518,-1.452246,-0.353506,12.696832,41.542777
1.06,0.0,-0.699824,-4.099744,-1.0124,-3.518836,-0.71958,-4.164607,-0.964764,-2.970503,-0.449943,1.20467,0.639455,-0.382904,0.172908,2.162094,26.961007
1.08,-0.264654,-0.71958,-4.164607,-0.964764,-2.970503,-0.738831,-4.219109,-0.961483,-2.481582,1.10556,0.420308,-0.303606,-1.188483,-0.108024,-0.004048,24.165623
1.1,0.0,-0.738831,-4.219109,-0.961483,-2.481582,-0.757724,-4.263562,-0.928921,-1.966516,-0.05357,-0.058309,-1.22404,-1.141741,-0.243838,1.470572,25.337804
