time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,0.0,0.076806,-0.223193,0.031616,-0.108252,0.077556,-0.226597,0.043249,-0.231625,0.361658,0.286864,1.3994,-0.325909
0.02,0.0,0.077556,-0.226597,0.043249,-0.231625,0.078535,-0.232442,0.054602,-0.352599,0.694403,-0.189305,1.159861,-0.410752
0.04,0.0,0.078535,-0.232442,0.054602,-0.352599,0.079739,-0.240694,0.065785,-0.472547,0.804217,-2.037324,-0.003988,0.42336
0.06,0.0,0.079739,-0.240694,0.065785,-0.472547,0.081165,-0.251346,0.076896,-0.592761,-1.352469,1.255158,-1.941346,0.641193
0.08,0.0,0.081165,-0.251346,0.076896,-0.592761,0.082815,-0.264414,0.088021,-0.714452,-0.01373,-1.223384,-1.179622,0.367299
0.1,0.0,0.082815,-0.264414,0.088021,-0.714452,0.084687,-0.279941,0.099229,-0.838764,-1.077855,-1.800537,0.468904,0.74723
0.12,0.0,0.084687,-0.279941,0.099229,-0.838764,0.086785,-0.297989,0.110576,-0.966769,-1.985795,-0.211737,0.452167,-0.479544
0.14,0.0,0.086785,-0.297989,0.110576,-0.966769,0.089111,-0.318643,0.122095,-1.099473,-0.148533,0.430392,-0.409862,2.537163
0.16,0.0,0.089111,-0.318643,0.122095,-1.099473,0.09167,-0.342006,0.133799,-1.237809,-0.918008,0.86611,0.053929,-2.418866
0.18,0.0,0.09167,-0.342006,0.133799,-1.237809,0.094464,-0.368199,0.145668,-1.382631,-0.557871,-1.64313,1.697426,-0.090206
0.2,0.0,0.094464,-0.368199,0.145668,-1.382631,0.097497,-0.39736,0.157653,-1.534701,0.486717,0.284414,1.803163,1.072291
0.22,0.0,0.097497,-0.39736,0.157653,-1.534701,0.10077,-0.42964,0.169661,-1.69468,0.754123,0.484938,1.969256,-0.566704
0.24,0.0,0.10077,-0.42964,0.169661,-1.69468,0.104283,-0.465203,0.181551,-1.863109,1.914251,0.474725,1.500118,-0.282757
0.26,0.0,0.104283,-0.465203,0.181551,-1.863109,0.10803,-0.504223,0.193128,-2.040391,-0.346604,-0.384096,-0.170425,1.740828
0.28,0.0,0.10803,-0.504223,0.193128,-2.040391,0.112004,-0.54688,0.204129,-2.226782,0.56394,0.539922,-0.839931,-1.858983
0.3,0.0,0.112004,-0.54688,0.204129,-2.226782,0.11619,-0.593356,0.214223,-2.422369,2.563581,0.877742,-2.016058,0.165274
0.32,0.0,0.11619,-0.593356,0.214223,-2.422369,0.120564,-0.643835,0.222998,-2.627076,1.983232,-1.666112,1.266179,-1.255081
0.34,0.0,0.120564,-0.643835,0.222998,-2.627076,0.125097,-0.698498,0.229965,-2.840663,1.507888,0.42637,0.301335,0.014206
0.36,0.0,0.125097,-0.698498,0.229965,-2.840663,0.129747,-0.757518,0.234551,-3.062749,-1.547042,-0.172738,-0.533596,-0.049062
0.38,0.0,0.129747,-0.757518,0.234551,-3.062749,0.134459,-0.821061,0.236111,-3.292844,-1.52371,0.738919,-0.60008,-0.022624
0.4,0.0,0.134459,-0.821061,0.236111,-3.292844,0.139167,-0.889282,0.233932,-3.530397,0.999958,1.004666,-1.568935,0.750474
0.42,0.0,0.139167,-0.889282,0.233932,-3.530397,0.143787,-0.962323,0.22725,-3.77486,-0.061537,0.336954,1.670523,-1.130855
0.44,0.0,0.143787,-0.962323,0.22725,-3.77486,0.148221,-1.040319,0.215268,-4.025751,0.732695,-2.747987,-0.87471,2.570962
0.46,0.0,0.148221,-1.040319,0.215268,-4.025751,0.152357,-1.123394,0.19718,-4.282714,0.081031,-1.761216,-0.691682,-1.515002
0.48,0.0,0.152357,-1.123394,0.19718,-4.282714,0.156063,-1.211667,0.172199,-4.545571,-0.25358,0.72027,1.086641,0.903197
0.5,0.0,0.156063,-1.211667,0.172199,-4.545571,0.159194,-1.305256,0.139582,-4.814338,-0.543182,-0.582889,0.642936,-0.056383
0.52,0.0,0.159194,-1.305256,0.139582,-4.814338,0.161591,-1.404281,0.098676,-5.089204,-1.385214,1.10874,-0.539914,0.827666
0.54,0.0,0.161591,-1.404281,0.098676,-5.089204,0.163082,-1.508867,0.048955,-5.370437,-1.223563,-0.951787,0.605552,1.185608
0.56,0.0,0.163082,-1.508867,0.048955,-5.370437,0.163488,-1.619142,-0.009905,-5.658205,1.505095,-0.051179,-0.249551,0.876753
0.58,0.0,0.163488,-1.619142,-0.009905,-5.658205,0.162624,-1.735237,-0.077941,-5.952252,-1.558158,2.23661,0.587074,0.626222
0.6,0.0,0.162624,-1.735237,-0.077941,-5.952252,0.160311,-1.857267,-0.154754,-6.251383,-1.378487,2.014668,0.742103,-0.109677
0.62,0.0,0.160311,-1.857267,-0.154754,-6.251383,0.156382,-1.985308,-0.23931,-6.552672,0.222219,0.195268,-0.413437,-0.683752
0.64,0.0,0.156382,-1.985308,-0.23931,-6.552672,0.1507,-2.119351,-0.329658,-6.850314,0.575133,1.189388,0.209363,0.515928
0.66,0.0,0.1507,-2.119351,-0.329658,-6.850314,0.143179,-2.25923,-0.42257,-7.134139,1.276831,0.756388,-1.134624,-0.989916
0.68,0.0,0.143179,-2.25923,-0.42257,-7.134139,0.133812,-2.404518,-0.513208,-7.388036,-1.726568,0.784963,-1.70283,-0.378839
0.7,0.0,0.133812,-2.404518,-0.513208,-7.388036,0.122709,-2.5544,-0.594987,-7.589061,0.754824,0.037497,0.983004,-1.995295
0.72,0.0,0.122709,-2.5544,-0.594987,-7.589061,0.110124,-2.707539,-0.660033,-7.708733,1.051104,0.453018,0.709542,-1.145255
0.74,0.0,0.110124,-2.707539,-0.660033,-7.708733,0.096472,-2.862011,-0.700596,-7.718121,-0.308165,-0.366229,1.053233,-1.272445
0.76,0.0,0.096472,-2.862011,-0.700596,-7.718121,0.082301,-3.015385,-0.711316,-7.596613,-0.306231,0.692938,1.14249,-0.38232
0.78,0.0,0.082301,-3.015385,-0.711316,-7.596613,0.068225,-3.164972,-0.691371,-7.340463,1.059146,-0.984417,-1.66879,-0.712811
