time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,2.574946,-0.2645,-0.082251,-0.181867,0.273,-0.263793,-0.087318,0.25182,-0.77276,0.251241,0.987026,1.446358,-1.038796
0.02,0.0,-0.263793,-0.087318,0.25182,-0.77276,-0.25874,-0.102986,0.253577,-0.795448,0.229196,0.047715,2.854866,0.290835
0.04,0.0,-0.25874,-0.102986,0.253577,-0.795448,-0.253645,-0.119191,0.256097,-0.826379,-1.184592,0.741841,-1.271792,2.1531
0.06,0.0,-0.253645,-0.119191,0.256097,-0.826379,-0.248491,-0.136096,0.259364,-0.865524,0.350206,-0.830829,-0.409064,0.317196
0.08,0.0,-0.248491,-0.136096,0.259364,-0.865524,-0.243265,-0.153867,0.263368,-0.912931,1.238436,-0.132096,0.258064,1.873883
0.1,0.0,-0.243265,-0.153867,0.263368,-0.912931,-0.237952,-0.172669,0.2681,-0.968722,0.800614,-0.535074,-0.417415,-0.023679
0.12,0.0,-0.237952,-0.172669,0.2681,-0.968722,-0.232536,-0.192673,0.273552,-1.033079,0.467047,-0.669013,-0.446118,-0.760911
0.14,0.0,-0.232536,-0.192673,0.273552,-1.033079,-0.227005,-0.214051,0.279716,-1.106239,0.500256,-0.247573,-1.678344,-0.678178
0.16,0.0,-0.227005,-0.214051,0.279716,-1.106239,-0.221343,-0.236983,0.286577,-1.188484,0.781772,0.781539,2.237067,0.291447
0.18,0.0,-0.221343,-0.236983,0.286577,-1.188484,-0.215537,-0.261653,0.294111,-1.280128,-0.828022,-0.613629,-0.413316,0.393748
0.2,0.0,-0.215537,-0.261653,0.294111,-1.280128,-0.209574,-0.288253,0.302284,-1.381505,0.597153,1.186722,-0.847198,-0.280082
0.22,0.0,-0.209574,-0.288253,0.302284,-1.381505,-0.203442,-0.316981,0.311043,-1.492953,-0.836434,0.366701,0.206437,-0.862385
0.24,0.0,-0.203442,-0.316981,0.311043,-1.492953,-0.197129,-0.34804,0.320311,-1.614798,-0.342278,-1.60948,0.358621,1.21671
0.26,0.0,-0.197129,-0.34804,0.320311,-1.614798,-0.190627,-0.381644,0.32998,-1.747329,0.381744,0.199946,-0.989556,-2.054169
0.28,0.0,-0.190627,-0.381644,0.32998,-1.747329,-0.183928,-0.418006,0.339905,-1.890782,0.515406,1.615441,-1.081593,-1.043166
0.3,0.0,-0.183928,-0.418006,0.339905,-1.890782,-0.17703,-0.457349,0.349893,-2.045314,0.558355,-0.755265,-0.770577,0.649937
0.32,0.0,-0.17703,-0.457349,0.349893,-2.045314,-0.169934,-0.499893,0.359697,-2.210979,0.004562,-1.463574,-0.450949,-0.425861
0.34,0.0,-0.169934,-0.499893,0.359697,-2.210979,-0.162646,-0.545862,0.369004,-2.387712,0.965398,1.048735,0.147231,0.751664
