time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,1.57,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.859135807395258,5.629125570208254,11.639320378382317,4.427322884747696,1.6926140799912872,-6.584996064873394e-06,1.652976577547952,0.4933793410004066,-1.7584003492579194,-0.35970861977467306,0.1493839403561198,0.0017171985816552893
0.01,0.001179604619579311,1.5705651704891275,-1.5688399652177754,0.0004145298832051445,0.00014375029333147965,1.6975437666869598e-06,0.1179604619579311,0.056517048912737934,0.11600347822247464,0.04145298832051445,0.014375029333147965,0.00016975437666869598,11.824844455844424,5.724475889011897,11.529029039647803,4.106683770425242,1.4279172675559622,0.01687678952915128,1.6633577576910719,0.4969589985087186,-1.7599288062342282,-0.36022739384289304,0.1500434242341421,0.0017168532539063397
0.02,0.003534523832541965,1.5717051392865238,-1.5665325508561474,0.0012178914121593644,0.00041503582304653654,5.174536558648769e-06,0.2354919212962654,0.11399687973963224,0.23074143616278797,0.08033615289542198,0.027128552971505685,0.00034769927919618086,11.777312744372733,5.818263231971917,11.387184938527659,3.8420635404719405,1.262250258654106,0.0173556140214135,1.682848815749249,0.46962655828935773,-1.7671120053237446,-0.3612730964495565,0.15119587971220524,0.0017100828379916257
0.03,0.0070595205737124505,1.573429317344582,-1.563093103541272,0.002388533246472504,0.0008035472931024949,1.0316985873310381e-05,0.3524996741170485,0.17241780580581695,0.3439447314875224,0.11706418343131397,0.03885114700559583,0.0005142449314661612,11.718736321798511,5.907701332353954,11.216788384031739,3.61805886258675,1.1540776063097766,0.015599336760718785,1.7110932647161703,0.410425781685956,-1.7803791131798494,-0.3629324283861656,0.15280095543351352,0.00169644322021789
0.04,0.01174848453275443,1.5757466332873415,-1.5585394706044304,0.003907873995377382,0.0013023773710668658,1.700923329106323e-05,0.46889639590419807,0.23173159427597112,0.4553632936841636,0.15193407489048788,0.04988300779643708,0.000669224741775285,11.649759079786499,5.990130034109837,11.019769388863285,3.4229072984142093,1.078417876416637,0.013556286612914192,1.747585526575983,0.3185458656541069,-1.800065159576984,-0.3652635735518005,0.15480297365899565,0.0016754214775024775
0.05,0.017594408239302337,1.578665277634186,-1.5528918904928293,0.005759401522819939,0.0019065103233559242,2.514882055934755e-05,0.5845923706547907,0.29186443468444756,0.5647580111601157,0.1851527527442557,0.06041329522890585,0.0008139587268284321,11.570060908259736,6.063008263239591,10.797280391950686,3.247641075194231,1.020290015939473,0.011404254933058411,1.7916627491812995,0.19337242956370648,-1.826397892615086,-0.36829432948642293,0.15713155914170515,0.0016464332113562984
0.06,0.024589301830058807,1.5821924567377557,-1.5461729411635312,0.007927984927947202,0.0026119149502514096,3.464003025937068e-05,0.6994893590756468,0.35271791035696,0.6718949329298101,0.21685834051272634,0.07054046268954856,0.000949120970002313,11.478732140063157,6.123922089676138,10.549932516971477,3.0854479342004026,0.9707966054744759,0.009121217731811626,1.8424953532212687,0.03454210419488035,-1.8594838287762414,-0.37202021523259,0.15970243059130781,0.00160883925930023
0.07,0.032724070234279236,1.5863341577824754,-1.5384075274771343,0.010399350919448672,0.003415005155409232,4.538806596855449e-05,0.8134768404220428,0.41417010447198244,0.7765413686396854,0.24713659915014685,0.08030902051578223,0.0010748035709183812,11.374519256444367,6.170603214322224,10.277988417504329,2.9311854969263678,0.9247550262776443,0.006698745014091401,1.8990781616343373,-0.15800231616118943,-1.8992946358711809,-0.3764028584043515,0.16241845407858038,0.0015619740143975212
0.08,0.04198836894878249,1.5910949270983248,-1.5296228918690051,0.013159687949754171,0.0043123253354409915,5.729574597935958e-05,0.9264298714503251,0.47607693158492853,0.8784635608129046,0.2760337030305499,0.08973201800317596,0.0011907680010805088,11.255993094579384,6.200954341558572,9.981520668443176,2.781012215473595,0.8792584522658444,0.004156232800028192,1.9602240027771394,-0.38395921364786467,-1.9456549830480396,-0.3813689429949245,0.1651710391609455,0.0015051808385627067
0.09,0.0523704500751338,1.5964776646332184,-1.5198486351968687,0.016195350351497145,0.005300373857675764,7.026206541411504e-05,1.038208112635131,0.5382737534893541,0.9774256672136385,0.3035662401742974,0.09880485222347729,0.0012966319434755456,11.121670238273257,6.213078515468811,9.660542062701886,2.6321069130345336,0.8327981465731185,0.001530941647972739,2.0245616999183094,-0.6426210449838852,-1.9982329791097206,-0.38680997731498445,0.1678419364535183,0.0014378516678038894
0.1,0.06385700760029865,1.602483437747887,-1.5091167368382743,0.019492641451279706,0.006375511770608088,8.4181946029468e-05,1.1486557525164856,0.6005773114668561,1.073189835859448,0.3297291099782562,0.10751379129323232,0.0013919880615352962,10.970105530707146,6.205309878758592,9.315112272234318,2.482455313819642,0.7847247890550335,-0.0011316075614917764,2.090540307038145,-0.9328358037070865,-2.056534271694993,-0.39258311015194614,0.1703054698658569,0.001359468621024409
0.11,0.07643302923315493,1.6091113175811707,-1.4974615649858245,0.02303765970726856,0.00753392433568568,9.894670108731685e-05,1.2576021632856276,0.6627879833283808,1.165517185244973,0.35450182559888566,0.11584125650775917,0.0014764755057848841,10.799965784571537,6.1762435910215805,8.94542393747423,2.3306868809400925,0.7349146395273394,-0.00378452719856881,2.1564412792899046,-1.252979868082842,-2.1199007752540595,-0.39851317783907925,0.17243120768007045,0.0012696456727008972
0.12,0.09008166097722993,1.6163582411046573,-1.4849198697683952,0.026816195704240466,0.008771615300419401,0.00011444490536652152,1.3648631744075004,0.7246923523486705,1.2541695217429427,0.37785359969719023,0.12376909647337223,0.0015498204279204672,10.61008989393468,6.124762889792777,8.551870244830408,2.1759491248255216,0.6835596970784934,-0.0063842058398027035,2.220399931126241,-1.6009447191566846,-2.187514827094706,-0.40439610412888805,0.17408704357722482,0.001168168476348637
0.13,0.10478408972204051,1.6242189016652113,-1.4715307533876354,0.0308136706376132,0.010084421277688712,0.00013056346711218638,1.4702428744810572,0.786066056055396,1.3389116380759822,0.3997474933372736,0.13128059772693107,0.0016118561745664859,10.399538249240365,6.050061584283098,8.135095569205658,2.0178095540147893,0.6310333227904437,-0.008893256416012463,2.2804371302484228,-1.9741394543287276,-2.258409299192971,-0.4100036905320279,0.17514263185392281,0.0010550304775140467
0.14,0.12051944835284537,1.6326856703306332,-1.4573356129297086,0.03501510895948462,0.011468038110532021,0.0001471887678264637,1.5735358630804854,0.8466768665421909,1.419514045792689,0.4201438321871418,0.13836168328433082,0.0016625300714277322,10.167631317744705,5.951660482933165,7.696029953389706,1.8561778323265443,0.5778023286076035,-0.01128216395905568,2.3345013011495674,-2.369510462092374,-2.331483962924165,-0.4150897629769954,0.1754730692367799,0.000930463263905825
0.15,0.13726474697681765,1.6417485497266637,-1.4423780529562606,0.039405139327012756,0.012918053863295633,0.0001642077817366088,1.6745298623972273,0.9062879396030475,1.495755997344785,0.43900303675281327,0.1450015752763612,0.0017019013910145105,9.913978767517584,5.829416770765787,7.235908789767253,1.6912425354594234,0.5243682251099102,-0.013529916263995467,2.380520386231223,-2.783578600313815,-2.4055279162983716,-0.4193975124084727,0.17496271430421534,0.0007949595210204896
0.16,0.1549948330328551,1.6513951613333857,-1.426703766327048,0.043968019033208884,0.014429984804089798,0.0001815091184349808,1.7730086056037446,0.9646611606722036,1.5674286629212646,0.4562879706196125,0.15119309407941645,0.001730133669837199,9.638498120820111,5.683525592769122,6.756278396039534,1.523418414619286,0.47122738318758195,-0.015623844373744866,2.4164622277057157,-3.21249350053501,-2.4792476180855476,-0.4226677977698775,0.17350898382760815,0.0006492868798080498
