time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
0.05,0,0.0145240276348882,27.6668398785135,-0.507108882353253,0,0,0,0,1.12616287456262,243.749786599479,242.874919458874,0,0
0.1,0.00826172641343168,0,27.8191595524627,-0.796130485864027,0,0,0,0,2.25447053537325,243.439279550845,243.731124601658,0,0
0.15,0.00318095749774751,0.00136765359362839,27.6589468100037,0.0186637033346012,0,0,0,0,3.3818248270254,243.065557026619,243.03225929468,0,0
0.2,0.015002105327871,0.0149960259768109,27.8297939891213,-0.596189130332512,0,0,0,0,4.50925466050731,241.625391786138,242.572054338536,0,0
0.25,0.0102458273290786,0,27.840072437034,-0.953934878539141,0,0,0,0,5.6367619219315,241.440582934432,242.386420891839,0,0
0.3,0.0093220528469769,0.00670889649947914,27.4489191814328,0.220658667174534,-0,-0,-0,0,6.764346605944,242.396694940768,241.999486421045,0,0
0.35,0,0.0356218294502448,27.6105734946266,-0.434686998981307,-0,-0,-0,0,7.89200870458509,241.829360866408,240.717995659262,0,0
0.4,0.0236574794160699,0.0272872695542199,27.6860566529433,-0.725355670112346,-0,-0,-0,0,9.01974820989185,240.887567699187,241.028195462587,0,0
0.45,0.00353604741479452,0.0319173057531386,27.7207528510882,-0.251043615808117,-0,-0,-0,0,10.1475651139014,241.171403365812,242.252848699741,0,0
0.5,0,0.0289908179577108,27.5903423473784,-0.0192708050259828,-0,-0,-0,0,11.2754594086507,241.23926225247,241.129258244477,0,0
0.55,0.00463412278789982,0.0353085771187001,27.5248027217409,-0.534458836339538,-0,-0,-0,0,12.403431086177,240.706140176738,240.674344188033,0,0
0.6,0.00390063831233557,0.0514250493826551,27.5894489327005,-0.158942420515028,-0,-0,-0,0,13.5314801385173,240.225456143309,240.892214596443,0,0
0.65,7.59721262246245e-05,0.0405652405285453,27.2309263276351,0.0897652053803591,-0,-0,-0,0,14.6596065577086,240.056406982834,241.391690801396,0,0
